엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 실무경험 년수(년),창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,이자보상배율,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부
0,10.0,9,78.71,3.226,304.341,0.132,108.0,0.05,0.0,20.0,1.0,2.0,0
0,20.0,5,81.818,3.03,600.382,1.0,693.333,3.0,0.01,14.0,3.0,2.0,0
0,6.0,6,81.633,4.082,86.545,1.793,157.216,5.0,0.0,47.0,1.0,5.0,0
0,20.0,6,81.538,3.077,658.954,0.934,1382.051,3.0,0.0,14.0,3.0,2.0,0
0,6.0,6,73.684,4.211,99.232,-3.692,0.34,0.1,0.0,29.0,1.0,3.0,0
0,7.0,9,50.0,0.0,124.579,1.634,267.227,1.0,0.0,100.0,1.0,7.0,0
0,7.0,6,76.471,3.529,142.04,9.284,996.477,2.0,0.0,14.118,3.0,3.0,0
0,5.0,6,79.0,0.0,159.922,4.612,606.422,1.0,0.0,20.0,1.0,7.0,0
0,7.0,10,60.92,0.0,75.889,1.072,121.521,10.0,0.0,22.989,1.0,7.0,0
0,14.0,6,75.0,0.0,62.558,3.867,-218.75,10.0,0.0,8.333,1.0,2.0,0
0,0.0,10,58.974,12.821,94.019,-2.963,39.416,10.0,0.0,83.0,1.0,2.0,0
0,10.0,6,71.429,0.0,159.739,2.496,684.783,2.0,0.0,20.0,1.0,7.0,0
0,10.0,6,11.628,0.0,298.741,3.577,1048.421,11.67,0.0,13.953,1.0,2.0,0
0,12.0,6,87.5,2.5,67.015,1.716,201.075,5.0,0.0,29.0,3.0,1.0,0
0,10.0,6,61.29,0.0,296.005,1.739,306.122,5.0,0.0,3.226,1.0,7.0,0
0,10.0,5,77.143,5.714,21.528,12.582,84.444,1.0,0.5,15.0,2.0,2.0,0
0,7.0,5,72.727,4.545,281.604,1.198,400.847,2.0,0.0,22.727,1.0,7.0,0
0,1.0,5,41.667,8.333,68.231,15.873,611.765,1.0,1.0,33.333,3.0,2.0,0
0,8.0,5,66.667,0.0,205.918,1.64,228.671,0.2,0.0,20.0,3.0,2.0,0
0,12.0,6,64.583,6.25,201.487,3.232,511.638,5.0,0.1,27.083,3.0,5.0,0
0,7.0,10,37.5,25.0,267.546,1.657,352.941,7.0,0.01,25.0,1.0,7.0,0
0,15.0,6,72.222,16.667,286.043,1.572,267.2,0.6,0.0,33.333,1.0,3.0,0
0,8.0,5,50.0,5.714,143.045,-12.802,-501.064,0.2,0.01,30.0,3.0,2.0,1
0,15.0,6,69.231,15.385,475.88,1.331,453.125,30.0,0.0,20.0,1.0,2.0,0
0,15.0,6,63.889,8.333,446.678,1.434,566.667,30.0,0.0,20.0,1.0,2.0,0
0,19.0,6,65.333,0.0,174.37,5.52,905.691,10.0,5.0,13.0,1.0,1.0,0
0,35.0,6,81.429,0.0,234.231,0.264,95.833,0.03,0.0,15.0,1.0,4.0,0
0,13.0,6,55.556,22.222,75.339,3.046,385.714,0.1,0.01,25.0,3.0,3.0,0
0,35.0,6,89.623,0.0,270.629,0.302,57.196,0.03,0.0,15.0,1.0,4.0,0
0,15.0,10,63.636,1.364,105.459,1.826,153.894,30.0,0.0,16.0,1.0,5.0,0
0,35.0,6,91.2,0.8,260.483,0.282,8.516,1.0,0.0,22.0,1.0,2.0,0
0,20.0,10,60.843,2.41,135.891,10.675,1482.776,45.0,40.0,25.904,1.0,5.0,0
0,30.0,6,7.865,62.921,55.967,9.914,442.5,5.0,5.0,90.0,3.0,5.0,0
0,15.0,10,64.602,1.327,140.687,2.501,210.938,30.0,0.0,16.0,1.0,5.0,0
0,35.0,6,86.932,0.0,158.595,1.119,103.665,0.03,0.0,15.0,1.0,2.0,0
0,15.0,6,74.286,2.857,221.64,0.223,41.667,0.01,0.0,22.0,1.0,2.0,0
0,15.0,6,77.723,1.98,254.905,0.572,195.763,0.01,0.0,22.0,1.0,2.0,0
0,15.0,6,64.815,5.556,86.854,4.019,136.813,0.1,0.1,30.0,1.0,3.0,0
1,5.0,6,75.0,2.083,99.193,1.01,213.099,60.0,15.0,13.0,1.0,3.0,1
0,5.0,6,89.286,2.143,151.537,1.308,554.237,2.0,0.01,11.429,1.0,5.0,0
0,15.0,6,69.333,2.667,137.635,3.825,509.244,0.01,0.0,54.0,1.0,2.0,0
0,5.0,6,50.0,0.0,50.0,-9.444,-1000.0,0.1,0.0,25.0,2.0,3.0,0
0,20.0,6,7.692,71.795,72.477,1.331,164.417,5.0,0.0,70.0,1.0,6.0,0
0,5.0,6,40.0,6.667,95.462,4.18,-36.842,5.0,0.0,20.0,1.0,4.0,0
0,7.0,6,56.693,3.15,226.941,-8.832,-557.143,10.0,0.0,40.945,1.0,7.0,0
0,15.0,5,85.897,0.0,96.492,7.26,537.391,15.0,5.0,2.0,1.0,3.0,0
