벤처확인 유형,엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력,창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부,연구개발관련전담부서보유여부
2,0,5,9,78.71,3.226,304.341,0.132,1.335,0.05,20.0,1.0,2.0,0,2.0
2,0,3,5,81.818,3.03,600.382,1.0,27.743,3.0,14.0,3.0,2.0,0,3.0
2,0,3,6,81.633,4.082,86.545,1.793,12.999,5.0,47.0,1.0,5.0,0,4.0
2,0,5,6,81.538,3.077,658.954,0.934,21.212,3.0,14.0,3.0,2.0,0,1.0
2,0,3,6,73.684,4.211,99.232,-3.692,-40.363,0.1,29.0,1.0,3.0,0,4.0
1,0,3,9,50.0,0.0,124.579,1.634,6.502,1.0,100.0,1.0,7.0,0,4.0
2,0,2,6,76.471,3.529,142.04,9.284,55.319,2.0,14.118,3.0,3.0,0,1.0
2,0,3,6,79.0,0.0,159.922,4.612,26.7,1.0,20.0,1.0,7.0,0,1.0
2,0,5,10,60.92,0.0,75.889,1.072,3.376,10.0,22.989,1.0,7.0,0,1.0
2,0,3,6,75.0,0.0,62.558,3.867,10.606,10.0,8.333,1.0,2.0,0,1.0
2,0,3,10,58.974,12.821,94.019,-2.963,-29.003,10.0,83.0,1.0,2.0,0,1.0
2,0,3,6,71.429,0.0,159.739,2.496,17.489,2.0,20.0,1.0,7.0,0,2.0
2,0,5,6,11.628,0.0,298.741,3.577,26.52,11.67,13.953,1.0,2.0,0,1.0
2,0,3,6,87.5,2.5,67.015,1.716,3.921,5.0,29.0,3.0,1.0,0,1.0
2,0,5,6,61.29,0.0,296.005,1.739,26.764,5.0,3.226,1.0,7.0,0,1.0
4,0,2,5,77.143,5.714,21.528,12.582,9.824,1.0,15.0,2.0,2.0,0,4.0
2,0,3,5,72.727,4.545,281.604,1.198,11.499,2.0,22.727,1.0,7.0,0,2.0
1,0,3,5,41.667,8.333,68.231,15.873,107.143,1.0,33.333,3.0,2.0,0,1.0
1,0,4,5,66.667,0.0,205.918,1.64,11.367,0.2,20.0,3.0,2.0,0,1.0
2,0,3,6,64.583,6.25,201.487,3.232,21.563,5.0,27.083,3.0,5.0,0,1.0
2,0,5,10,37.5,25.0,267.546,1.657,11.147,7.0,25.0,1.0,7.0,0,3.0
2,0,3,6,72.222,16.667,286.043,1.572,14.766,0.6,33.333,1.0,3.0,0,3.0
3,0,3,5,50.0,5.714,143.045,-12.802,-313.928,0.2,30.0,3.0,2.0,1,1.0
2,0,3,6,69.231,15.385,475.88,1.331,19.741,30.0,20.0,1.0,2.0,0,1.0
2,0,3,6,63.889,8.333,446.678,1.434,23.354,30.0,20.0,1.0,2.0,0,3.0
2,0,3,6,65.333,0.0,174.37,5.52,16.574,10.0,13.0,1.0,1.0,0,4.0
2,0,5,6,81.429,0.0,234.231,0.264,4.035,0.03,15.0,1.0,4.0,0,4.0
2,0,3,6,55.556,22.222,75.339,3.046,5.253,0.1,25.0,3.0,3.0,0,1.0
2,0,5,6,89.623,0.0,270.629,0.302,5.105,0.03,15.0,1.0,4.0,0,1.0
2,0,3,10,63.636,1.364,105.459,1.826,4.453,30.0,16.0,1.0,5.0,0,2.0
2,0,5,6,91.2,0.8,260.483,0.282,5.142,1.0,22.0,1.0,2.0,0,3.0
2,0,3,10,60.843,2.41,135.891,10.675,47.467,45.0,25.904,1.0,5.0,0,2.0
2,0,5,6,7.865,62.921,55.967,9.914,75.411,5.0,90.0,3.0,5.0,0,4.0
2,0,3,10,64.602,1.327,140.687,2.501,8.318,30.0,16.0,1.0,5.0,0,4.0
2,0,5,6,86.932,0.0,158.595,1.119,10.379,0.03,15.0,1.0,2.0,0,1.0
2,0,2,6,74.286,2.857,221.64,0.223,3.123,0.01,22.0,1.0,2.0,0,1.0
2,0,2,6,77.723,1.98,254.905,0.572,9.427,0.01,22.0,1.0,2.0,0,1.0
2,0,3,6,64.815,5.556,86.854,4.019,13.824,0.1,30.0,1.0,3.0,0,1.0
3,1,3,6,75.0,2.083,99.193,1.01,3.088,60.0,13.0,1.0,3.0,1,1.0
2,0,3,6,89.286,2.143,151.537,1.308,2.984,2.0,11.429,1.0,5.0,0,1.0
2,0,2,6,69.333,2.667,137.635,3.825,25.903,0.01,54.0,1.0,2.0,0,3.0
1,0,3,6,50.0,0.0,50.0,-9.444,-56.667,0.1,25.0,2.0,3.0,0,3.0
2,0,3,6,7.692,71.795,72.477,1.331,2.858,5.0,70.0,1.0,6.0,0,1.0
2,0,5,6,40.0,6.667,95.462,4.18,10.515,5.0,20.0,1.0,4.0,0,1.0
1,0,3,6,56.693,3.15,226.941,-8.832,-126.316,10.0,40.945,1.0,7.0,0,4.0
2,0,3,5,85.897,0.0,96.492,7.26,23.22,15.0,2.0,1.0,3.0,0,1.0
