벤처확인 유형,엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력,창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부,연구개발관련전담부서보유여부
2,0,3,6,50.704,14.085,74.818,1.694,6.838,0.5,47.0,3.0,3.0,0,1.0
2,0,4,5,88.889,0.0,277.835,4.396,49.905,10.0,0.0,3.0,7.0,0,1.0
2,0,3,6,70.655,8.547,135.322,1.604,5.51,1.0,30.0,1.0,3.0,1,1.0
2,0,3,6,44.898,10.204,138.73,0.429,2.458,10.0,28.0,3.0,2.0,0,1.0
2,0,3,5,33.333,22.222,83.886,10.185,31.397,5.0,22.0,3.0,7.0,0,2.0
2,0,5,6,87.5,0.0,161.9,6.982,17.737,10.0,10.0,3.0,7.0,0,4.0
1,0,5,6,87.5,0.0,153.331,7.177,18.272,10.0,10.0,3.0,3.0,0,2.0
2,0,3,9,60.0,13.333,81.732,7.649,7.708,0.01,18.0,1.0,3.0,0,3.0
2,0,5,6,80.0,0.0,16.727,1.84,0.675,5.0,25.0,3.0,3.0,0,2.0
2,0,2,6,57.895,5.263,45.204,9.038,7.862,30.0,11.7,1.0,2.0,0,4.0
2,0,3,9,53.846,15.385,66.685,6.511,5.142,0.01,18.0,1.0,3.0,0,1.0
2,0,4,6,62.069,10.345,98.807,1.276,5.744,2.0,15.0,1.0,4.0,0,1.0
2,0,5,6,60.714,5.357,84.923,1.936,5.057,5.0,37.0,1.0,2.0,0,4.0
2,0,5,6,73.913,0.0,208.761,8.029,23.916,10.0,18.0,3.0,1.0,0,3.0
2,0,3,9,46.667,13.333,72.082,0.358,0.336,0.01,18.0,1.0,2.0,0,4.0
2,0,4,6,66.667,0.0,16.202,12.914,8.369,5.0,0.0,1.0,3.0,0,1.0
2,0,2,6,66.667,0.0,40.005,9.548,6.321,28.0,12.0,1.0,1.0,0,4.0
2,0,3,6,32.143,50.0,70.349,2.956,2.522,10.0,14.0,1.0,7.0,0,1.0
2,0,4,6,69.767,0.0,191.074,2.623,10.861,15.0,25.0,1.0,3.0,0,4.0
2,0,3,6,54.286,14.286,140.477,5.718,10.192,5.0,45.0,3.0,2.0,0,3.0
2,0,4,6,78.125,6.25,151.93,0.034,0.115,15.0,12.5,1.0,3.0,0,1.0
2,0,3,6,21.429,35.714,83.477,3.642,9.158,1.0,100.0,1.0,5.0,0,2.0
2,0,3,6,48.387,12.903,118.317,3.74,11.962,6.0,48.387,3.0,1.0,0,1.0
2,0,3,6,0.0,22.222,111.364,2.911,15.0,0.0,100.0,1.0,5.0,0,2.0
2,0,3,6,44.444,14.815,73.682,-3.072,-17.867,10.0,47.0,3.0,4.0,0,1.0
2,0,3,6,44.444,14.815,73.31,-7.704,-37.899,10.0,47.0,3.0,4.0,0,1.0
2,0,5,6,28.571,0.0,196.235,-1.612,7.343,5.0,25.0,3.0,3.0,0,2.0
2,0,3,6,70.149,3.731,145.936,0.848,5.245,20.0,18.0,1.0,5.0,0,4.0
2,0,5,6,77.778,11.111,51.562,1.9,1.545,10.0,25.0,3.0,1.0,0,1.0
2,0,3,6,59.091,4.545,56.487,9.902,7.087,0.01,44.0,1.0,4.0,0,2.0
2,0,5,5,44.444,22.222,41.397,1.398,0.883,10.0,30.0,3.0,1.0,0,2.0
2,0,5,6,69.048,9.524,98.935,10.725,20.106,50.0,23.81,1.0,7.0,0,4.0
2,0,3,6,25.0,8.333,85.105,3.05,9.871,3.0,25.0,1.0,4.0,0,1.0
2,0,3,7,33.333,33.333,92.841,0.964,5.797,0.5,66.667,1.0,5.0,0,1.0
1,0,3,6,70.0,6.667,190.159,11.356,48.866,25.0,16.667,3.0,3.0,0,4.0
2,0,5,6,79.31,10.345,137.944,9.227,25.198,27.0,7.0,3.0,3.0,0,1.0
4,0,3,6,25.0,50.0,127.552,2.122,8.696,50.0,50.0,1.0,2.0,0,1.0
2,0,3,6,25.0,10.0,342.529,8.099,70.103,15.0,50.0,1.0,3.0,0,4.0
2,0,3,6,40.0,0.0,157.9,3.084,16.544,0.2,20.0,1.0,4.0,0,1.0
2,0,3,6,25.0,0.0,81.378,12.407,12.453,40.0,100.0,1.0,2.0,0,1.0
2,0,3,5,56.14,0.0,96.232,4.057,7.041,50.0,52.632,3.0,5.0,0,2.0
2,0,5,6,23.077,30.769,178.662,4.068,26.434,1.0,7.692,3.0,2.0,0,1.0
2,0,4,6,50.0,0.0,266.032,9.907,66.347,5.0,50.0,1.0,2.0,0,1.0
4,0,3,5,73.684,7.895,82.64,6.708,13.579,30.0,13.0,1.0,2.0,0,4.0
2,0,5,6,64.706,11.765,49.928,14.094,24.123,30.0,30.0,1.0,2.0,0,1.0
2,0,5,6,60.0,12.0,84.803,1.35,3.422,10.0,24.0,1.0,2.0,0,1.0
1,0,5,5,66.667,7.692,150.724,-1.023,-7.081,50.0,23.077,1.0,8.0,0,3.0
2,0,3,6,40.0,40.0,35.854,8.157,9.184,5.0,60.0,3.0,2.0,0,2.0
2,0,3,6,14.286,28.571,238.813,12.391,66.3,5.0,28.571,1.0,3.0,0,1.0
4,0,3,6,60.0,12.0,71.702,8.016,11.718,10.0,20.0,3.0,3.0,0,4.0
2,0,3,6,12.5,50.0,35.613,-54.4,-219.355,20.0,37.624,3.0,8.0,0,1.0
2,0,5,6,15.789,63.158,97.814,1.014,1.859,20.0,25.0,1.0,7.0,0,4.0
2,0,3,6,19.231,65.385,105.582,1.221,4.171,60.0,20.0,1.0,2.0,0,4.0
2,0,3,6,50.0,10.0,113.675,15.539,29.245,5.0,30.0,1.0,3.0,0,2.0
2,0,1,1,11.111,33.333,80.0,14.75,13.615,3.0,40.0,3.0,2.0,0,1.0
2,0,3,6,75.0,1.136,94.847,7.659,11.93,20.0,18.0,1.0,3.0,0,1.0
2,0,3,6,18.75,62.5,42.835,5.481,11.681,10.0,18.812,1.0,2.0,0,1.0
2,0,3,6,57.143,17.857,300.197,2.203,14.586,15.0,25.0,1.0,4.0,0,1.0
2,0,5,6,70.0,0.0,165.657,6.242,22.261,20.0,24.0,1.0,2.0,0,1.0
1,0,4,6,79.412,2.941,157.526,-2.426,-21.749,20.0,12.0,1.0,4.0,0,3.0
2,0,3,10,62.5,12.5,64.514,3.337,7.484,0.01,40.0,1.0,7.0,0,1.0
3,0,3,6,0.0,33.333,12.774,1.429,0.459,10.0,100.0,3.0,7.0,1,2.0
2,0,3,10,66.667,5.556,76.95,6.413,13.098,0.2,40.0,1.0,7.0,0,1.0
2,0,5,6,64.706,5.882,65.083,11.823,46.316,0.5,40.0,1.0,3.0,0,1.0
2,0,5,6,55.172,10.345,53.889,10.405,12.185,30.0,20.0,1.0,5.0,0,1.0
2,0,3,6,50.0,33.333,158.483,10.422,29.024,0.3,50.0,3.0,3.0,0,2.0
4,0,3,5,75.0,9.091,80.748,2.211,4.575,0.01,8.0,1.0,4.0,0,1.0
2,0,5,6,65.0,10.0,72.713,8.367,10.235,50.0,6.0,3.0,2.0,0,1.0
2,0,5,6,74.359,10.256,105.735,4.19,25.315,7.0,29.0,1.0,2.0,0,1.0
2,0,5,6,55.172,27.586,52.936,3.3,4.367,30.0,20.0,1.0,4.0,0,1.0
4,0,5,6,50.0,15.0,71.477,10.563,11.834,8.0,65.0,3.0,2.0,0,4.0
2,0,5,6,52.381,16.667,113.447,14.68,56.413,7.0,41.0,1.0,3.0,0,1.0
2,0,3,6,66.667,0.0,416.687,4.632,48.137,3.0,15.0,3.0,3.0,0,2.0
2,0,4,6,61.905,9.524,213.399,3.559,18.907,0.6,26.0,1.0,3.0,0,2.0
2,0,3,10,59.756,4.472,110.298,1.25,2.601,20.0,25.0,1.0,3.0,0,1.0
2,0,3,6,55.556,0.0,121.044,4.123,21.14,1.0,36.0,3.0,3.0,0,1.0
2,0,5,6,50.0,18.75,47.171,2.234,2.059,9.0,18.75,3.0,1.0,0,1.0
1,0,4,6,64.706,17.647,120.17,5.532,17.835,20.0,6.0,1.0,2.0,0,4.0
2,0,3,6,77.778,0.0,149.728,0.78,2.427,5.0,10.0,3.0,3.0,0,2.0
1,0,5,6,66.667,0.0,118.276,9.704,20.279,15.0,32.0,1.0,3.0,0,1.0
2,0,3,6,57.895,15.789,71.444,4.162,14.628,50.0,21.0,1.0,4.0,0,3.0
2,0,5,6,55.172,27.586,52.211,5.123,7.447,30.0,20.0,1.0,4.0,0,1.0
2,0,3,6,54.167,6.25,231.852,1.315,20.928,5.0,40.0,3.0,1.0,0,1.0
4,0,3,5,78.049,9.756,60.58,1.653,2.944,25.0,8.0,1.0,4.0,0,1.0
2,0,3,6,44.444,0.0,118.279,1.04,2.37,5.0,34.0,3.0,3.0,0,1.0
2,0,5,6,75.0,10.0,81.557,3.469,12.585,7.0,29.0,1.0,1.0,0,3.0
2,0,3,6,57.143,14.286,76.683,10.115,13.613,0.3,60.0,3.0,3.0,0,1.0
2,0,5,6,28.571,14.286,77.564,7.114,11.897,5.0,28.0,1.0,5.0,0,1.0
2,0,3,6,70.455,2.273,112.47,-18.572,-151.91,5.0,30.0,3.0,2.0,0,2.0
2,0,4,6,55.556,22.222,207.771,17.049,49.476,0.6,25.0,1.0,3.0,0,2.0
2,0,3,10,58.744,3.139,117.2,4.026,8.479,20.0,25.0,1.0,3.0,0,1.0
2,0,3,10,75.0,8.333,54.127,0.335,0.624,2.0,40.0,1.0,7.0,0,1.0
2,0,3,6,64.706,0.0,43.974,24.283,32.044,10.0,50.0,1.0,4.0,0,4.0
2,0,5,6,78.571,0.0,115.176,2.61,6.788,5.0,10.0,3.0,1.0,0,1.0
2,0,5,6,55.0,15.0,88.185,8.944,31.737,0.5,40.0,1.0,2.0,0,2.0
4,0,5,6,63.158,10.526,59.277,6.386,6.22,50.0,6.0,3.0,2.0,0,1.0
2,0,3,6,61.35,17.178,64.574,2.008,4.284,1.0,30.0,3.0,5.0,0,1.0
2,0,3,6,71.585,10.383,73.552,1.845,4.676,1.0,30.0,3.0,2.0,0,1.0
3,0,3,5,54.93,12.676,67.319,2.851,17.942,70.0,35.0,3.0,3.0,1,1.0
2,0,2,5,44.706,29.412,64.402,7.874,5.723,10.0,46.0,3.0,6.0,0,1.0
3,0,1,10,7.143,67.857,134.456,0.76,-3.303,0.1,36.0,3.0,4.0,0,1.0
2,0,3,5,27.143,42.857,127.874,2.436,4.066,45.0,40.0,1.0,4.0,0,1.0
4,0,3,5,13.542,58.333,99.679,6.712,8.229,5.0,81.818,3.0,2.0,0,1.0
2,0,1,5,25.0,62.5,26.319,1.438,0.715,20.0,30.0,3.0,5.0,0,1.0
2,0,3,5,24.242,45.455,130.902,14.114,22.692,45.0,40.0,1.0,4.0,0,1.0
4,0,2,5,3.509,66.667,88.381,10.424,13.068,5.0,87.5,1.0,2.0,0,1.0
3,0,1,10,7.143,64.286,191.672,1.963,-5.876,0.01,36.0,3.0,4.0,0,1.0
3,0,1,10,0.0,80.0,177.507,2.064,23.175,0.1,45.0,3.0,3.0,1,1.0
4,0,2,5,52.83,16.981,79.174,2.547,3.027,20.0,40.0,3.0,3.0,0,1.0
2,0,1,5,4.762,71.429,31.932,3.2,2.061,20.0,55.0,3.0,3.0,0,1.0
4,0,3,7,0.0,64.0,137.019,1.557,3.687,5.0,60.0,3.0,3.0,0,1.0
3,0,3,5,72.059,11.765,66.231,1.565,8.625,70.0,35.0,3.0,3.0,1,1.0
4,0,3,6,0.0,78.571,168.326,-2.18,-4.548,5.0,50.0,3.0,5.0,0,1.0
2,0,3,6,78.142,7.104,78.908,2.891,7.202,1.0,35.0,3.0,3.0,0,1.0
2,0,3,5,0.0,70.0,307.878,4.469,56.103,0.01,100.0,3.0,4.0,0,1.0
4,0,1,7,0.0,66.667,20.15,-6.047,-2.142,0.02,50.0,1.0,5.0,0,1.0
2,0,2,6,0.0,80.0,159.132,-5.456,-42.647,0.01,80.0,1.0,1.0,0,2.0
3,0,3,6,20.833,12.5,112.309,0.923,1.739,0.3,75.0,3.0,7.0,0,1.0
3,0,3,5,7.955,0.0,91.84,8.035,14.007,10.0,92.0,3.0,4.0,0,1.0
2,0,4,5,40.0,35.0,254.951,3.506,14.976,0.01,60.0,1.0,4.0,0,1.0
3,0,3,5,0.0,55.208,69.548,-3.595,-5.0,1.0,88.542,2.0,4.0,1,1.0
2,0,3,7,0.0,68.966,144.868,4.282,12.166,5.0,65.517,1.0,2.0,0,1.0
4,0,5,6,64.151,5.66,140.094,0.69,2.56,5.0,42.0,1.0,3.0,0,1.0
4,0,3,6,15.0,70.0,100.694,18.746,32.089,15.0,50.0,3.0,2.0,0,1.0
2,0,3,5,46.667,13.333,31.043,16.701,13.978,1.0,82.0,3.0,4.0,0,1.0
2,0,1,5,0.0,78.947,236.422,6.262,20.708,0.01,57.895,3.0,4.0,0,1.0
2,0,3,6,0.0,52.381,245.514,2.505,16.482,0.01,95.238,3.0,4.0,0,1.0
2,0,1,1,0.0,71.429,7.289,1.449,0.257,0.01,85.714,1.0,4.0,0,1.0
2,0,4,6,100.0,0.0,44.344,-1.46,-0.747,30.0,51.562,3.0,8.0,0,1.0
2,0,2,6,13.043,65.217,35.305,1.349,1.056,35.0,56.522,3.0,7.0,0,1.0
4,0,3,5,0.0,87.5,81.277,-9.218,-17.039,0.1,50.0,1.0,2.0,0,1.0
2,0,3,6,16.667,20.0,134.825,5.555,26.108,50.0,43.333,1.0,1.0,0,1.0
1,0,2,6,33.333,33.333,86.228,0.463,3.39,0.01,83.333,1.0,4.0,0,1.0
3,0,1,5,28.571,50.0,51.028,-65.699,-34.571,0.01,50.0,3.0,3.0,1,1.0
4,0,1,5,0.0,68.966,48.701,14.188,10.853,0.1,68.966,3.0,2.0,1,1.0
4,0,1,5,0.0,68.966,48.701,14.188,10.853,50.0,62.069,3.0,5.0,1,1.0
2,0,3,10,17.647,17.647,63.769,14.522,24.569,65.0,47.059,1.0,7.0,0,1.0
4,0,3,7,11.856,61.856,112.647,10.903,14.95,5.0,92.784,3.0,5.0,1,1.0
2,0,2,6,0.0,83.871,144.868,4.282,12.166,21.29,59.677,3.0,8.0,0,1.0
2,1,2,6,63.636,13.636,24.044,-205.039,597.248,10.0,13.636,3.0,4.0,1,1.0
2,0,5,6,51.22,1.829,87.6,2.446,12.719,0.01,30.0,1.0,5.0,0,1.0
4,0,3,6,67.059,5.882,54.12,2.131,1.566,75.0,12.0,1.0,1.0,0,1.0
2,0,3,5,83.871,6.452,32.419,1.792,1.251,11.0,30.0,3.0,5.0,0,1.0
2,0,3,6,2.151,6.452,117.611,-1.124,-3.949,0.01,64.0,3.0,3.0,0,1.0
3,0,1,6,23.529,58.824,0.687,-125.0,-0.917,40.0,61.0,3.0,2.0,0,1.0
2,0,1,5,57.407,9.259,188.808,13.77,41.236,0.5,36.0,1.0,1.0,0,4.0
2,0,3,5,57.874,7.874,52.337,16.123,8.941,30.0,26.0,1.0,5.0,0,1.0
3,0,2,5,80.769,6.154,133.838,1.115,30.693,20.0,17.0,3.0,2.0,0,1.0
2,0,5,6,48.718,1.923,89.375,4.092,21.171,0.01,30.0,1.0,4.0,0,1.0
4,0,3,5,53.395,10.494,54.314,24.279,27.582,42.0,26.1,1.0,4.0,1,1.0
1,0,3,6,55.556,22.222,20.765,2.105,0.613,0.0,40.0,3.0,4.0,0,1.0
2,1,3,5,55.185,11.111,81.742,-13.056,-22.276,5.0,25.0,3.0,4.0,0,1.0
1,0,3,5,84.516,5.806,36.538,-44.5,-41.691,11.0,30.0,3.0,5.0,0,2.0
2,1,3,5,53.788,4.545,118.956,8.952,15.407,5.0,25.0,3.0,4.0,1,1.0
1,0,1,5,61.111,9.259,97.751,18.429,20.852,0.5,35.0,1.0,1.0,0,1.0
2,0,3,6,53.623,18.116,62.487,-14.885,-13.136,10.0,45.0,3.0,3.0,0,2.0
2,0,3,6,58.929,0.0,90.6,10.168,27.654,0.01,38.0,3.0,1.0,0,1.0
2,0,3,6,50.0,26.19,58.071,-15.117,-35.005,40.0,58.0,3.0,1.0,0,2.0
2,0,3,5,58.0,8.0,44.535,19.32,9.179,30.0,26.0,1.0,1.0,0,1.0
2,0,5,6,58.537,26.829,26.501,-57.48,-47.136,40.0,58.0,3.0,1.0,0,1.0
3,0,1,3,11.111,55.556,21.538,6.572,6.526,3.0,78.0,3.0,1.0,0,1.0
3,0,3,6,6.667,7.333,102.533,-1.369,-2.865,0.2,64.0,3.0,3.0,0,1.0
3,0,1,3,0.0,62.5,22.787,-4.53,-4.906,3.0,78.0,3.0,1.0,0,1.0
2,0,3,6,62.766,5.319,188.081,2.29,7.548,30.0,22.0,3.0,5.0,0,1.0
4,0,3,6,61.798,14.045,62.51,3.878,3.889,10.0,45.0,3.0,3.0,0,2.0
2,0,3,7,0.0,66.667,165.994,4.958,14.763,20.0,67.0,1.0,7.0,0,1.0
2,1,1,1,71.642,13.433,32.871,0.471,0.337,50.0,34.0,3.0,2.0,1,1.0
4,0,2,5,0.0,33.333,9.889,1.073,0.403,1.0,34.0,1.0,2.0,1,1.0
2,0,1,5,6.25,25.0,61.312,2.841,6.6,5.0,72.0,3.0,8.0,1,1.0
3,0,3,6,27.778,54.167,165.794,6.1,-44.449,5.0,12.871,3.0,5.0,0,1.0
2,0,3,5,90.278,0.0,1573.333,5.932,280.0,0.0,20.0,1.0,7.0,0,1.0
2,0,3,6,11.111,17.778,64.489,1.436,1.67,0.0,56.0,2.0,4.0,1,1.0
4,0,1,7,52.381,23.81,89.17,49.143,49.302,0.01,47.619,3.0,5.0,0,1.0
2,0,3,6,76.0,12.0,31.913,2.353,0.79,0.05,64.0,3.0,5.0,0,1.0
2,0,2,6,34.091,13.068,78.353,3.897,21.851,55.0,49.432,1.0,1.0,0,1.0
2,0,3,6,47.059,17.647,68.376,0.532,0.944,60.0,41.176,3.0,2.0,0,1.0
2,0,1,7,66.667,25.0,110.516,5.757,24.496,0.1,16.667,1.0,4.0,0,3.0
2,0,3,6,58.333,12.5,128.161,4.656,10.234,35.0,16.667,3.0,1.0,0,1.0
2,0,5,5,59.317,5.59,82.768,3.761,21.02,50.0,47.0,1.0,4.0,0,1.0
2,0,4,6,66.667,14.286,32.155,1.374,1.182,28.0,9.0,1.0,4.0,0,1.0
2,0,5,6,37.821,12.821,86.653,4.278,23.858,0.01,30.0,1.0,4.0,0,1.0
2,0,3,6,60.769,15.385,83.409,3.114,6.882,3.0,35.0,3.0,3.0,0,1.0
2,0,3,6,71.053,7.895,70.44,-10.486,-35.841,30.0,49.0,3.0,1.0,0,1.0
3,0,1,3,22.222,55.556,21.135,-13.153,-14.747,3.0,75.0,3.0,3.0,0,1.0
4,0,3,6,64.286,13.81,101.893,-2.406,-4.698,10.0,45.0,3.0,3.0,0,1.0
3,1,1,5,25.0,25.0,47.561,-1.166,-3.165,3.0,28.0,3.0,8.0,1,1.0
3,0,1,6,31.579,47.368,1.118,-1739.26,-46.408,10.0,27.0,3.0,4.0,1,1.0
4,0,3,6,65.882,9.412,55.27,-12.989,-11.378,50.0,12.0,1.0,2.0,1,1.0
4,1,3,6,0.0,0.0,44.724,18.78,16.318,1.0,100.0,3.0,3.0,0,1.0
3,0,1,3,21.429,35.714,98.884,3.507,8.286,0.1,64.286,3.0,3.0,1,1.0
2,0,1,5,20.0,70.0,11.765,-465.517,-900.0,13.0,80.0,3.0,5.0,0,1.0
3,0,1,6,0.0,80.0,5.217,-488.119,-56.667,20.0,60.0,3.0,2.0,1,2.0
3,1,1,1,0.0,50.0,1868.724,-2.355,-87.5,0.0,50.0,3.0,8.0,0,1.0
2,0,4,6,9.375,46.875,73.587,-33.051,-67.148,50.0,50.0,1.0,3.0,0,1.0
2,0,3,6,11.111,66.667,117.079,0.829,4.556,20.0,22.0,3.0,3.0,0,1.0
2,0,4,7,51.02,30.612,315.904,2.892,44.589,1.0,51.02,3.0,2.0,0,1.0
2,0,2,6,0.0,30.909,315.904,2.892,44.589,0.2,78.182,3.0,2.0,0,1.0
2,0,5,5,55.556,11.111,227.72,1.104,6.715,0.1,44.444,1.0,1.0,0,1.0
1,0,4,9,28.571,14.286,92.807,2.14,42.708,0.01,52.0,3.0,3.0,0,1.0
2,0,3,5,58.621,3.448,90.039,-0.721,-3.236,0.1,51.724,3.0,4.0,0,1.0
2,0,3,7,0.0,37.5,125.987,0.812,3.977,5.0,75.0,2.0,4.0,0,1.0
2,0,5,6,62.963,9.259,91.951,29.805,47.085,15.0,30.0,1.0,1.0,0,1.0
2,0,1,5,33.333,41.667,182.334,1.164,5.134,10.0,45.0,3.0,3.0,0,1.0
2,0,4,9,37.143,11.429,106.542,10.476,44.389,0.01,52.0,3.0,3.0,0,1.0
2,0,3,5,56.789,0.783,130.844,1.338,8.55,15.0,17.0,3.0,3.0,0,1.0
2,0,1,5,35.714,42.857,123.043,2.221,9.529,5.0,60.0,3.0,4.0,0,1.0
2,0,3,5,56.79,12.346,72.212,20.367,17.754,0.5,30.0,1.0,5.0,0,1.0
2,0,2,5,74.747,8.081,43.198,-47.525,-57.33,25.0,30.8,1.0,7.0,0,1.0
2,0,3,5,40.123,5.556,79.541,33.556,41.938,0.5,30.0,1.0,5.0,0,2.0
2,0,4,9,53.125,9.375,103.926,-4.054,-15.92,1.0,19.0,3.0,2.0,0,1.0
2,0,1,1,62.5,18.75,1.961,-1498.315,-126.099,10.0,40.0,3.0,4.0,0,2.0
2,0,3,5,89.295,1.305,127.069,1.517,9.589,15.0,17.0,3.0,7.0,0,1.0
2,0,3,5,35.065,7.792,39.293,-45.485,-38.604,0.5,30.0,1.0,5.0,0,1.0
2,0,1,1,41.176,23.529,3.134,-650.467,-36.972,15.0,53.4,3.0,3.0,1,1.0
2,0,3,5,20.0,20.0,116.062,3.01,10.149,2.0,50.0,1.0,4.0,0,1.0
2,0,3,5,16.667,33.333,236.98,1.445,9.296,2.0,50.0,1.0,5.0,0,1.0
2,0,3,10,70.149,15.672,134.003,2.878,6.924,1.0,20.0,3.0,2.0,0,1.0
2,0,1,1,57.143,14.286,8.346,-173.837,-86.229,0.01,52.0,3.0,2.0,0,1.0
2,0,3,5,68.8,2.4,148.312,-5.529,-41.399,30.0,20.0,3.0,3.0,0,1.0
2,0,3,6,57.143,14.286,148.382,1.051,7.279,15.0,50.0,1.0,4.0,0,1.0
2,0,2,6,10.526,26.316,121.434,8.29,28.579,35.0,42.105,1.0,1.0,0,1.0
2,0,3,5,17.647,61.765,139.141,0.071,0.437,90.0,16.0,3.0,4.0,0,1.0
4,0,3,5,8.0,32.0,56.611,12.26,7.683,30.0,44.0,3.0,3.0,0,1.0
2,0,3,6,16.667,50.0,197.694,-3.145,-36.766,0.0,70.0,3.0,5.0,0,1.0
2,0,5,5,44.828,13.793,197.694,-3.145,-36.766,43.0,58.621,1.0,7.0,1,1.0
4,0,1,6,56.0,20.0,46.206,-94.85,-125.154,10.0,32.0,1.0,7.0,1,1.0
3,0,4,6,41.463,14.634,45.992,10.752,7.646,5.0,15.0,3.0,7.0,1,1.0
2,0,4,6,65.0,11.667,146.724,0.0,0.0,0.5,24.0,1.0,3.0,0,1.0
2,0,3,6,64.815,12.963,163.472,0.239,2.247,0.6,24.0,1.0,7.0,0,1.0
2,0,3,6,62.963,12.963,215.408,0.667,7.317,0.6,24.0,1.0,8.0,0,1.0
2,0,3,6,22.222,33.333,255.902,3.337,32.258,50.0,70.0,3.0,4.0,0,1.0
2,0,3,6,25.0,20.0,24.027,5.688,2.246,60.0,80.0,1.0,5.0,0,1.0
2,0,3,6,22.222,33.333,206.134,0.049,0.379,50.0,70.0,3.0,4.0,0,1.0
3,0,4,6,11.111,22.222,56.206,-8.09,-11.366,5.0,0.0,3.0,3.0,0,1.0
2,0,3,6,63.333,8.333,121.839,7.46,23.952,3.0,5.0,1.0,6.0,0,3.0
2,0,3,6,81.818,0.909,108.723,-12.382,-100.14,90.0,9.0,1.0,3.0,0,2.0
2,0,2,7,21.311,70.492,107.087,20.744,31.046,5.0,40.0,1.0,3.0,0,2.0
2,0,3,6,70.0,2.5,176.744,-15.303,-61.211,20.0,25.0,3.0,6.0,0,1.0
2,0,4,5,28.736,11.494,100.578,-19.999,-96.101,20.0,28.0,3.0,2.0,0,1.0
2,0,3,5,75.258,0.0,343.68,6.698,568.59,20.0,16.0,1.0,8.0,0,4.0
2,0,5,6,30.769,11.538,99.4,-2.345,-7.866,0.5,60.0,3.0,2.0,0,4.0
2,0,3,6,47.059,5.882,82.671,6.506,20.721,0.0,12.0,1.0,3.0,0,3.0
4,0,2,6,60.0,40.0,27.311,26.459,1112.5,5.0,50.0,3.0,3.0,0,3.0
2,0,3,6,79.365,3.175,94.96,0.437,1.331,0.01,46.0,1.0,3.0,0,1.0
2,0,3,6,57.377,3.279,102.681,-10.412,-44.11,1.0,38.0,1.0,3.0,0,4.0
4,0,2,5,56.757,5.405,170.741,0.97,6.36,10.0,37.0,3.0,4.0,0,1.0
2,0,3,5,86.765,0.0,179.044,4.826,11.16,0.1,33.0,1.0,2.0,0,1.0
2,0,3,5,30.0,2.0,100.948,4.963,31.854,0.5,40.0,1.0,1.0,0,1.0
2,0,3,6,60.345,0.0,107.28,-8.545,-41.823,5.0,24.0,3.0,3.0,0,1.0
1,0,2,6,56.552,8.966,83.857,-15.382,-39.388,0.5,42.0,3.0,2.0,0,2.0
2,0,3,5,76.786,0.0,145.179,11.451,29.049,0.01,5.0,1.0,3.0,0,1.0
4,0,1,3,62.5,15.625,44.558,5.811,3.997,20.0,15.0,3.0,2.0,0,1.0
2,0,5,6,57.037,9.63,174.768,2.147,12.693,0.01,40.0,3.0,1.0,0,2.0
2,0,3,5,62.162,16.216,51.69,-31.943,-114.242,0.5,20.0,1.0,1.0,0,2.0
2,0,3,6,66.667,11.111,77.285,2.134,31.604,0.04,20.0,3.0,4.0,0,4.0
2,0,2,6,51.163,31.783,84.7,-19.237,-42.543,0.5,42.0,3.0,2.0,0,1.0
2,0,5,6,55.0,15.0,75.965,-2.574,-6.583,0.5,30.0,3.0,1.0,0,1.0
4,0,1,3,45.312,20.833,44.648,16.59,11.925,20.0,53.0,3.0,2.0,0,1.0
2,0,5,4,45.0,25.0,70.793,7.599,17.866,0.01,40.0,1.0,3.0,0,1.0
2,0,3,6,62.5,0.0,112.372,3.221,11.918,0.5,60.0,3.0,2.0,0,1.0
2,0,2,7,86.567,0.0,95.911,0.037,0.104,10.0,30.0,1.0,5.0,0,3.0
2,0,3,6,77.778,0.0,58.812,0.497,1.765,17.0,20.0,1.0,4.0,0,1.0
2,0,3,6,5.797,7.246,172.749,0.494,-7.937,0.01,51.0,3.0,3.0,0,3.0
2,0,5,6,51.064,6.383,120.272,7.326,15.242,0.1,16.0,3.0,3.0,0,1.0
2,0,3,6,64.815,5.556,69.416,1.783,5.015,0.01,40.0,3.0,2.0,0,2.0
2,0,2,5,70.918,0.0,73.156,0.221,0.716,0.01,22.0,3.0,4.0,0,4.0
2,0,3,6,79.688,3.125,91.207,0.538,1.56,0.1,46.0,1.0,3.0,0,3.0
2,0,3,6,62.319,7.246,291.883,-8.817,121.888,0.1,40.0,3.0,2.0,0,3.0
2,0,3,5,70.455,13.636,92.449,0.534,1.805,0.5,25.0,1.0,3.0,0,4.0
2,0,5,6,62.5,3.125,94.808,1.849,6.319,1.0,5.0,3.0,3.0,0,1.0
2,0,3,6,68.525,11.475,66.526,-3.962,-6.399,1.0,24.0,1.0,2.0,0,1.0
3,0,3,5,51.087,5.435,122.327,1.031,5.816,0.1,35.9,3.0,1.0,0,1.0
2,0,3,6,66.124,11.401,71.773,9.26,15.878,1.0,24.0,1.0,4.0,0,1.0
