순번,개인법인구분_공통,가중치_공통,(쿼터)업종_공통,(쿼터)종사자_공통,(쿼터)지역_공통,(쿼터)기업성장단계_공통,(쿼터)업력_공통,업력_공통,지역_공통,업종_공통,제조업여부_공통,A14_벤처확인유형_공통,A15_회사주소_시도_공통,A15_회사주소_구군_공통,A16_KSIC코드_공통,A161_1단계업종분류_대_공통,A162_2단계업종분류_중_공통,A163_3단계업종분류_소_공통,A21_창업년도_공통,A22_기업성장단계_공통,A23_제조및비제조_공통,A23_2_아웃소싱_공통,A24_스마티공장도입의향_법인,A25_상장여부_법인,A25_상장년도_법인,A25_상장거래소_법인,B11_대표이사_창업자여부_법인,B12_대표이사_성별_법인,B13_대표이사_연령_법인,B14_대표이사_최종학력_법인,B141_대표이사_전공_법인,B141_대표이사_전공_기타_법인,B15_대표이사_이전근무지_법인,B15_대표이사_이전근무지_기타_법인,B16_대표이사_업무경력분야2_0_법인,B16_대표이사_업무경력분야2_1_법인,B16_대표이사_업무경력분야2_2_법인,B16_대표이사_업무경력분야2_3_법인,B16_대표이사_업무경력분야2_4_법인,B16_대표이사_업무경력분야2_5_법인,B16_대표이사_업무경력분야2_6_법인,B16_대표이사_업무경력분야2_7_법인,B16_대표이사_업무경력분야2_기타_법인,B21_창업자_성별_공통,B22_창업주_창업시연령_공통,B23_창업주_창업시최종학력_공통,B231_창업주_창업시전공_공통,B231_창업주_창업시전공_기타_공통,B24_창업주_이전근무지_공통,B24_창업주_이전근무지_기타_공통,B25_창업주_업무경력분야_0_공통,B25_창업주_업무경력분야_1_공통,B25_창업주_업무경력분야_2_공통,B25_창업주_업무경력분야_3_공통,B25_창업주_업무경력분야_4_공통,B25_창업주_업무경력분야_5_공통,B25_창업주_업무경력분야_6_공통,B25_창업주_업무경력분야_7_공통,B25_창업주_업무경력분야_기타_공통,B261_창업방식형태_공통,B262_창업형태_단독공동_법인,B262_2_멤버수_법인,B2631_창업방식_창업자주요역할_0_공통,B2631_창업방식_창업자주요역할_1_공통,B2631_창업방식_창업자주요역할_2_공통,B2631_창업방식_창업자주요역할_3_공통,B2631_창업방식_창업자주요역할_4_공통,B2631_창업방식_창업자주요역할_기타_공통,B2632_창업방식_공동창업자주요역할_0_법인,B2632_창업방식_공동창업자주요역할_1_법인,B2632_창업방식_공동창업자주요역할_2_법인,B2632_창업방식_공동창업자주요역할_3_법인,B2632_창업방식_공동창업자주요역할_4_법인,B2632_창업방식_공동창업자주요역할_기타_법인,B27_창업시목표시장_법인,B28_창업시관련분야실무경험년수_공통,B29_창업주과거창업경험여부_공통,B291_창업경험및결과_성공_공통,B291_창업경험및결과_실패_공통,B291_창업경험및결과_합계_공통,C11_2017년기준_정규직_남_공통,C11_2017년기준_정규직_여_공통,C11_2017년기준_정규직_합계_공통,C11_2018년기준_정규직_남_공통,C11_2018년기준_정규직_여_공통,C11_2018년기준_정규직_합계_공통,C12_2017년기준_비정규직_남_공통,C12_2017년기준_비정규직_여_공통,C12_2017년기준_비정규직_합계_공통,C12_2018년기준_비정규직_남_공통,C12_2018년기준_비정규직_여_공통,C12_2018년기준_비정규직_합계_공통,C13_2017년기준_총종사자_남_공통,C13_2017년기준_총종사자_여_공통,C13_2017년기준_총종사자_합계_공통,C13_2018년기준_총종사자_남_공통,C13_2018년기준_총종사자_여_공통,C13_2018년기준_총종사자_합계_공통,C2_총종사자수_관리_공통,C2_총종사자수_생산_공통,C2_총종사자수_영업_공통,C2_총종사자수_연구개발(RnD)_공통,C2_총종사자수_기타_공통,C2_총종사자수_합계_공통,C3_학력별인력구성비_고졸이하_법인,C3_학력별인력구성비_전문대졸_법인,C3_학력별인력구성비_대졸_법인,C3_학력별인력구성비_석사_법인,C3_학력별인력구성비_박사_법인,C4_예상신규채용_신규채용의사_공통,C4_예상신규채용_2019년하반기_채용인원_공통,C4_예상신규채용_2020년_채용인원_공통,C4_예상신규채용_채용인원합계_공통,C41_신규채용희망학력_고졸이하_법인,C41_신규채용희망학력_전문대졸_법인,C41_신규채용희망학력_대졸_법인,C41_신규채용희망학력_석사_법인,C41_신규채용희망학력_박사_법인,C41_신규채용희망학력_합계_법인,C42_신규채용계획없는주요이유_법인,C42_신규채용계획없는주요이유_기타_사유_법인,C51_구인하기어려운직무_1순위_법인,C51_구인하기어려운직무_2순위_법인,C51_구인하기어려운직무_기타_법인,C52_구인하기어려운직급_1순위_법인,C52_구인하기어려운직급_2순위_법인,D1_지분_창업자_법인,D1_지분_임직원_법인,D1_지분_가족_법인,D1_지분_벤처캐피털_법인,D1_지분_엔젤및엑셀러레이터_법인,D1_지분_개인투자자_법인,D1_지분_합계_법인,D21_재무상태표_2017년_자산총계_공통,D21_재무상태표_2018년_자산총계_공통,D22_재무상태표_2017년_부채총계_공통,D22_재무상태표_2018년_부채총계_공통,D23_재무상태표_2017년_자본총계_공통,D23_재무상태표_2018년_자본총계_공통,D31_2017년_매출액_공통,D31_2018년_매출액_공통,D32_2017년_영업이익_공통,D32_2018년_영업이익_공통,D33_2017년_금융비용_공통,D33_2018년_금융비용_공통,D34_2017년_당기순이익_공통,D34_2018년_당기순이익_공통,D4_매출_대기업(B2B)_공통,D4_매출_12차벤더(B2B)_공통,D4_매출_중소기업(B2B)_공통,D4_매출(B2C)_공통,D4_매출(B2G)_공통,D4_매출_글로벌_공통,D4_매출_합계_공통,D51_연구개발(RnD)_경험여부_공통,D51_연구개발(RnD)_2018년총금액_공통,D52_융자_경험여부_공통,D52_융자_2018년총금액_공통,D53_보증서지원_경험여부_공통,D53_보증서지원_2018년총금액_공통,D54_기타지원_경험여부_공통,D54_기타지원_2018년총금액_공통,D55_합계_2018년총금액_공통,D5_개인사업자_향후법인전환의사여부_개인,D6_신규자금조달규모_법인,D6_신규자금조달_기업공개(IPO)_법인,D6_신규자금조달_캐피탈_법인,D6_신규자금조달_회사채_법인,D6_신규자금조달_정부지원금_법인,D6_신규자금조달_은행_법인,D6_신규자금조달_기타_법인,D6_신규자금조달_합계_법인,D7_투자액_국내설비_법인,D7_투자액_연구개발(RnD)_법인,D7_투자액_해외_법인,D7_투자액_기타_법인,D7_투자액_합계_법인,D8_스톡옵션상황_법인,D81_스톡옵션_실시주요목적_법인,D82_스톡옵션_활용안하는이유_법인,E1_공통_4차산업혁명과관계여부_공통,E11_분야별주력제품관련성_0_공통,E11_분야별주력제품관련성_1_공통,E11_분야별주력제품관련성_2_공통,E21_등록보유_특허권_공통,E21_등록보유_실용신안권_공통,E21_등록보유_디자인권_공통,E21_등록보유_상표권_공통,E21_등록보유_해외산업재산권_공통,E21_등록보유_합계_공통,E22_출원중_특허권_공통,E22_출원중_실용신안권_공통,E22_출원중_디자인권_공통,E22_출원중_상표권_공통,E22_출원중_해외산업재산권_공통,E22_출원중_합계_공통,E3_획득중인해외특허_0_법인,E3_획득중인해외특허_1_법인,E3_획득중인해외특허_2_법인,E4_제품및서비스구조_법인,E5_세계유일의기술보유여부_법인,E61_기술력수준비교_세계_법인,E62_기술력수준비교_국내_법인,E7_연구개발관련전담부서보유여부_법인,F11_개발역량_법인,F12_제조역량_법인,F13_마케팅역량_법인,F21_경쟁전략초점정도_원가우위수준_법인,F22_경쟁전략초점정도_고부가가치화수준_법인,F31_비즈니스모델혁신정도_명확한정리_법인,F32_비즈니스모델혁신정도_혁신_법인,F4_장기적성장전망성_법인,G1_자체브랜드보유여부_공통,G11_자체브랜드보유개수_공통,G2_영업및마케팅방식_0_공통,G2_영업및마케팅방식_기타_공통,G31_국내시장점유율_법인,G32_글로벌시장점유율_법인,G4_글로벌사업방식_법인,G41_해외지사설치여부_법인,G51_글로벌시장진출지역_0_법인,G51_글로벌시장진출지역_1_법인,G51_글로벌시장진출지역_2_법인,G51_글로벌시장진출지역_3_법인,G51_글로벌시장진출지역_4_법인,G51_글로벌시장진출지역_5_법인,G51_글로벌시장진출지역_6_법인,G51_글로벌시장진출지역_기타_법인,G52_직-간접수출지역_0_법인,G52_직-간접수출지역_1_법인,G52_직-간접수출지역_2_법인,G52_직-간접수출지역_3_법인,G52_직-간접수출지역_4_법인,G52_직-간접수출지역_5_법인,G52_직-간접수출지역_6_법인,G52_직-간접수출지역_기타_법인,G6_해외수출시애로사항_1순위_법인,G6_해외수출시애로사항_2순위_법인,G6_해외수출시애로사항_기타_법인,H1_선호협력기관_메인파트너_1순위_공통,H1_선호협력기관_메인파트너_2순위_공통,H11_협력활동유형_공통,H11_협렵활동도움정도_공통,H11_협력활동유형_기타_공통,H12_협력활동유형_공통,H12_협렵활동도움정도_공통,H12_협력활동유형_기타_공통,H13_협력활동유형_공통,H13_협렵활동도움정도_공통,H13_협력활동유형_기타_공통,H14_협력활동유형_공통,H14_협렵활동도움정도_공통,H14_협력활동유형_기타_공통,H15_협력활동유형_공통,H15_협렵활동도움정도_공통,H15_협력활동유형_기타_공통,H21_협력의사_공통,H21_협력희망분야_공통,H21_협력희망분야_기타_공통,H22_협력의사_공통,H22_협력희망분야_공통,H22_협력희망분야_기타_공통,H23_협력의사_공통,H23_협력희망분야_공통,H23_협력희망분야_기타_공통,H24_협력의사_공통,H24_협력희망분야_공통,H24_협력희망분야_기타_공통,H25_협력의사_공통,H25_협력희망분야_공통,H25_협력희망분야_기타_공통,I1_크라우드펀딩받은경험_법인,I2_엔젤투자자투자받은경험_법인,I3_밴처캐피탈투자받은경험_법인,I31_투자한벤처캐피탈역할_법인,I321_도움여부_법인,I321_도움정도_법인,I322_도움여부_법인,I322_도움정도_법인,I323_도움여부_법인,I323_도움정도_법인,I324_도움여부_법인,I324_도움정도_법인,I325_도움여부_법인,I325_도움정도_법인,I326_도움여부_법인,I326_도움정도_법인,I327_도움여부_법인,I327_도움정도_법인,I4_인수합병의향_법인,I5_인수합병응할의향_법인,I6_인수합병(MnA)환경개선을위해필요한것_1순위_법인,I6_인수합병(MnA)환경개선을위해필요한것_2순위_법인,J11_납품단가_법인,J11_단가변동폭_법인,J12_납품단가_법인,J12_단가변동폭_법인,J13_납품단가_법인,J13_단가변동폭_법인,J14_납품단가_법인,J14_단가변동폭_법인,J21_현재이익률_법인,J21_희망적정이익률_법인,J22_현재이익률_법인,J22_희망적정이익률_법인,J23_현재이익률_법인,J23_희망적정이익률_법인,J24_현재이익률_법인,J24_희망적정이익률_법인,J31_불공정거래경험여부_법인,J31_불공정거래심각성정도_법인,J32_불공정거래경험여부_법인,J32_불공정거래심각성정도_법인,J33_불공정거래경험여부_법인,J33_불공정거래심각성정도_법인,J34_불공정거래경험여부_법인,J34_불공정거래심각성정도_법인,J4_기업간거래시주요애로사항_1순위_법인,J4_기업간거래시주요애로사항_2순위_법인,K11_기술개발촉진효과_공통,K12_기업이미지제고등광고효과_공통,K13_세제혜택효과_공통,K14_우수인력확보에유리_공통,K15_입지선정시유리_공통,K16_자금조달및투자유인효과_공통,K17_정부지원제도참여에유리_공통,K18_창업관련규제완화효과_공통,K21_인수합병(MnA)활성화를위한제도개선_공통,K22_벤처관련규제완화_공통,K23_창업및기업가적능력개발을위한교육_공통,K24_기업가정신을고취하는사회분위기_공통,K25_벤처투자활성화_법인_공통,K31_실천하고있는사회적책임_0_법인,K31_실천하고있는사회적책임_1_법인,K31_실천하고있는사회적책임_기타_법인,K32_향후사회적책임실천할계획여부_법인,K41_신기술개발애로_공통,K42_개발된기술의사업화애로_공통,K43_국내판로개척애로_공통,K44_해외시장개척애로_공통,K45_필요인력의확보및유지관리애로_공통,K46_자금조달_운용등자금관리애로_공통,K47_기술유출_디자인및상표도용애로_공통,K48_업계내의과당경쟁및덤핑애로_공통,K49_법률회계세무관련지식부족애로_공통,K410_조직관리애로_공통,K411_환율변동애로_공통,K412_특허분쟁애로_공통,K413_각종규제애로_공통,K414_산-학-연간협력활동애로_공통,K415_불공정한시장질서애로_공통
127,법인,5.44,8,4,1,3,3,20,11,62021,2,3,서울,마포구,J62021,J,62,620,1999,3,4,,2,2,,,2,1,48,2,5,전산학,6,,3,,,,,,,,,1,2,3,2,,6,,1,,,,,,,,,3,1,,3,,,,,,,,,,,,1,10,2,,,,38,29,67,41,30,71,1,3,4,1,3,4,39,32,71,42,33,75,51,8,6,0,10,75,0,13,84,3,0,2,,,,,,,,,,1,,5,3,,1,2,0,53,0,0,0,47,100,12822,19213,7177,8993,5645,10220,23807,26150,872,3008,64,199,645,3685,0,88,3,0,0,9,100,1,68,2,,2,,2,,68,,1744,0,0,0,4,96,0,100,0,893,0,0,893,3,2,,2,,,,4,0,0,0,0,4,0,0,0,0,0,0,3,,,3,2,2,2,2,3,4,3,3,3,4,3,4,2,,1,,18,1,3,2,,,,,,,,,2,3,,,,,,,4,3,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,1,3,,,2,,2,,2,,,,10,13,10,13,10,13,,,,,,,,,2,5,3,3,4,3,3,3,4,3,3,3,4,4,3,3,,,1,4,3,3,4,3,3,4,3,3,4,4,3,3,3,4
128,법인,3.676,3,5,1,5,3,19,31,29271,1,2,경기,화성시,C29271,C,29,292,2000,5,2,50,1,1,2013,2,2,1,48,2,3,,6,,3,,,,,,,,,1,4,2,3,,6,,1,3,,,,,,,,2,2,10,4,,,,,,4,,,,,,3,0,2,,,,174,59,233,174,59,233,0,0,0,0,0,0,174,59,233,174,59,233,57,60,72,28,16,233,15,8,75,2,0,1,10,20,30,0,0,30,0,0,30,,,5,2,,2,1,0,0,0,25,0,75,100,179756,176296,90732,109418,89024,66878,89874,114669,4705,-1892,2568,3530,-402,-23732,0,40,0,0,0,60,100,2,,2,,2,,2,,,,,,,,,,,,0,459,0,0,459,1,1,,1,9,15,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,2,2,3,3,2,3,2,3,2,3,2,2,4,1,1,3,,5,30,1,1,3,,,,,,,,5,,,,,,,,4,7,,4,1,10,4,,5,4,,,,,3,4,,,,,1,3,,2,,,1,10,,2,,,2,,,2,2,1,1,,,,,,,,,,,,,,,1,2,3,2,,,3,5,,,2,,,,10,25,,,30,30,,,,,,,,,11,4,3,3,3,3,3,3,4,3,3,3,3,3,3,1,,,1,5,5,4,4,4,5,3,3,3,3,3,3,3,3,3
129,법인,46.091,5,1,1,4,3,19,31,25119,1,1,경기,김포시,C25119,C,25,251,2000,4,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,4,3,3,,6,,4,,,,,,,,,3,1,,2,,,,,,,,,,,,1,10,1,0,1,1,5,1,6,6,1,7,2,0,2,2,0,2,7,1,8,8,1,9,2,1,1,4,1,9,44,12,44,0,0,1,1,1,2,1,0,1,0,0,2,,,6,4,,1,2,100,0,0,0,0,0,100,1633,1761,635,652,999,1109,1203,1233,209,83,31,28,199,131,20,80,0,0,0,0,100,1,30,1,150,2,,2,,180,,180,0,0,0,100,0,0,100,10,53,0,0,63,4,,1,2,,,,7,2,4,1,1,15,1,0,0,0,0,1,1,,,1,1,3,1,2,5,4,3,3,4,2,2,5,2,,1,,60,0,4,,,,,,,,,,,,,,,,,,2,4,,2,1,3,3,,11,4,,,,,,,,,,,1,3,,1,4,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,1,3,2,3,15,3,15,,,,,7,15,8,15,,,,,,,,,,,,,7,8,3,3,1,2,2,2,3,3,2,2,1,2,1,4,,,1,5,4,3,5,2,5,3,5,3,3,4,3,3,3,4
130,법인,2.875,6,5,1,3,3,19,31,29294,1,2,경기,김포시 양촌읍,C29294,C,29,292,2000,3,1,,2,2,,,2,1,53,3,1,,5,,3,,,,,,,,,1,2,3,2,,3,,2,5,,,,,,,,3,1,,1,3,,,,,,,,,,,1,3,2,,,,72,29,101,83,23,106,0,0,0,0,0,0,72,29,101,83,23,106,0,10,12,66,18,106,10,10,78,1,1,1,1,2,3,0,0,3,0,0,3,,,3,4,,2,1,0,40,26,0,0,34,100,17874,16805,12782,10756,5092,6048,13027,14037,1676,1990,539,412,1072,1337,10,40,50,0,0,0,100,2,,2,,2,,2,,,,2331,0,0,0,0,50,50,100,20,311,0,0,331,3,3,,2,,,,1,0,0,0,0,1,0,0,0,0,0,0,3,,,2,2,2,2,5,4,3,3,3,3,3,3,5,2,,3,,15,0,4,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,4,3,2,2,,2,,,,18,20,20,20,20,20,,,,,,,,,,,7,9,4,3,3,4,4,4,4,4,3,3,3,3,3,5,,,1,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3
131,법인,6.833,1,3,4,3,3,19,37,22192,1,3,경북,영주시,C22192,C,22,221,2000,3,2,15,2,3,,,1,,,,,,,,,,,,,,,,,1,4,3,3,,5,,1,3,4,,,,,,,2,1,,5,,,,,총괄,,,,,,,3,10,2,,,,0,0,0,31,17,48,0,0,0,0,0,0,0,0,0,31,17,48,10,7,0,25,6,48,11,22,56,9,2,1,4,0,4,0,0,4,0,0,4,,,6,5,,1,2,42,9,12,22,1,14,100,24054,27439,17199,20512,6855,6927,35595,38851,638,832,467,493,278,358,20,5,5,0,0,70,100,2,,2,,1,466,2,,466,,1556,0,0,0,30,70,0,100,374,2164,0,0,2538,3,3,,2,,,,8,0,0,0,0,8,5,0,0,0,0,5,3,,,3,2,2,2,2,4,4,3,2,3,4,2,4,1,1,3,,5,1,3,1,3,6,,,,,,,1,3,5,6,,,,,7,4,,4,5,3,4,,3,4,,11,4,,4,4,,12,4,,1,3,,1,4,,1,2,,1,9,,2,,,2,1,1,1,,,,,,,,,,,,,,,2,2,1,2,3,15,3,10,3,5,3,5,3,10,5,10,2,5,10,15,,,,,1,4,1,4,11,8,3,4,2,2,2,4,2,3,3,3,2,2,2,4,,,1,5,5,5,5,5,5,4,5,4,3,5,2,5,5,5
132,법인,7.778,4,4,2,3,3,19,25,26429,1,2,대전,유성구,C26429,C,26,264,2000,3,2,60,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,1,,5,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,10,2,,,,45,7,52,48,6,54,0,0,0,0,0,0,45,7,52,48,6,54,21,9,6,15,3,54,4,4,74,16,2,1,3,10,13,5,5,3,0,0,13,,,5,3,,2,1,0,98,0,0,0,2,100,10653,11543,6155,6810,4498,4734,10504,10832,-380,330,96,130,-484,236,98,2,0,0,0,0,100,1,600,2,,2,,2,,600,,2000,0,0,0,30,70,0,100,300,589,0,0,889,4,,4,2,,,,6,0,1,0,0,7,0,0,0,0,0,0,3,,,3,2,3,3,2,2,3,3,3,2,1,1,3,2,,1,,5,0,4,,,,,,,,,,,,,,,,,,1,6,,4,3,,,,,,,8,3,,2,4,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,1,3,2,,2,,,,,,8,15,5,10,,,,,,,,,,,,,4,11,3,3,3,3,3,3,3,3,2,3,2,1,2,1,5,,2,5,2,5,5,5,4,3,4,4,3,3,1,4,3,3
133,법인,21.833,8,2,1,3,3,18,11,62021,2,1,서울,금천구,J62021,J,62,620,2001,3,4,,2,4,,,1,,,,,,,,,,,,,,,,,1,3,3,1,,5,,5,,,,,,,,,3,1,,1,3,,,,,,,,,,,3,0,2,,,,7,2,9,7,3,10,0,0,0,0,0,0,7,2,9,7,3,10,8,1,0,0,1,10,10,10,70,10,0,2,,,,,,,,,,2,,2,5,,1,2,0,80,0,0,0,20,100,2942,2706,1948,1630,994,1076,1444,1678,56,50,55,13,2,83,0,5,95,0,0,0,100,1,200,1,150,2,,2,,350,,450,0,0,0,78,22,0,100,0,450,0,0,450,3,3,,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,2,2,3,3,3,3,3,4,3,3,3,4,3,2,,3,,2,0,4,,,,,,,,,,,,,,,,,,3,2,,3,,,,,,,,3,4,,,,,,,,2,,,2,,,2,,,1,3,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,1,,,2,,2,,,,,,10,17,10,17,,,,,,,,,,,8,2,3,4,4,3,3,4,3,4,3,3,4,3,3,7,,,1,4,4,3,3,3,4,3,3,3,4,2,3,3,4,3
134,법인,8.182,8,3,1,3,3,18,11,62021,2,2,서울,성동구,J62021,J,62,620,2001,3,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,5,,,6,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,3,0,2,,,,18,17,35,21,18,39,4,3,7,4,3,7,22,20,42,25,21,46,35,3,0,0,8,46,5,12,72,7,4,1,2,0,2,0,2,0,0,0,2,,,1,2,,2,1,0,100,0,0,0,0,100,11786,11933,4898,4624,6889,7309,15651,12787,2056,548,125,133,1687,421,20,80,0,0,0,0,100,2,,2,,1,200,2,,200,,10000,0,0,0,20,80,0,100,1000,407,0,0,1407,4,,1,1,11,13,,2,0,0,0,0,2,0,0,0,0,0,0,3,,,3,2,3,3,2,3,4,3,4,4,3,3,3,1,2,3,,15,0,4,,,,,,,,,,,,,,,,,,5,7,,2,1,4,4,,9,4,,,,,,,,,,,1,11,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,4,3,2,,2,,,,,,25,30,25,30,,,,,,,,,,,,,2,3,3,3,4,3,3,3,4,4,3,3,4,3,4,2,4,,1,3,3,4,3,3,4,4,3,3,3,4,3,4,4,3
135,법인,8.861,2,2,3,3,3,18,26,27192,1,2,울산,울주군,C27192,C,27,271,2001,3,2,20,1,4,,,2,1,68,5,,,5,,6,,,,,,,,,1,5,3,3,,10,언론사,3,,,,,,,,,3,2,6,2,,,,,,4,,,,,,1,0,2,,,,16,6,22,14,5,19,1,0,1,1,1,2,17,6,23,15,6,21,3,2,0,14,2,21,62,5,33,0,0,2,,,,,,,,,,3,,5,6,,2,1,0,36,10,0,0,55,100,3449,4193,1854,1675,1595,2518,3051,2602,106,60,46,49,200,93,0,0,4,0,0,96,100,2,,1,200,1,100,2,,300,,300,0,0,0,100,0,0,100,0,173,0,0,173,4,,2,1,18,,,1,0,0,0,0,1,1,0,1,0,0,2,3,,,2,1,1,1,2,3,3,4,3,4,3,3,4,1,2,2,,4,0,3,1,7,,,,,,,호주,5,,,,,,,,3,2,,2,,,,,11,4,,,,,,,,,,,2,,,1,3,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,6,,,,,2,,2,,,,,,5,15,20,20,,,,,,,,,2,11,3,5,1,3,3,4,5,3,3,3,2,3,3,7,,,1,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3
136,법인,7,5,4,1,4,3,18,31,29299,1,2,경기,안산시,C29299,C,29,292,2001,4,2,40,1,4,,,1,,,,,,,,,,,,,,,,,1,1,4,1,,6,,6,,,,,,,,,3,2,2,1,,,,,,1,,,,,,1,6,2,,,,51,9,60,51,10,61,0,0,0,0,0,0,51,9,60,51,10,61,5,15,14,19,8,61,44,21,31,3,0,2,,,,,,,,,,3,,5,6,,1,2,47,47,5,0,0,2,100,19915,22262,7910,9740,12005,12522,18178,17391,1394,1211,176,171,1422,828,0,100,0,0,0,0,100,1,302,1,2000,2,,2,,2302,,2302,0,0,0,100,0,0,100,0,302,0,663,965,3,2,,2,,,,17,2,4,0,23,46,0,0,0,0,0,0,3,,,3,2,2,2,2,4,4,3,3,4,4,3,3,1,1,5,전시회 참석,25,0,4,,,,,,,,,,,,,,,,,,3,2,,2,3,,,,3,4,,3,4,,,,,,,,2,,,1,3,,1,3,,1,3,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,1,,,3,5,,,,,,,7,10,,,,,,,,,,,,,4,11,3,3,3,2,4,4,4,4,2,3,3,3,2,1,,,1,3,4,4,4,4,3,3,4,3,4,4,3,3,3,4
137,법인,7.629,3,3,1,3,3,17,31,28123,1,2,경기,양주시,C28123,C,28,281,2002,3,2,20,1,4,,,1,,,,,,,,,,,,,,,,,1,3,5,,,6,,8,,,,,,,,엔지니어,3,1,,1,,,,,,,,,,,,3,15,1,1,0,1,32,14,46,31,11,42,0,0,0,0,0,0,32,14,46,31,11,42,4,5,11,12,10,42,45,20,30,5,0,1,3,3,6,1,3,2,0,0,6,,,8,5,현장설치 A/S,2,1,0,95,5,0,0,0,100,7405,9230,3889,5519,3515,3711,11135,11992,192,179,44,55,190,196,0,0,60,0,18,22,100,2,,1,900,2,,1,100,1000,,2850,0,0,0,35,0,65,100,1850,419,0,0,2269,4,,4,2,,,,3,1,1,0,0,5,0,0,0,0,0,0,3,,,3,2,4,2,2,4,4,4,4,4,4,4,4,1,1,3,,30,20,3,1,4,7,,,,,,,4,5,,,,,,,3,7,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,4,3,,,,,2,,2,,,,,,15,22,20,25,,,,,,,,,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
138,법인,3.294,7,5,1,3,3,17,11,58221,2,2,서울,구로구,J58221,J,58,582,2002,3,4,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,4,,5,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,0,2,,,,52,40,92,53,40,93,3,6,9,3,6,9,55,46,101,56,46,102,21,8,0,37,36,102,0,0,90,10,0,1,5,0,5,0,5,0,0,0,5,,,3,7,,1,2,70,23,0,0,7,0,100,9556,10248,8830,8957,726,1291,13128,15680,511,641,284,291,229,366,65,0,25,0,10,0,100,2,,1,300,1,130,2,,430,,430,0,0,0,100,0,0,100,0,1927,0,0,1927,4,,1,1,11,13,15,0,0,0,4,0,4,0,0,0,0,0,0,3,,,3,2,3,3,2,4,3,3,3,3,4,3,3,2,,3,,5,0,4,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,1,2,,,,,,,,,,,,,,,,2,2,3,5,2,,,,2,,,,16,20,,,16,20,,,,,,,,,,,4,2,3,3,3,3,4,4,3,4,3,3,4,3,3,3,,,2,3,3,4,4,3,4,3,4,4,3,3,3,4,3,3
139,법인,3.294,7,5,1,2,3,17,11,58219,2,3,서울,강남구,J58219,J,58,582,2002,2,2,50,2,3,,,1,,,,,,,,,,,,,,,,,1,2,3,3,,6,,3,4,7,,,,,,,3,1,,3,,,,,,,,,,,,3,12,2,,,,97,29,126,103,41,144,0,0,0,17,33,50,97,29,126,120,74,194,109,15,50,1,19,194,18,24,50,7,1,1,5,5,10,0,0,10,0,0,10,,,5,3,,1,2,43,0,0,36,0,21,100,10695,19403,6985,2096,3710,17307,5923,3931,-156,-8109,336,129,-489,-10875,28.3,0,19.4,33.4,3,15.9,100,2,,2,,2,,2,,,,22219,0,100,0,0,0,0,100,2873,2718,223,0,5814,3,3,,1,19,,,2,0,0,17,0,19,13,0,0,2,2,17,3,,,3,2,2,1,2,5,4,3,4,4,4,4,4,1,1,3,,50,5,3,1,3,,,,,,,,2,3,5,,,,,,4,7,,2,4,,,,4,3,,,,,10,3,,,,,1,3,,2,,,1,8,,2,,,1,12,,2,2,1,2,1,3,1,4,2,,2,,2,,2,,2,,2,2,3,4,2,,,,2,,2,,20,30,,,25,30,30,40,,,,,,,,,4,11,4,4,4,3,3,4,4,3,3,3,3,3,3,3,,,1,4,4,4,4,4,4,3,2,3,4,1,1,3,3,2
