회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
(주)신세계,004170,2022/12,14.9,74.93
(주)신세계아이앤씨,035510,2022/12,7.27,76.43
(주)신세계인터내셔날,031430,2022/12,19.95,50
(주)신세계푸드,031440,2022/12,0,15
(주)신영와코루,005800,2022/12,11.64,30
(주)신원,009270,2022/12,44.21,15.72
(주)신풍,002870,2022/12,0,7.93
(주)신한금융지주회사,055550,2022/12,36.44,15.33
(주)신화다이나믹스,001770,2022/12,1.12,2
(주)신흥,004080,2022/12,14.7,18.1
(주)쌍방울,102280,2022/12,0,0
(주)쎌마테라퓨틱스,015540,2022/12,0,0
(주)쏘카,403550,2022/12,0,0
(주)씨아이테크,004920,2022/12,0,0
(주)씨티알모빌리티,308170,2022/12,0,0
(주)아모레퍼시픽,090430,2022/12,25.53,136.04
(주)아모레퍼시픽그룹,002790,2022/12,13.37,45.22
(주)아센디오,012170,2022/12,0,0
(주)아이마켓코리아,122900,2022/12,13,25.98
(주)아이에이치큐,003560,2022/12,0,0
(주)알루코,001780,2022/12,0,0
(주)에넥스,011090,2022/12,0,0
(주)에스비에스,034120,2022/12,14.7,19.38
(주)에스엠벡셀,010580,2022/12,0,0
(주)에스원,012750,2022/12,59.72,444.88
(주)에스제이엠,123700,2022/12,22.66,20
(주)에스제이엠홀딩스,025530,2022/12,117.85,27.22
(주)에스지글로벌,001380,2022/12,0,0
(주)에스지세계물산,004060,2022/12,0,0
(주)에스피씨삼립,005610,2022/12,30,31.94
(주)에이블씨엔씨,078520,2022/12,0,0
(주)에이엔피,015260,2022/12,0,0
(주)에이프로젠,007460,2022/12,0,0
(주)에이프로젠바이오로직스,003060,2022/12,0,0
(주)에이플러스에셋어드바이저,244920,2022/12,14.04,40
(주)에프앤에프,383220,2022/12,15.83,1593.14
(주)에프앤에프홀딩스,007700,2022/12,57.61,69.92
(주)엔씨소프트,036570,2022/12,29.6,1235.8
(주)엔아이스틸,008260,2022/12,5.86,20
(주)엔케이,085310,2022/12,0,0
(주)엘에스,006260,2022/12,9.53,26.44
(주)엘에스네트웍스,000680,2022/12,0,0
(주)엘에프,093050,2022/12,12.79,13.63
(주)엘엑스세미콘,108320,2022/12,31.74,900
(주)엘엑스인터내셔널,001120,2022/12,20.41,55.68
(주)엘엑스하우시스,108670,2022/12,0,4.09
(주)엘엑스홀딩스,383800,2022/12,29.86,31
(주)엘지,003550,2022/12,64.36,59.2
(주)엘지생활건강,051900,2022/12,87.24,75.78
(주)엘지에너지솔루션,373220,2022/12,0,0
(주)엘지유플러스,032640,2022/12,25.98,6.68
(주)엘지헬로비전,037560,2022/12,0,4.8
(주)엘지화학,051910,2022/12,26.04,200.08
(주)엠씨넥스,097520,2022/12,44.24,98.37
(주)영원무역,111770,2022/12,32.86,302.92
(주)영원무역홀딩스,009970,2022/12,66.06,519.16
(주)영풍,000670,2022/12,0,186.76
(주)영흥,012160,2022/12,0,0
(주)예스코홀딩스,015360,2022/12,0,35.55
(주)오뚜기,007310,2022/12,16.7,154.47
(주)오리엔트바이오,002630,2022/03,0,0
(주)오리온,271560,2022/12,35.88,189.96
(주)오리온홀딩스,001800,2022/12,220.21,134.44
(주)와이지플러스,037270,2022/12,0,0
(주)와이투솔루션,011690,2022/12,0,0
(주)용평리조트,070960,2022/12,0,0
(주)우리금융지주,316140,2022/12,60.3,19.6
(주)우성,006980,2022/12,0,0
(주)우신시스템,017370,2022/12,6.29,5.17
(주)우진,105840,2022/12,43.35,29.25
(주)우진아이엔에스,010400,2022/12,0,0
(주)우진플라임,049800,2022/12,4.78,10
(주)웅진,016880,2022/12,0,0
(주)웅진씽크빅,095720,2022/12,114.19,13.44
(주)원림,005820,2022/12,36.49,6.27
(주)위스컴,024070,2022/12,0,10
(주)윌비스,008600,2022/12,0,0
(주)유니드,014830,2022/12,11.31,39.24
(주)유니드비티플러스,446070,2022/12,,
(주)유니온,000910,2022/12,0,25
(주)유니켐,011330,2022/12,41.78,3.95
(주)유수홀딩스,000700,2022/12,37.33,15.05
(주)유유제약,000220,2022/12,0,9.91
(주)유한양행,000100,2022/12,20.93,36.65
(주)이노션,214320,2022/12,26.9,340
(주)이마트,139480,2022/12,5.1,38.44
(주)이수페타시스,007660,2022/12,7.39,10
(주)이수화학,005950,2022/12,87.63,9.73
(주)이스타코,015020,2022/12,0,0
(주)이아이디,093230,2022/12,0,0
(주)이엔플러스,074610,2022/12,0,0
(주)이원,017940,2022/12,14.95,60.68
(주)이월드,084680,2022/12,0,0
(주)인디에프,014990,2022/12,0,0
(주)인바이오젠,101140,2022/12,0,0
(주)인스코비,006490,2022/12,0,0
(주)인팩,023810,2022/12,28.98,36
(주)일신석재,007110,2022/12,0,0
(주)잇츠한불,226320,2022/12,0,24.1
(주)제이에스코퍼레이션,194370,2022/12,31.16,473.87
(주)제일기획,030000,2022/12,185.1,506.21
(주)제주은행,006220,2022/12,14.08,2
(주)제주항공,089590,2022/12,0,0
(주)조비,001550,2022/12,0,0
(주)조흥,002600,2022/12,32.93,130
(주)종근당,185750,2022/12,14,38.73
(주)종근당바이오,063160,2022/12,0,0
(주)종근당홀딩스,001630,2022/12,44.09,54.36
(주)주연테크,044380,2022/12,0,0
(주)지누스,013890,2022/12,402.19,102.89
(주)지에스,078930,2022/12,53.15,50.01
(주)지에스글로벌,001250,2022/12,0,0
(주)지에스리테일,007070,2022/12,71.43,41.96
(주)지투알,035000,2022/12,78.51,36.9
(주)진도,088790,2022/12,18.99,14
(주)진양홀딩스,100250,2022/12,0,28.72
(주)진에어,272450,2022/12,0,0
(주)천일고속,000650,2022/12,0,0
(주)청호ICT,012600,2022/12,0,0
(주)체시스,033250,2022/06,0,0
(주)카카오,035720,2022/12,1.62,58.76
(주)카카오뱅크,323410,2022/12,14.5,1.6
(주)카카오페이,377300,2022/12,0,0
(주)카프로,006380,2022/12,0,0
(주)케이씨,029460,2022/12,9.08,62.85
(주)케이씨씨,002380,2022/12,701.09,107.06
(주)케이씨씨글라스,344820,2022/12,23.17,139.76
(주)케이씨텍,281820,2022/12,9.16,48.63
(주)케이씨티시,009070,2022/12,14.68,11.96
(주)케이에스에스해운,044450,2022/12,18.75,68.16
(주)케이에이치필룩스,033180,2022/12,0,0
(주)케이이씨,092220,2022/12,39.74,12
(주)케이티,030200,2022/12,65.71,32.08
(주)케이티스카이라이프,053210,2022/12,48.52,13.93
(주)케이티씨에스,058850,2022/12,34.6,19.09
(주)케이티아이에스,058860,2022/12,23.09,21.12
(주)케이티앤지,033780,2022/12,60.69,60.88
(주)코리아써키트,007810,2022/12,0,0
(주)코아스,071950,2022/12,0,0
(주)코오롱,002020,2022/12,30.43,11.08
(주)콘텐트리중앙,036420,2022/12,0,0
(주)콤텍시스템,031820,2022/12,0,0
(주)큐로,015590,2022/12,0,0
(주)크라운제과,264900,2022/12,11.82,120.28
(주)크라운해태홀딩스,005740,2022/12,0,19.4
(주)크래프톤,259960,2022/12,0,0
(주)키다리스튜디오,020120,2022/12,18.08,10
(주)태경비케이,014580,2022/12,18.77,26
(주)태영건설,009410,2022/12,11.45,45.02
(주)테이팩스,055490,2022/12,20.74,112.57
(주)토니모리,214420,2022/12,0,0
(주)티비에이치글로벌,084870,2022/12,0,0
(주)티에이치엔,019180,2022/12,14.64,10
(주)티와이홀딩스,363280,2022/12,14.76,21.14
(주)티웨이항공,091810,2022/12,0,0
(주)티웨이홀딩스,004870,2022/12,0,0
(주)팜스코,036580,2022/12,0,9.53
(주)퍼시스,016800,2022/12,99.06,68.92
(주)포스코인터내셔널,047050,2022/12,42.61,20
(주)포스코퓨처엠,003670,2022/12,20.22,59.96
(주)풀무원,017810,2022/12,45.78,17.79
(주)풍산,103140,2022/12,15.57,19.49
(주)풍산홀딩스,005810,2022/12,73.07,20.3
(주)플레이그램,009810,2022/12,0,0
(주)하나금융지주,086790,2022/12,64.85,49.53
(주)하나투어,039130,2022/12,0,0
(주)하이브,352820,2022/12,0,0
(주)하이스틸,071090,2022/12,5.34,4
(주)하이트론씨스템즈,019490,2022/12,0,0
(주)한국전자홀딩스,006200,2022/12,15.99,9.37
(주)한국종합기술,023350,2022/12,27.38,19
(주)한국카본,017960,2022/12,257.22,25.44
