,아이디,구분법인개인,가중치,쿼터규모,벤처확인유형,회사주소시도,회사주소구군,한국표준산업분류코드차,1단계업종분류대분류,2단계업종분류중분류,3단계업종분류소분류,창업년도,기업성장단계,제조및비제조,스마트공장도입의향,상장여부및향후계획,현대표이사와창업자동일여부,창업자성별,창업당시창업자연령,창업당시창업자최종학력,창업당시창업자전공,창업직전근무지,창업방식,단독창업여부,창업자역할,창업당시목표시장,창업당시창업자실무경험년수년,창업자과거창업경험여부,2019년 정규직_남성,2019년 정규직_여성,2019년 정규직_합계,2019년 비정규직_남성,2019년 비정규직_여성,2019년 비정규직_합계,2019년 총 종사자_남성,2019년 총 종사자_여성,2019년 총 종사자_합계,직종별인력구성관리,직종별인력구성생산,직종별인력구성영업,직종별인력구성_(Rnd),직종별인력구성기타,직종별인력구성합계,직종별부족인원관리,직종별부족인원생산,직종별부족인원영업,직종별 부족인원_연구개발(RnD),직종별부족인원기타,직종별부족인원합계,학력별인력구성박사,학력별인력구성석사,학력별인력구성대졸,학력별인력구성전문대졸,학력별인력구성고졸이하,학력별인력구성합계,신규인력채용의사,현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(1순위),지분구조퍼센트창업자,지분구조퍼센트임직원,지분구조퍼센트가족,지분구조퍼센트벤처캐피털및기관투자자,지분구조퍼센트엔젤및액셀러레이터,지분구조퍼센트개인투자자,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),매출구조(퍼센트)_(B2B)대기업 또는 대기업그룹사 소속사,"매출구조(퍼센트)_(B2B)대기업에 납품하는 1,2차 벤더",매출구조(퍼센트)_(B2B)중소기업 및 벤처기업,매출구조(퍼센트)_(B2B)중견기업,매출구조(퍼센트)_(B2C)소비자매출,매출구조(퍼센트)_(B2G)정부 포함 공공부문 매출,매출구조퍼센트해외,연구개발(RnD)자금(출연금)_경험여부,융자정책자금경험여부,보증서지원경험여부,기타지원경험여부,합계경험여부,투자처별투자액백만원국내설비,투자처별 투자액(백만원)_국내연구개발(RnD),투자처별투자액백만원해외,투자처별투자액백만원기타,투자처별투자액백만원합계,스톡옵션활용상황,스톡옵션미활용이유,주력기술과차산업혁명관련여부,현재등록보유산업재산권건특허권,현재등록보유산업재산권건실용신안권,현재등록보유산업재산권건디자인권,현재등록보유산업재산권건상표권,현재등록보유산업재산권건해외,현재등록보유산업재산권건합계,현재출원중산업재산권건특허권,현재출원중산업재산권건실용신안권,현재출원중산업재산권건디자인권,현재출원중산업재산권건상표권,현재출원중산업재산권건해외,현재출원중산업재산권건합계,획득하고있는해외특허나국제규격,제품및서비스구조,세계유일기술보유여부,세계최고수준기업과비교시기술력수준,국내최고수준기업과비교시기술력수준,기술연구소나연구개발전담부서보유여부,경쟁사대비현황개발역량,경쟁사대비현황제조역량,경쟁사대비현황마케팅역량,경쟁전략초점원가우위수준,경쟁전략초점제품고부가가치화수준,비즈니스모델명확한정리정도,비즈니스모델혁신정도,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,주력제품국내시장점유율퍼센트,주력제품해외시장점유율퍼센트,원자재나부품수입여부,해외사업방식,해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(1순위),크라우드펀딩경험여부,엔젤투자자혹은액셀러레이터투자경험여부,벤처캐피털투자조합포함투자경험여부,인수합병(MnA) 경험여부,피인수합병경험여부,다른업체를인수합병할의향여부,다른업체의인수합병에응할의향여부,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(1순위),기업간 거래시 애로사항(1순위),벤처확인제도혜택기술개발촉진효과,벤처확인제도혜택기업이미지제고등광고효과,벤처확인제도혜택세제혜택효과,벤처확인제도혜택우수인력확보에유리,벤처확인제도혜택입지선정시유리,벤처확인제도혜택자금조달및투자유인효과,벤처확인제도혜택정부지원제도참여에유리,벤처확인제도혜택창업관련규제완화효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재벤처인프라수준벤처관련규제완화,현재벤처인프라수준창업및기업가적능력개발을위한교육,현재벤처인프라수준기업가정신을고취하는사회분위기,현재벤처인프라수준벤처투자활성화,경영상애로사항신기술개발,경영상애로사항개발된기술의사업화,경영상애로사항국내판로개척,경영상애로사항해외시장개척,경영상애로사항필요인력의확보및유지관리,경영상애로사항자금조달운용등자금관리,경영상애로사항기술유출및디자인상표도용,경영상애로사항업계내의과당경쟁및덤핑,경영상애로사항법률회계세무관련지식부족,경영상애로사항조직관리,경영상애로사항환율변동,경영상애로사항특허분쟁,경영상애로사항각종규제,경영상애로사항산학연간협력활동,경영상애로사항불공정한시장질서,2020년 정규직 수 (남성),2020년 정규직 수 (여성),2020년 정규직 수 (합계),2020년 비정규직 수 (남성),2020년 비정규직 수 (여성),2020년 비정규직 수 (합계),2020년 총 종사자 수 (남성),2020년 총 종사자 수 (여성),2020년 총 종사자 수 (합계),신규인력수요유무,보유지분비율합계,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),2020년도 - 대기업 또는 대기업그룹사 소속사,2020년도 - 대기업에 납품하는 12차 벤더 (협력업체),2020년도 - 중소기업 및 벤처기업,2020년도 - 중견기업,2020년도_(B2C)소비자매출,2020년도 - B2G (정부 포함 공공부문 매출),2020년도 - 해외-,2020년도 - 국내설비투자액,2020년도 - 국내R_D투자액,2020년도 - 해외투자액,2020년도 - 기타,2020년도 - 합계,스톡옵션에관한귀사의상황은,귀사는스마트공장을도입하셨습니까,주력기술과차산업혁명관계여부,현재등록보유특허권,현재등록보유실용신안권,현재등록보유디자인권,현재등록보유상표권,현재등록보유해외산업재산권,현재등록보유합계,현재출원중특허권,현재출원중실용신안권,현재출원중디자인권,현재출원중상표권,현재출원중해외산업재산권,현재출원중합계,획득하고있는해외특허나국제규격,제품및서비스구조,세계유일기술보유여부,세계최고수준기업과비교시기술력수준,국내최고수준기업과비교시기술력수준,기술연구소나연구개발전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,원자재나부품수입여부,2020년 기준 귀사의 해외 사업 방식은 어디에 해당되십니까
238,15504,법인,49.51,3,2,경기,화성시,17211,C,17,172,2014,3,2,,4.0,1.0,1,3,3,3.0,6,3,1.0,2,1.0,8.0,2,12,2,14,0,0,0,12,2,14,5,6,1,2,0,14,2,1,0,0,0,3,0,0,8,1,5,14,,6,5,2,3,100.0,0.0,0.0,0.0,0.0,0.0,6335,4112,2223,6242,1356,70,1061,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,15.0,0.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,9.0,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,3,3,3,2,3,4,4,4,13.0,1.0,14.0,0.0,0.0,0.0,13.0,1.0,14.0,1.0,100.0,6636.0,4159.0,2477.0,3975.0,407.0,65.0,354.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0
239,6984,법인,46.911,3,2,경남,함안군,17211,C,17,172,1994,4,1,2.0,4.0,2.0,1,3,3,3.0,10,3,1.0,3,3.0,6.0,1,19,4,23,0,0,0,19,4,23,2,19,2,0,0,23,0,0,0,0,0,0,0,0,4,1,18,23,2.0,6,5,2,3,0.0,58.0,20.0,0.0,0.0,22.0,"6,503","2,800","3,703","4,913",290,93,167,0.0,0.0,97.0,0.0,3.0,0.0,0.0,2,2,2,2,2.0,42,0,0,0,42,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,3.0,6.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,0.5,0.0,2.0,4.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,4,4,3,4,4,3,4,3,3,4,4,4,3,3,4,4,4,5,5,4,3,3,4,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,14538,법인,20.45,4,2,경기,화성시,17211,C,17,172,2014,2,2,2.0,4.0,1.0,1,3,3,3.0,6,3,1.0,2,3.0,17.0,2,13,2,15,0,0,0,13,2,15,1,9,3,2,0,15,0,0,0,0,0,0,0,0,3,4,8,15,1.0,5,6,1,3,60.0,0.0,40.0,0.0,0.0,0.0,"6,335","4,112","2,223","6,242","1,356",70,"1,061",100.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,2,1.0,40,160,0,"2,500","2,700",4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,10.0,0.0,1.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,14.0,4,5,5,4,4,5,5,5,4,4,3,4,4,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,4687,법인,55.41,2,2,전남,담양군,17212,C,17,172,2020,2,1,,4.0,1.0,1,2,3,4.0,6,3,1.0,3,1.0,0.0,2,0,0,0,0,0,0,0,0,0,5,8,0,0,0,13,0,0,0,0,0,0,0,0,3,0,10,13,,6,4,1,3,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,0.1,0.0,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,9.0,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,9.0,4.0,13.0,0.0,0.0,0.0,9.0,4.0,13.0,1.0,100.0,1564.0,1463.0,101.0,1744.0,1.0,11.0,1.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,300.0,810.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,5.0,5.0,6.0,3.0,2.0,1.0,2.0,4.0
242,21956,법인,23.08,4,1,경기,안성시,17229,C,17,172,2013,3,1,,4.0,1.0,1,3,5,,6,3,1.0,3,1.0,10.0,2,6,2,8,0,0,0,6,2,8,1,6,2,0,1,10,0,0,0,0,0,0,0,0,2,1,7,10,,6,4,2,4,100.0,0.0,0.0,0.0,0.0,0.0,3375,2593,782,5389,195,82,96,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,,5.0,0.0,,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,3,3,3,8.0,2.0,10.0,0.0,0.0,0.0,8.0,2.0,10.0,2.0,100.0,4786.0,3411.0,1375.0,5387.0,738.0,145.0,593.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,100.0,400.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,6.0,4.0,2.0,1.0,1.0,4.0
243,14928,법인,46.911,3,2,경기,하남시,17901,C,17,179,2015,1,2,2.0,4.0,1.0,1,4,1,3.0,6,3,1.0,3,3.0,0.0,2,12,3,15,0,0,0,12,3,15,3,5,4,3,0,15,0,0,0,0,0,0,1,0,6,2,6,15,2.0,4,6,1,4,100.0,0.0,0.0,0.0,0.0,0.0,"2,877",497,"2,380","4,212",94,1,100,0.0,0.0,79.0,0.0,0.0,16.0,5.0,2,2,2,2,2.0,0,39,0,0,39,4.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,0.5,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,5,3,3,2,3,3,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,30873,법인,11.336,6,1,경북,청도군,17902,C,17,179,2014,2,1,2.0,4.0,1.0,1,2,3,1.0,6,3,1.0,2,3.0,5.0,2,17,3,20,0,0,0,17,3,20,2,15,1,2,0,20,0,0,0,0,0,0,0,0,4,3,13,20,1.0,3,5,3,2,100.0,0.0,0.0,0.0,0.0,0.0,"5,439","3,312","2,127","14,259","1,016",76,666,2.0,0.0,0.0,78.0,0.0,0.0,20.0,2,2,1,2,1.0,"13,683",72,0.0,"4,286","18,041",4.0,1.0,2.0,92.0,18.0,0.0,4.0,0.0,114.0,6.0,2.0,0.0,0.0,0.0,8.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,5.0,0.1,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,14.0,3,4,3,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,3,2,3,3,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,13359,법인,14.895,5,2,경기,고양시 일산서구,17902,C,17,179,1998,4,2,2.0,4.0,1.0,1,2,5,,6,3,1.0,3,3.0,11.0,2,16,10,26,0,0,0,16,10,26,5,16,3,2,0,26,0,0,0,0,0,0,0,0,9,5,12,26,2.0,3,6,3,4,65.0,0.0,0.0,0.0,0.0,35.0,"8,252","5,157","3,095","8,307",260,202,53,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2,2,2,2,2.0,90,68,0,0,158,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,0.01,0.0,1.0,4.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,11.0,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,5,5,5,3,3,2,3,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,4785,법인,46.911,3,2,경기,화성시,17902,C,17,179,2007,3,1,2.0,4.0,2.0,1,3,5,,6,3,1.0,3,3.0,0.0,2,10,9,19,0,0,0,10,9,19,1,13,3,2,0,19,0,0,0,0,0,0,0,0,6,2,11,19,2.0,4,5,3,1,29.0,50.0,2.0,0.0,0.0,19.0,"7,232","4,968","2,264","4,588",295,166,152,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2,2,1,2,1.0,8,74,0,0,82,4.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,8.0,3,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,5,3,4,3,2,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,38566,개인,2.61,6,2,경기,일산서,17902,C,17,179,1990,4,1,,,,1,2,3,4.0,6,3,,1,,6.0,2,39,14,53,0,0,0,39,14,53,6,48,2,2,5,63,0,0,0,0,0,0,0,4,16,5,38,63,,6,4,3,2,,,,,,,19846,11291,8556,11542,841,292,516,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,2,5,4,3,2,1,3,3,2,4,4,4,2,3,4,2,3,2,3,2,4,4,4,3,40.0,23.0,63.0,0.0,0.0,0.0,40.0,23.0,63.0,2.0,,25048.0,15073.0,9975.0,18543.0,3187.0,282.0,2085.0,5.0,0.0,95.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,1.0,,
248,27185,법인,49.51,3,2,경기,양주시,17902,C,17,179,2009,4,2,,4.0,1.0,1,2,3,2.0,6,3,1.0,2,1.0,7.0,2,7,5,12,0,0,0,7,5,12,3,11,1,2,2,19,0,0,0,0,0,0,0,0,7,3,9,19,,6,5,1,2,100.0,0.0,0.0,0.0,0.0,0.0,3866,3115,751,1787,78,28,125,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,,,2.0,0.0,,,7.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,11.0,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,5,5,4,4,3,4,3,2,2,2,3,3,3,11.0,8.0,19.0,0.0,0.0,0.0,11.0,8.0,19.0,2.0,100.0,4191.0,3071.0,1119.0,2698.0,230.0,67.0,189.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0,300.0,4.0,2.0,2.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0
249,7544,법인,9.094,7,2,대구,달서구,17902,C,17,179,2009,3,1,2.0,4.0,1.0,1,2,3,1.0,5,3,1.0,3,1.0,0.0,2,78,9,87,0,0,0,78,9,87,15,30,39,3,0,87,0,0,0,0,0,0,0,3,15,34,35,87,1.0,6,3,1,3,100.0,0.0,0.0,0.0,0.0,0.0,"26,288","20,126","6,162","30,007",706,567,199,20.0,0.0,19.0,0.0,60.0,0.0,1.0,2,2,2,2,2.0,370,630,0,0,"1,000",4.0,1.0,1.0,6.0,1.0,0.0,10.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,60.0,0.01,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,11.0,4,5,4,4,3,4,4,4,4,3,4,4,3,4,5,4,5,4,5,4,3,4,3,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,8090,법인,8.55,7,2,대구,달서구,17902,C,17,179,2009,3,1,,4.0,1.0,1,3,3,1.0,5,3,1.0,2,1.0,0.0,2,63,29,92,0,0,0,63,29,92,11,31,53,3,0,98,1,0,6,0,0,7,0,3,20,10,65,98,,1,7,1,2,100.0,0.0,0.0,0.0,0.0,0.0,26287,20126,6162,30007,706,567,199,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,,60.0,0.0,,,3.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,5,3,2,3,4,2,2,5,3,4,3,2,56.0,41.0,97.0,1.0,0.0,1.0,57.0,41.0,98.0,1.0,100.0,32287.0,23612.0,8675.0,40526.0,879.0,694.0,227.0,64.0,0.0,23.9,5.0,7.0,0.0,0.1,2.0,721.0,0.0,180.0,903.0,4.0,2.0,1.0,11.0,1.0,6.0,10.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0
251,18432,법인,23.08,4,2,강원,강릉시,17903,C,17,179,2012,2,2,,4.0,1.0,1,3,3,1.0,10,3,1.0,1,3.0,10.0,1,10,15,25,0,0,0,10,15,25,10,8,1,5,0,24,0,0,0,0,0,0,0,0,14,4,6,24,,6,4,1,2,100.0,0.0,0.0,0.0,0.0,0.0,4589,3493,1096,5309,124,112,140,,,,,,,,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,20.0,0.0,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,11.0,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,2,3,3,3,9.0,15.0,24.0,0.0,0.0,0.0,9.0,15.0,24.0,2.0,100.0,5045.0,3787.0,1258.0,5696.0,199.0,107.0,190.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,200.0,300.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0
252,19558,법인,52.931,2,2,경기,부천시,17909,C,17,179,2014,2,1,2.0,4.0,1.0,1,2,3,1.0,6,3,1.0,1,1.0,10.0,2,5,3,8,0,0,0,5,3,8,2,4,2,0,0,8,0,0,0,0,0,0,0,0,1,2,5,8,2.0,6,2,1,3,100.0,0.0,0.0,0.0,0.0,0.0,797,336,461,"1,256",80,8,72,0.0,0.0,20.0,80.0,0.0,0.0,0.0,2,2,2,2,2.0,5,0,0,0,5,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,2.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,14.0,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,3,2,3,4,3,3,2,2,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,26450,법인,9.094,7,2,대구,달서구,17909,C,17,179,2016,2,2,1.0,4.0,1.0,1,3,3,3.0,6,3,1.0,3,3.0,16.0,2,68,41,109,0,0,0,68,41,109,35,40,30,4,0,109,0,0,0,0,0,0,0,2,60,22,25,109,2.0,5,6,3,1,4.0,0.0,0.0,94.0,0.0,2.0,"27,818","19,464","8,354","21,901",802,697,354,50.0,0.0,0.0,30.0,13.0,0.0,7.0,2,2,2,1,1.0,100,587,0,500,"1,187",4.0,1.0,2.0,1.0,0.0,0.0,20.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,30.0,0.01,1.0,3.0,7.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,14.0,3,4,4,4,3,4,4,4,4,4,3,4,4,4,5,4,5,5,5,3,4,2,2,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,16131,법인,15.94,5,2,충북,음성군,17909,C,17,179,2003,4,1,,4.0,1.0,1,4,3,1.0,6,3,1.0,1,1.0,7.0,2,14,12,26,0,0,0,14,12,26,6,19,0,1,0,26,0,0,0,0,0,0,0,0,6,3,17,26,,6,5,1,2,0.0,80.0,20.0,0.0,0.0,0.0,6687,4787,1900,9756,535,123,308,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,3.0,0.0,,,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,12.0,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,14.0,12.0,26.0,0.0,0.0,0.0,14.0,12.0,26.0,2.0,100.0,6920.0,4874.0,2046.0,9411.0,367.0,139.0,226.0,0.0,0.0,80.0,19.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,40.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0
255,22991,법인,46.488,1,3,울산,남구,17909,C,17,179,2019,1,3,2.0,4.0,1.0,1,3,2,1.0,5,3,1.0,3,3.0,6.0,1,8,4,12,2,2,4,10,6,16,8,0,6,2,0,16,0,0,0,0,0,0,0,1,13,2,0,16,1.0,5,4,3,1,60.0,0.0,0.0,0.0,0.0,40.0,600,69,531,5,0,0,-279,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1,2,2,2,1.0,0,144,0,0,144,4.0,1.0,2.0,1.0,0.0,10.0,10.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,0.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,3,4,4,4,4,4,5,4,4,4,3,3,4,4,3,4,4,3,5,3,3,3,2,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,246,법인,30.356,2,2,서울,중구,18111,C,18,181,2001,4,1,2.0,4.0,1.0,1,4,5,,6,3,1.0,1,1.0,20.0,2,4,3,7,0,0,0,4,3,7,2,2,2,1,0,7,0,0,0,0,0,0,0,0,1,2,4,7,2.0,6,4,1,2,100.0,0.0,0.0,0.0,0.0,0.0,"1,648",755,893,"1,897",92,14,79,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,1,2,1.0,0,200,0,0,200,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,0.01,0.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,14.0,2,3,3,2,4,3,3,3,2,4,3,3,3,3,4,5,3,2,5,3,3,3,4,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
