,가중치,벤처확인 유형,회사주소_시(도),회사주소_구(군),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,대표이사_창업자여부,대표이사_이전근무지,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 당시 창업자 전공,창업 직전 근무지,창업방식,단독창업 여부,창업자 역할,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_가족,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_개인투자자,연구개발(RnD)자금(출연금)_경험여부,융자(정책자금)_경험여부,보증서지원_경험여부,기타지원_경험여부,경쟁사 대비 현황_개발역량,경쟁사 대비 현황_제조역량,경쟁사 대비 현황_마케팅역량,경쟁전략초점_원가우위 수준,경쟁전략초점_제품 고부가가치화 수준,비즈니스 모델_명확한 정리정도,비즈니스 모델_혁신정도,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),크라우드 펀딩 경험여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병의향,인수합병응할의향,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_우수인력 확보에 유리,벤처확인제도 혜택_입지 선정 시 유리,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_창업 관련 규제 완화 효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,현재 벤처인프라 수준_벤처투자 활성화,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,매출규모,정규직합계,비정규직합계,총종사자합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),인수합병(MnA) 경험여부,피인수합병 경험여부,인력구성(합계),학력별 인력구성_합계,매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액(국내설비),투자액(R&D),투자액(해외),투자액(기타),투자액(합계),스톡옵션상황,등록보유(특허권),등록보유(실용신안권),등록보유(디자인권),등록보유(상표권),등록보유(해외산업재산권),등록보유(합계),출원중(특허권),출원중(실용신안권),출원중(디자인권),출원중(상표권),출원중(해외산업재산권),출원중(합계),제품및서비스구조,세계유일기술보유여부,기술력수준비교(세계),기술력수준비교(국내),연구개발관련전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,글로벌사업방식,향후사회적책임실천할계획여부,실천하고있는사회적책임,부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,4차산업혁명과관계여부
1978,6.1,2,경기,안산시,C26519,2007,3,2,4.0,1.0,6.0,1,3,3,2.0,6,3,1.0,1,1.0,7.0,2,24.137931034482758,41.37931034482759,31.03448275862069,3.4482758620689653,0.0,4.0,5.0,3.0,1.0,70.0,10.0,20.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,2,3,2,3,2,2,3,2,2,1,2,3,4.0,20.0,2.0,22.0,8.0,5.0,2.0,11.0,3.0,2.0,2.0,29.0,29.0,0.0,0.0,0.0,25.0,60.0,15.0,10.0,18.0,60.0,0.0,88.0,3.0,10,0,4,2,1,17,0,0,1,0,0,1,2.0,1.0,2.0,1.0,2.0,4.0,1,3,1.0,1.0,1.0,359.85,21.746,8.504,116.119,533.973,45.409,9.63,947.692,29077.273,2
1979,18.0,2,광주,북구,C26519,1996,4,1,4.0,1.0,6.0,1,2,5,,6,3,1.0,3,1.0,7.0,1,20.0,40.0,40.0,0.0,0.0,6.0,5.0,1.0,2.0,82.0,18.0,0.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,3,3,3,3,2,3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,2,3.0,11.0,0.0,11.0,4.0,3.0,1.0,2.0,0.0,2.0,2.0,10.0,10.0,15.0,30.0,0.0,0.0,10.0,30.0,1250.0,310.0,200.0,0.0,1760.0,4.0,21,0,0,0,0,21,2,0,0,0,0,2,2.0,1.0,2.0,2.0,2.0,4.0,2,1,1.0,2.0,0.0,49.851,66.733,1.744,69.538,104.204,1.817,3.514,195.652,34927.273,2
1980,13.965,2,경기,시흥시,C26519,2017,2,1,4.0,2.0,,1,3,3,1.0,6,3,1.0,1,3.0,10.0,2,27.27272727272727,36.36363636363637,27.27272727272727,9.090909090909092,0.0,3.0,6.0,3.0,2.0,55.0,0.0,45.0,0.0,0.0,0.0,2,2,2,2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.01,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,14.0,2,3,2,2,1,1,2,2,2,2,3,2,2,4,5,5,5,5,5,4,3,2,1,1,1,1,1,1,3.0,8.0,3.0,11.0,0.0,3.0,3.0,1.0,4.0,2.0,2.0,11.0,11.0,0.0,0.0,40.0,0.0,60.0,0.0,0,40,0.0,0,40,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,4.0,4.0,4.0,3.0,2,1,4.0,2.0,1.0,197.095,33.659,2.29,634.218,1884.232,43.154,2.555,11600.0,41281.818,2
1981,6.1,2,경북,경산시,C26519,2005,3,1,4.0,1.0,5.0,1,2,3,1.0,5,3,1.0,2,1.0,7.0,2,15.384615384615385,23.076923076923077,53.84615384615385,7.6923076923076925,0.0,6.0,5.0,1.0,3.0,93.0,7.0,0.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,2.0,3.0,2.0,3.0,2.0,8.0,0.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14.0,3,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,2,4,4,3,2,2,3,2,2,1,3,2,4.0,26.0,0.0,26.0,8.0,6.0,6.0,4.0,2.0,2.0,2.0,26.0,26.0,65.0,0.0,18.0,0.0,0.0,17.0,"1,068","2,082",0,0,"3,150",4.0,8,0,0,0,0,8,0,0,0,0,0,0,3.0,2.0,4.0,3.0,2.0,4.0,2,1,1.0,,0.0,182.26,35.428,0.835,88.48,249.744,2.085,2.182,105.674,26261.538,2
1982,15.317,1,전남,나주시,C26519,2003,4,1,4.0,1.0,6.0,1,2,2,3.0,6,3,1.0,3,3.0,0.0,1,0.0,0.0,50.0,50.0,0.0,5.0,4.0,3.0,1.0,90.0,0.0,10.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.01,0.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,14.0,3,2,2,3,2,2,3,3,2,3,3,2,2,4,5,5,5,5,5,5,4,3,3,3,3,3,3,3,1.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,30.0,0.0,0.0,50.0,402.0,278.0,0.0,0.0,680.0,4.0,16,0,0,0,0,16,2,0,0,0,0,2,2.0,2.0,3.0,3.0,2.0,4.0,2,1,1.0,2.0,0.0,297.001,25.189,3.024,12.06,47.88,1.448,11.879,100.0,11575.0,2
1983,3.6,1,서울,금천구,C26519,2013,3,1,4.0,1.0,6.0,1,2,5,,6,3,1.0,3,1.0,7.0,2,19.047619047619047,35.714285714285715,42.857142857142854,2.380952380952381,0.0,5.0,6.0,3.0,1.0,80.0,0.0,20.0,0.0,0.0,0.0,2,2,2,2,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,0.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,3,3,4,3,3,4,4,3,3,3,4,3,3,3,3,3,2,3,2,3,2,1,1,2,2,3,3,3,5.0,49.0,0.0,49.0,13.0,5.0,10.0,9.0,5.0,2.0,2.0,42.0,42.0,0.0,0.0,100.0,0.0,0.0,0.0,135.0,452.0,0.0,0.0,587.0,1.0,5,0,0,0,0,5,1,0,0,0,0,1,2.0,1.0,3.0,2.0,2.0,4.0,2,1,4.0,2.0,0.0,311.671,24.295,5.273,163.138,671.501,35.411,5.763,537.795,24187.755,1
1984,2.009,4,서울,구로구,C26519,2005,3,1,4.0,1.0,5.0,1,2,2,1.0,5,3,1.0,1,1.0,9.0,2,21.428571428571427,33.33333333333333,35.714285714285715,9.523809523809524,0.0,6.0,5.0,3.0,2.0,41.0,10.0,0.0,20.0,0.0,29.0,2,2,2,2,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0.01,5.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,14.0,3,4,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,3,5,4,4,3,3,4,2,3,3,3,7.0,84.0,0.0,84.0,6.0,44.0,11.0,23.0,0.0,2.0,2.0,84.0,84.0,0.0,0.0,60.0,0.0,40.0,0.0,55.0,48.0,0.0,0.0,103.0,4.0,2,0,0,0,0,2,1,0,0,0,0,1,1.0,2.0,4.0,4.0,2.0,4.0,1,1,4.0,2.0,0.0,13.568,88.053,25.005,92.083,104.576,26.15,28.435,inf,33978.571,2
1985,4.143,2,부산,해운대구,C26519,2006,3,2,4.0,1.0,7.0,1,2,4,1.0,7,3,2.0,1,3.0,5.0,2,27.0,8.0,50.0,15.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,2,1,2,1,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,11.0,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,5,4,5,4,4,4,4,3,3,3,3,3,,41.0,0.0,41.0,7.0,11.0,4.0,16.0,3.0,,,41.0,100.0,0.0,0.0,3.0,0.0,97.0,0.0,275.0,188.0,0.0,0.0,463.0,4.0,2,0,0,0,0,2,1,0,0,0,0,1,2.0,1.0,3.0,2.0,2.0,4.0,2,1,4.0,,0.0,172.298,36.724,13.28,29.301,79.787,10.596,0.48,13.636,4573.171,1
1986,4.143,2,서울,구로구,C26519,2008,4,2,3.0,1.0,10.0,1,2,5,,10,3,1.0,2,3.0,0.0,1,50.0,0.0,50.0,0.0,0.0,3.0,5.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,90.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,36.0,0.0,36.0,13.0,11.0,0.0,0.0,12.0,,,36.0,100.0,0.0,0.0,10.0,87.0,0.0,3.0,79.0,281.0,0.0,0.0,360.0,1.0,1,0,3,16,3,23,1,2,1,10,2,16,3.0,2.0,3.0,2.0,2.0,4.0,1,4,1.0,,0.0,129.489,43.575,6.773,98.096,225.12,15.247,9.49,452.778,14313.889,1
1987,4.143,2,서울,금천구,C26519,2013,3,1,4.0,1.0,6.0,1,2,5,,6,3,1.0,2,3.0,5.0,1,40.0,11.0,49.0,0.0,0.0,8.0,4.0,2.0,1.0,84.0,0.0,16.0,0.0,0.0,0.0,2,1,1,2,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,9.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,9.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,33.0,4.0,37.0,3.0,5.0,14.0,6.0,9.0,,,37.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,165.0,77.0,0.0,0.0,242.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,4.0,3.0,5.0,3.0,2,1,4.0,1.0,1.0,242.968,29.157,5.594,176.277,604.573,33.822,6.451,525.581,18937.838,2
1988,8.9,2,전북,익산시,C26519,2003,4,1,4.0,2.0,6.0,1,2,3,1.0,6,3,1.0,1,3.0,9.0,2,7.000000000000001,15.0,78.0,0.0,0.0,3.0,4.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3,4,3,2,2,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,2,3,3,3,3,,26.0,0.0,26.0,5.0,6.0,6.0,3.0,6.0,,,26.0,100.0,10.0,0.0,50.0,0.0,40.0,0.0,1119.0,194.0,0.0,0.0,1313.0,4.0,6,0,3,0,0,9,0,0,0,0,0,0,3.0,2.0,3.0,3.0,2.0,4.0,2,3,4.0,2.0,0.0,27.736,78.286,-15.017,89.445,114.253,-17.157,-15.801,-143000.0,34807.692,1
1989,4.143,4,경기,성남시 수정구,C26519,2014,4,3,4.0,1.0,4.0,1,2,2,1.0,4,3,1.0,1,3.0,10.0,2,0.0,5.0,78.0,17.0,0.0,5.0,4.0,2.0,1.0,48.0,0.0,18.0,3.0,0.0,31.0,2,2,2,2,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,8.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,9.0,3,4,3,3,3,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,3,4,3,3,3,3,,36.0,0.0,36.0,7.0,6.0,6.0,17.0,0.0,,,36.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0,720,0,0,720,4.0,0,0,0,4,0,4,0,0,0,0,0,0,1.0,2.0,4.0,4.0,2.0,3.0,1,1,4.0,1.0,0.0,145.621,40.713,-43.208,131.247,322.369,-139.288,-39.464,-14955.556,28422.222,2
1990,16.974,1,서울,구로구,C26519,2012,3,2,3.0,1.0,6.0,1,2,3,2.0,6,3,1.0,1,3.0,10.0,2,44.0,0.0,56.00000000000001,0.0,0.0,4.0,5.0,2.0,1.0,62.0,25.0,14.0,0.0,0.0,0.0,2,1,1,1,5.0,4.0,3.0,5.0,5.0,4.0,4.0,20.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,11.0,5,5,4,4,4,4,4,4,4,4,4,4,5,2,5,5,5,3,5,3,4,3,2,5,4,5,4,4,,6.0,3.0,9.0,2.0,2.0,0.0,4.0,1.0,,,9.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,125.0,173.0,0.0,0.0,298.0,4.0,20,0,0,0,0,20,1,0,0,0,0,1,2.0,1.0,3.0,3.0,2.0,2.0,2,1,4.0,2.0,0.0,168.496,37.244,2.237,152.326,408.99,9.149,4.202,270.0,57122.222,2
1991,8.9,2,서울,구로구,C26519,2015,4,1,4.0,1.0,6.0,1,3,3,1.0,6,3,1.0,3,1.0,10.0,1,60.0,20.0,20.0,0.0,0.0,6.0,5.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,5,4,3,4,3,3,3,3,3,3,3,,10.0,0.0,10.0,5.0,4.0,1.0,0.0,0.0,,,10.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,23,"1,466",0,"3,000","4,489",4.0,19,0,0,0,0,19,0,0,0,0,0,0,1.0,2.0,3.0,2.0,2.0,4.0,1,1,1.0,,4.0,280.272,26.297,1.91,67.889,258.163,4.932,3.953,193.548,15180.0,2
1992,4.143,2,경기,의왕시,C26519,2012,3,1,4.0,1.0,6.0,1,2,3,1.0,6,3,1.0,2,3.0,3.0,2,84.0,0.0,16.0,0.0,0.0,6.0,5.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,1,2,2.0,3.0,2.0,2.0,2.0,1.0,1.0,8.0,0.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,11.0,3,4,3,3,3,3,3,3,2,2,2,2,2,3,4,5,3,5,5,3,3,4,3,4,4,4,3,4,,37.0,0.0,37.0,3.0,33.0,1.0,0.0,0.0,,,37.0,100.0,0.0,0.0,80.0,0.0,20.0,0.0,72.0,188.0,0.0,0.0,260.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,3.0,3.0,4.0,3.0,2,1,4.0,1.0,0.0,211.905,32.061,4.1,109.16,340.476,13.961,4.609,170.588,8502.703,2
1993,3.157,2,전북,익산시,C26519,2003,4,1,4.0,1.0,6.0,1,1,2,1.0,6,3,1.0,1,3.0,5.0,1,40.0,12.0,44.0,4.0,0.0,5.0,6.0,3.0,2.0,48.0,0.0,0.0,0.0,0.0,52.0,2,2,2,2,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,14.0,2,4,4,3,4,3,3,3,3,4,4,3,3,3,3,5,5,3,4,4,3,3,3,2,2,2,2,2,6.0,25.0,0.0,25.0,3.0,7.0,6.0,3.0,6.0,2.0,2.0,25.0,25.0,20.0,30.0,50.0,0.0,0.0,0.0,13.0,105.0,0.0,0.0,118.0,4.0,1,0,0,0,0,1,1,0,0,0,0,1,2.0,2.0,3.0,3.0,4.0,3.0,1,1,4.0,,1.0,44.13,69.382,-6.576,157.853,227.514,-14.962,-6.812,-17800.0,62712.0,1
1994,2.19,4,서울,금천구,C26519,1998,4,4,1.0,1.0,5.0,1,3,2,1.0,5,1,1.0,1,1.0,15.0,2,21.875,32.8125,27.34375,14.0625,3.90625,4.0,3.0,2.0,1.0,43.7,56.3,0.0,0.0,0.0,0.0,1,2,1,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,0.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,14.0,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,3,3,4,4,7.0,124.0,0.0,124.0,40.0,0.0,5.0,28.0,55.0,2.0,2.0,128.0,128.0,0.0,0.0,65.0,0.0,0.0,35.0,"1,552",920,0.0,0,"2,472",4.0,3,0,0,0,0,3,0,0,0,0,0,0,2.0,2.0,4.0,4.0,2.0,3.0,2,1,1.0,,0.0,120.839,45.282,-16.407,142.602,314.92,-51.669,-9.453,-794.823,24886.29,2
1995,23.43,1,경기,파주시,C26519,2013,3,2,4.0,2.0,,1,3,3,1.0,6,3,1.0,1,1.0,13.0,2,20.0,20.0,46.666666666666664,13.333333333333334,0.0,5.0,6.0,2.0,1.0,35.0,35.0,30.0,0.0,0.0,0.0,1,2,2,2,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14.0,3,3,4,3,2,3,3,4,3,3,4,3,4,3,3,3,2,3,3,2,1,2,2,3,2,1,3,3,2.0,21.0,0.0,21.0,2.0,5.0,3.0,5.0,0.0,2.0,2.0,15.0,15.0,2.5,0.0,77.5,0.0,20.0,0.0,0.0,100.0,0.0,100.0,200.0,4.0,1,0,0,0,0,1,1,0,0,0,0,1,2.0,2.0,5.0,5.0,3.0,3.0,2,1,4.0,1.0,0.0,71.909,58.17,6.652,96.578,166.026,11.044,3.832,265.0,6585.714,1
1996,2.009,2,경기,안양시 동안구,C26519,2012,4,2,4.0,1.0,6.0,1,3,2,1.0,6,3,1.0,1,3.0,15.0,2,16.176470588235293,32.35294117647059,39.705882352941174,11.76470588235294,0.0,6.0,5.0,3.0,2.0,39.0,12.0,0.0,21.0,0.0,28.0,2,2,2,2,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,0.1,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,14.0,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,3,4,4,4,3,3,5,3,3,3,3,7.0,68.0,0.0,68.0,4.0,23.0,16.0,25.0,0.0,2.0,2.0,68.0,68.0,30.0,30.0,40.0,0.0,0.0,0.0,100.0,588.0,200.0,0.0,888.0,1.0,1,0,0,0,0,1,1,0,0,1,0,2,2.0,1.0,2.0,2.0,2.0,5.0,1,2,4.0,1.0,0.0,455.023,18.017,3.839,148.984,826.894,31.745,6.196,370.332,42366.176,1
1997,15.317,2,서울,성동구,C26519,2016,2,3,4.0,1.0,6.0,1,3,3,1.0,6,3,1.0,1,3.0,12.0,2,0.0,0.0,100.0,0.0,0.0,5.0,7.0,1.0,3.0,77.0,0.0,7.0,0.0,0.0,16.0,1,2,2,2,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.01,0.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,14.0,2,4,3,3,3,3,2,3,2,2,3,2,2,5,5,5,5,5,5,2,5,3,2,2,2,2,2,3,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,142,641,0,0,783,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,5.0,4.0,2.0,3.0,1,1,4.0,2.0,1.0,127.338,43.987,12.868,86.076,195.683,25.18,14.338,975.0,13600.0,2
1998,3.157,2,서울,금천구,C26519,2012,4,2,4.0,1.0,6.0,1,3,3,1.0,6,3,1.0,1,1.0,12.0,2,11.428571428571429,25.71428571428571,51.42857142857142,11.428571428571429,0.0,5.0,6.0,3.0,2.0,48.0,49.0,0.0,0.0,0.0,3.0,2,2,2,2,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,14.0,3,4,4,3,3,4,3,3,3,3,3,3,2,3,4,5,5,3,4,4,3,3,3,3,3,3,3,3,6.0,35.0,0.0,35.0,5.0,5.0,7.0,18.0,0.0,2.0,2.0,35.0,35.0,0.0,0.0,0.0,0.0,100.0,0.0,0,59,0,0,59,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,4.0,4.0,2.0,3.0,1,1,4.0,2.0,4.0,177.69,36.011,3.465,142.891,396.793,13.75,4.657,354.167,41720.0,1
1999,2.19,2,전북,익산시,C26519,2003,4,2,4.0,1.0,6.0,1,4,3,1.0,6,3,1.0,1,1.0,3.0,2,17.857142857142858,7.142857142857142,75.0,0.0,0.0,4.0,5.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1,2,1,2,4.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3,4,3,4,3,3,4,4,3,3,4,3,4,4,5,4,4,4,5,3,3,3,3,2,3,4,3,3,7.0,23.0,0.0,23.0,6.0,11.0,6.0,5.0,0.0,2.0,2.0,28.0,28.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,60.0,0.0,0.0,60.0,3.0,3,0,0,0,0,3,4,0,1,1,0,6,2.0,1.0,2.0,2.0,4.0,5.0,1,3,4.0,1.0,1.0,44.13,69.382,-6.576,157.853,227.514,-14.962,-6.812,-17800.0,68165.217,1
2000,19.085,2,경기,안양시 동안구,C26519,2016,2,2,4.0,1.0,6.0,1,3,3,1.0,6,3,1.0,1,3.0,17.0,2,25.0,25.0,50.0,0.0,0.0,5.0,1.0,1.0,2.0,70.0,21.0,0.0,0.0,0.0,9.0,2,2,2,2,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.01,0.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,2,2,2,2,3,2,3,2,3,3,3,3,1,4,5,5,3,3,5,3,3,3,3,3,3,3,3,3,2.0,4.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0,100,0,0,100,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,5.0,4.0,4.0,3.0,1,1,4.0,2.0,0.0,182.143,35.443,8.715,176.108,496.875,43.304,9.434,1166.667,27825.0,2
2001,8.9,2,서울,금천구,C26519,2014,3,2,4.0,1.0,6.0,1,3,4,1.0,6,3,2.0,1,3.0,15.0,2,30.0,40.0,30.0,0.0,0.0,4.0,5.0,1.0,2.0,70.0,5.0,25.0,0.0,0.0,0.0,2,2,1,1,5.0,3.0,4.0,4.0,3.0,4.0,4.0,30.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4,4,4,4,3,4,3,3,4,3,3,4,3,4,4,4,4,3,5,4,4,3,3,4,3,3,3,4,,6.0,4.0,10.0,3.0,1.0,1.0,3.0,2.0,,,10.0,100.0,0.0,10.0,70.0,0.0,0.0,10.0,240.0,175.0,0.0,0.0,415.0,4.0,10,0,0,0,0,10,2,0,0,0,0,2,2.0,2.0,3.0,2.0,2.0,3.0,1,1,1.0,,0.0,-463.636,-27.5,3.287,267.976,-974.459,-32.035,3.998,450.0,22510.0,2
2002,6.1,2,경기,고양시,C26519,2011,3,1,4.0,1.0,6.0,1,3,5,,6,3,1.0,1,1.0,15.0,2,11.428571428571429,34.285714285714285,48.57142857142857,5.714285714285714,0.0,5.0,6.0,3.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2,1,2,2,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14.0,3,3,4,3,3,3,4,3,3,3,3,3,4,3,3,3,2,3,3,2,3,2,2,1,2,2,3,2,4.0,40.0,1.0,41.0,24.0,3.0,2.0,4.0,2.0,2.0,2.0,35.0,35.0,0.0,0.0,5.0,0.0,95.0,0.0,28.0,152.0,0.0,0.0,180.0,4.0,7,0,0,0,0,7,0,0,0,0,0,0,3.0,2.0,3.0,3.0,2.0,3.0,2,1,4.0,2.0,5.0,50.866,66.284,7.275,156.899,236.707,17.221,6.563,479.452,13007.317,2
