법인|개인,가중치,벤처확인 유형,회사주소_시(도),회사주소_구(군),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,상장년도,상장거래소,대표이사_창업자여부,13_대표이사_연령_법인,14_대표이사_최종학력_법인,141_대표이사_전공_법인,141_대표이사_전공_기타_법인,15_대표이사_이전근무지_법인,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 당시 창업자 전공,창업 직전 근무지,창업방식,단독창업 여부,창업자 역할,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,학력별 인력구성_고졸이하,학력별 인력구성_전문대졸,학력별 인력구성_대졸,학력별 인력구성_석사,학력별 인력구성_박사,현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_가족,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_개인투자자,1_지분_합계_법인,21_재무상태표_2017년_자산총계_공통,21_재무상태표_2018년_자산총계_공통,22_재무상태표_2017년_부채총계_공통,22_재무상태표_2018년_부채총계_공통,23_재무상태표_2017년_자본총계_공통,23_재무상태표_2018년_자본총계_공통,31_2017년_매출액_공통,31_2018년_매출액_공통,32_2017년_영업이익_공통,32_2018년_영업이익_공통,33_2017년_금융비용_공통,33_2018년_금융비용_공통,34_2017년_당기순이익_공통,34_2018년_당기순이익_공통,매출구조(퍼센트)_(B2B)대기업 또는 대기업그룹사 소속사,매출구조(퍼센트)_(B2B)(대기업에 납품하는 1_2차 벤더),매출구조(퍼센트)_(B2B)(중소기업 및 벤처기업),매출구조(퍼센트)_(B2C)소비자 매출,매출구조(퍼센트)_(B2G)정부 포함 공공부문 매출,매출구조(퍼센트)_해외,4_매출_합계_공통,연구개발(RnD)자금(출연금)_경험여부,융자(정책자금)_경험여부,보증서지원_경험여부,기타지원_경험여부,6_신규자금조달규모_법인,6_신규자금조달_기업공개(IPO)_법인,6_신규자금조달_캐피탈_법인,6_신규자금조달_회사채_법인,6_신규자금조달_정부지원금_법인,6_신규자금조달_은행_법인,6_신규자금조달_기타_법인,6_신규자금조달_합계_법인,투자처별 투자액(백만원)_국내설비,투자처별 투자액(백만원)_국내연구개발(RnD),투자처별 투자액(백만원)_해외,투자처별 투자액(백만원)_기타,투자처별 투자액(백만원)_합계,8_스톡옵션상황_법인,주력기술과 4차 산업혁명 관련 여부,11_분야별주력제품관련성_0_공통,11_분야별주력제품관련성_1_공통,11_분야별주력제품관련성_2_공통,현재 등록보유 산업재산권(건)_특허권,현재 등록보유 산업재산권(건)_실용신안권,현재 등록보유 산업재산권(건)_디자인권,현재 등록보유 산업재산권(건)_상표권,현재 등록보유 산업재산권(건)_해외,현재 등록보유 산업재산권(건)_합계,현재 출원중 산업재산권(건)_특허권,현재 출원중 산업재산권(건)_실용신안권,현재 출원중 산업재산권(건)_디자인권,현재 출원중 산업재산권(건)_상표권,현재 출원중 산업재산권(건)_해외,현재 출원중 산업재산권(건)_합계,획득하고 있는 해외특허나 국제규격,제품 및 서비스 구조,세계 유일기술 보유여부,세계 최고수준 기업과 비교시 기술력 수준,국내 최고수준 기업과 비교시 기술력 수준,기술연구소나 연구개발 전담부서 보유여부,경쟁사 대비 현황_개발역량,경쟁사 대비 현황_제조역량,경쟁사 대비 현황_마케팅역량,경쟁전략초점_원가우위 수준,경쟁전략초점_제품 고부가가치화 수준,비즈니스 모델_명확한 정리정도,비즈니스 모델_혁신정도,4_장기적성장전망성_법인,1_자체브랜드보유여부_공통,영업 및 마케팅 방식,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),4_글로벌사업방식_법인,해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),크라우드 펀딩 경험여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병의향,인수합병응할의향,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),4_기업간거래시주요애로사항_2순위_법인,벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_우수인력 확보에 유리,벤처확인제도 혜택_입지 선정 시 유리,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_창업 관련 규제 완화 효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,현재 벤처인프라 수준_벤처투자 활성화,31_실천하고있는사회적책임_0_법인,31_실천하고있는사회적책임_1_법인,32_향후사회적책임실천할계획여부_법인,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,매출규모,정규직합계,비정규직합계,총종사자합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),직종별 부족인원_관리,직종별 부족인원_생산,직종별 부족인원_영업,직종별 부족인원_연구개발(RnD),직종별 부족인원_기타,직종별 부족인원_합계,학력별 인력구성_합계,2019년 자산(백만원),2019년 부채(백만원),2019년 자본(백만원),2019년 매출액(백만원),2019년 영업이익(백만원),2019년 금융비용(백만원),2019년 당기순이익(백만원),인수합병(MnA) 경험여부,피인수합병 경험여부,인력구성(합계)
법인,7.778,2,광주,북구,C26410,2009,3,2,3.0,,,2.0,56.0,1.0,1.0,,1.0,1,3,1,1.0,1,3,1.0,1,3.0,12.0,1,50.0,23.0,20.0,3.0,4.0,5.0,6.0,2.0,1.0,0.0,20.0,39.0,38.0,0.0,4.0,100.0,10899.0,11601.0,6839.0,10783.0,4060.0,818.0,7405.0,5972.0,720.0,-2779.0,436.0,457.0,116.0,-3242.0,5.0,0.0,0.0,0.0,0.0,95.0,100.0,1,2,2,2,200.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,240.0,708.0,0.0,0.0,948.0,4.0,1.0,11.0,15.0,20.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,1.0,5.0,10.0,1.0,4.0,7.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,11.0,4,4,4,3,3,4,4,4,3,3,3,3,3,7.0,,1.0,4,5,5,5,5,5,5,5,4,4,5,4,4,3,3,,93.0,0.0,93.0,7.0,71.0,4.0,11.0,0.0,,,,,,,,,,,,,,,,,93.0
법인,8.9,2,광주,북구,C26410,2006,3,1,4.0,,,1.0,,,,,6.0,1,3,3,1.0,6,3,2.0,2,3.0,5.0,2,43.0,9.0,19.0,24.0,5.0,6.0,5.0,2.0,1.0,30.0,70.0,0.0,0.0,0.0,0.0,100.0,2974.0,3085.0,1757.0,1774.0,1217.0,1311.0,3135.0,3161.0,407.0,244.0,57.0,61.0,157.0,94.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1,1,1,2,2118.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,50.0,585.0,0.0,0.0,635.0,4.0,1.0,14.0,,,6.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,5.0,0.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,11.0,4.0,4,4,4,4,4,4,4,4,3,4,3,3,3,7.0,,1.0,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,,20.0,1.0,21.0,2.0,13.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,21.0
법인,16.974,2,광주,남구,C26410,2014,3,1,4.0,,,2.0,38.0,4.0,5.0,유아보육,6.0,2,2,4,4.0,6,3,1.0,2,3.0,3.0,2,0.0,29.0,57.0,0.0,14.0,4.0,5.0,1.0,2.0,60.0,40.0,0.0,0.0,0.0,0.0,100.0,492.0,683.0,249.0,387.0,243.0,297.0,1350.0,1130.0,7.0,4.0,6.0,8.0,34.0,53.0,0.0,0.0,0.0,5.0,95.0,0.0,100.0,1,1,1,2,400.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,181.0,0.0,0.0,181.0,3.0,1.0,18.0,,,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,1.0,3.0,0.0,0.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,9.0,4,3,3,3,2,4,4,3,3,4,3,4,3,2.0,,1.0,2,3,4,4,3,4,3,5,3,4,3,3,4,4,4,,7.0,0.0,7.0,2.0,1.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,7.0
법인,16.974,2,충남,천안시 서북구,C26410,2003,4,3,4.0,,,1.0,,,,,7.0,1,2,3,2.0,7,3,1.0,2,3.0,5.0,2,0.0,0.0,100.0,0.0,0.0,4.0,2.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,2835.0,2482.0,1822.0,1468.0,1013.0,1014.0,1264.0,910.0,100.0,56.0,58.0,54.0,41.0,1.0,0.0,85.0,0.0,0.0,0.0,15.0,100.0,2,1,1,1,2215.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,272.0,0.0,0.0,272.0,3.0,1.0,10.0,12.0,,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,20.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,4.0,1,3,3,1,1,3,4,3,1,2,2,3,3,7.0,,1.0,5,5,4,5,5,5,2,1,4,4,2,2,2,3,2,,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,2.0
법인,16.974,1,인천,연수구,C26410,2017,3,3,4.0,,,1.0,,,,,6.0,1,2,5,,6,3,1.0,4,1.0,2.0,2,13.0,75.0,13.0,0.0,0.0,5.0,6.0,2.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,809.0,1739.0,56.0,1239.0,753.0,500.0,85.0,6431.0,3.0,253.0,15.0,72.0,3.0,186.0,0.0,60.0,20.0,0.0,0.0,20.0,100.0,2,2,2,2,,,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,3,3,3,3,3,3,3,3,3,3,3,3,3,7.0,,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,8.0,0.0,8.0,4.0,3.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,8.0
법인,8.9,2,인천,계양구,C26410,2014,4,1,4.0,,,1.0,,,,,6.0,1,3,3,5.0,6,3,1.0,2,1.0,13.0,1,64.0,36.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,30.0,0.0,70.0,0.0,0.0,0.0,100.0,1404.0,1502.0,516.0,294.0,888.0,1207.0,2323.0,2366.0,21.0,322.0,0.0,0.0,22.0,319.0,0.0,10.0,90.0,0.0,0.0,0.0,100.0,2,2,1,2,90.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,114.0,0.0,0.0,114.0,4.0,2.0,,,,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,6.0,2,4,4,4,3,3,3,3,2,2,2,2,2,1.0,,2.0,3,3,3,5,3,3,2,1,2,3,1,1,1,1,1,,11.0,0.0,11.0,2.0,3.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,11.0
법인,3.417,2,서울,영등포구,C26410,1998,4,2,1.0,2000.0,2.0,1.0,,,,,6.0,1,4,3,1.0,6,3,2.0,2,3.0,0.0,2,13.0,21.0,60.0,6.0,0.0,5.0,6.0,2.0,1.0,20.0,39.0,0.0,0.0,0.0,41.0,100.0,100569.0,111160.0,40602.0,35999.0,59968.0,75162.0,117346.0,127328.0,17631.0,20095.0,2.0,0.0,15285.0,17046.0,95.0,0.0,0.0,3.0,0.0,2.0,100.0,2,2,2,2,,,,,,,,,0.0,3155.0,0.0,0.0,3155.0,4.0,1.0,5.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,40.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,9.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,170.0,0.0,170.0,17.0,4.0,40.0,56.0,53.0,,,,,,,,,,,,,,,,,170.0
법인,7.778,2,경북,구미시,C26410,2005,4,1,4.0,,,1.0,,,,,5.0,1,3,3,1.0,5,3,1.0,1,3.0,20.0,2,30.0,35.0,30.0,5.0,0.0,5.0,4.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,25547.0,25244.0,17679.0,17372.0,7868.0,7873.0,33215.0,28714.0,826.0,416.0,538.0,525.0,206.0,4.0,0.0,60.0,15.0,0.0,0.0,25.0,100.0,2,2,2,2,,,,,,,,,0.0,1832.0,0.0,0.0,1832.0,4.0,1.0,11.0,,,21.0,2.0,5.0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,3.0,4.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,11.0,2.0,4,3,3,4,3,3,4,3,3,3,3,3,3,7.0,,1.0,4,3,4,4,3,5,3,3,3,2,3,2,3,2,1,,85.0,0.0,85.0,8.0,63.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,85.0
법인,4.143,2,경기,안양시 만안구,C26410,1996,4,1,4.0,,,1.0,,,,,5.0,1,2,3,1.0,5,3,1.0,1,3.0,12.0,2,0.0,10.0,84.0,6.0,0.0,5.0,3.0,1.0,2.0,37.0,6.0,0.0,25.0,0.0,32.0,100.0,24990.0,27504.0,14122.0,17832.0,10868.0,9673.0,19119.0,12218.0,639.0,-555.0,578.0,550.0,409.0,-1196.0,80.0,0.0,18.0,0.0,0.0,2.0,100.0,2,2,2,2,,,,,,,,,0.0,1197.0,0.0,0.0,1197.0,2.0,1.0,11.0,,,13.0,0.0,16.0,5.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,30.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,4.0,11.0,5,5,5,5,5,5,5,5,4,4,4,4,4,7.0,,1.0,5,5,5,5,5,5,3,4,1,4,5,4,4,3,4,,31.0,0.0,31.0,5.0,9.0,4.0,13.0,0.0,,,,,,,,,,,,,,,,,31.0
법인,4.143,2,경기,평택시,C26410,1999,4,2,4.0,,,1.0,,,,,6.0,1,4,3,1.0,6,3,1.0,2,1.0,2.0,2,72.0,13.0,15.0,0.0,0.0,6.0,5.0,2.0,1.0,80.0,0.0,20.0,0.0,0.0,0.0,100.0,9936.0,9961.0,4546.0,3788.0,5390.0,6173.0,7501.0,12280.0,447.0,781.0,81.0,76.0,-230.0,783.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,2,2,1,2,300.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,300.0,249.0,0.0,0.0,549.0,4.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,4.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,11.0,3,3,3,3,3,4,3,3,2,2,2,2,2,7.0,,1.0,3,3,3,2,3,3,3,3,4,4,2,2,2,2,3,,47.0,0.0,47.0,3.0,34.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,47.0
법인,16.974,1,경기,부천시,C26410,2017,2,2,4.0,,,1.0,,,,,6.0,1,3,5,,6,3,1.0,2,1.0,23.0,1,0.0,50.0,50.0,0.0,0.0,5.0,4.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,607.0,720.0,478.0,558.0,128.0,162.0,458.0,768.0,13.0,26.0,2.0,5.0,10.0,34.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2,1,1,2,300.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,57.0,0.0,0.0,57.0,4.0,1.0,5.0,12.0,,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,10.0,0.0,4.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,4,4,4,3,4,4,5,5,3,3,3,2,3,7.0,,1.0,4,5,4,5,5,5,4,4,5,4,3,2,3,4,3,,3.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,3.0
법인,3.023,2,대전,유성구,C26410,1999,4,1,4.0,,,2.0,,,,,,1,3,3,1.0,3,3,1.0,1,3.0,12.0,1,19.0,11.0,18.0,8.0,0.0,5.0,6.0,3.0,2.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,0.1,0.0,,3.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,14.0,,3,4,4,3,3,4,3,3,3,4,3,3,3,,,,4,4,4,5,2,4,4,4,2,2,3,4,3,3,4,5.0,56.0,0.0,56.0,8.0,31.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,"10,084","6,801","3,283","10,263",803,129,698,2.0,2.0,56.0
법인,3.6,2,서울,금천구,C26410,2005,4,2,4.0,,,1.0,,,,,6.0,1,3,3,3.0,6,3,1.0,3,1.0,7.0,2,5.0,23.0,36.0,3.0,2.0,5.0,6.0,1.0,3.0,80.0,18.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,,,8.0,0.0,,4.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,14.0,,3,4,3,4,3,2,4,3,3,3,2,3,3,,,,3,3,3,2,2,4,3,3,2,3,2,2,3,2,2,5.0,64.0,3.0,67.0,19.0,2.0,8.0,25.0,15.0,0.0,1.0,0.0,2.0,0.0,3.0,69.0,9783,9073,710,7663,-220,394,-696,2.0,2.0,69.0
법인,13.965,2,서울,성동구,C26410,1978,4,2,4.0,,,2.0,,,,,,1,3,2,3.0,8,3,1.0,3,1.0,5.0,2,3.0,4.0,4.0,1.0,0.0,6.0,5.0,1.0,2.0,12.0,38.0,50.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,0.1,0.01,,7.0,6.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,11.0,,3,4,4,3,3,3,3,3,3,3,3,4,3,,,,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3.0,12.0,0.0,12.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,"11,610","1,868","9,742","3,451",304,49,250,2.0,2.0,12.0
법인,3.6,4,대전,유성구,C26410,1996,4,2,4.0,,,2.0,,,,,,1,4,2,1.0,3,3,1.0,3,3.0,25.0,2,1.0,0.0,21.0,11.0,1.0,5.0,6.0,2.0,1.0,0.0,40.0,0.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,3.0,3.0,3.0,3.0,,,,60.0,0.0,,4.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,,5,5,1,3,5,5,5,5,3,3,3,3,3,,,,3,4,4,4,4,4,3,3,2,3,4,1,1,3,1,5.0,34.0,0.0,34.0,4.0,6.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17101,4163,12938,10335,1666,121,1425,1.0,2.0,34.0
법인,6.1,4,서울,금천구,C26410,2017,2,2,4.0,,,1.0,,,,,6.0,1,4,3,1.0,6,2,1.0,2,1.0,18.0,2,0.0,5.0,7.0,2.0,0.0,4.0,5.0,2.0,3.0,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,,,,1.0,1.0,,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,,3,3,4,3,3,4,3,3,3,3,2,3,3,,,,3,3,3,2,2,3,2,2,3,2,2,1,2,3,3,4.0,10.0,0.0,10.0,3.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,4730,3400,1330,4857,30,21,57,2.0,2.0,14.0
법인,1.078,2,서울,영등포구,C26410,1998,4,1,1.0,,,2.0,,,,,,1,4,3,1.0,6,3,1.0,1,3.0,0.0,2,15.0,42.0,94.0,22.0,0.0,5.0,6.0,3.0,2.0,0.0,0.0,24.0,16.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,10.0,0.01,,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,14.0,,3,3,3,2,2,3,3,3,3,4,4,3,3,,,,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,8.0,173.0,0.0,173.0,70.0,18.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,"109,200","27,659","81,541","104,553","10,500",0,"10,660",2.0,2.0,173.0
법인,3.6,2,경기,평택시,C26410,1999,4,1,4.0,,,1.0,,,,,6.0,1,3,3,3.0,6,3,1.0,2,1.0,18.0,2,8.0,7.0,23.0,2.0,0.0,5.0,3.0,2.0,1.0,81.0,14.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,8.0,0.0,,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,14.0,,3,4,4,3,4,4,3,3,4,3,3,2,2,,,,5,4,5,3,4,5,3,4,3,3,3,3,3,4,4,5.0,41.0,0.0,41.0,6.0,20.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,14496,7479,7017,12787,810,66,844,2.0,2.0,40.0
법인,1.05,4,서울,강서구,C26410,2000,4,1,1.0,,,1.0,,,,,6.0,1,3,3,1.0,6,3,1.0,3,1.0,8.0,2,72.0,51.0,40.0,2.0,1.0,3.0,5.0,3.0,2.0,20.0,30.0,5.0,0.0,0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,25.0,0.0,,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,14.0,,4,4,3,3,4,4,3,4,3,3,4,3,4,,,,3,3,2,2,3,2,2,3,2,3,2,3,2,3,2,8.0,154.0,3.0,157.0,22.0,104.0,8.0,27.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,166.0,164278,46258,118020,112750,11277,292,20297,2.0,2.0,166.0
법인,4.849,4,경기,의왕시,C26410,1997,4,2,4.0,,,1.0,,,,,6.0,1,2,5,,6,3,1.0,1,3.0,15.0,2,16.0,8.0,14.0,2.0,0.0,6.0,5.0,3.0,2.0,49.0,51.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,0.01,0.0,,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,14.0,,3,4,4,4,3,3,3,3,3,3,4,4,4,,,,4,4,5,4,3,5,3,3,3,3,3,3,3,3,3,4.0,40.0,0.0,40.0,4.0,23.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,"20,666","3,056","17,610","5,211","-1,129",35,-981,2.0,2.0,40.0
법인,3.6,2,서울,구로구,C26410,2000,4,1,3.0,,,1.0,,,,,5.0,1,2,3,1.0,5,3,1.0,3,1.0,7.0,2,2.0,18.0,25.0,8.0,2.0,5.0,4.0,2.0,3.0,26.0,30.0,0.0,44.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,3.0,2.0,3.0,2.0,,,,15.0,5.0,,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,14.0,,3,3,4,4,3,2,3,3,3,3,4,3,3,,,,3,3,2,4,3,4,3,2,2,3,2,3,2,3,2,5.0,48.0,1.0,49.0,9.0,10.0,7.0,27.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,55.0,19049,6449,12600,10766,47,226,385,2.0,2.0,55.0
