아이디,구분_법인_개인,가중치,(쿼터) 지역,(쿼터) 업종,(쿼터) 규모,A1-4_ 벤처확인 유형,A1-5_ 회사주소_시(도),A1-5_ 회사주소_구(군),A1-6_한국표준산업분류(KSIC)코드_10차,A1-6-1_ 1단계 업종분류_대분류,A1-6-2_ 2단계 업종분류_중분류,A1-6-3_ 3단계 업종분류_소분류,A2-1_ 창업년도,A2-2_ 기업성장단계,A2-3_ 제조 및 비제조,A2-3_ 일부 외주인 경우_ 아웃소싱 비중(퍼센트),A2-4_ 스마트공장 도입의향,A2-5_ 상장여부 및 향후계획,A2-5_ 현재 상장기업_상장년도,A2-5_ 현재 상장기업_상장시장,B1-1_ 현 대표이사와 창업자 동일여부,B1-2_ 대표이사 성별,B1-3_ 대표이사 연령(현재),B1-4_ 대표이사 최종학력(현재),B1-4-1_ 대표이사 전공,B1-5_ 대표이사 직전 근무지,B1-6_ 대표이사 이전 업무경력분야(1),B1-6_ 대표이사 이전 업무경력분야(2),B1-6_ 대표이사 이전 업무경력분야(3),B1-6_ 대표이사 이전 업무경력분야(4),B1-6_ 대표이사 이전 업무경력분야(5),B1-6_ 대표이사 이전 업무경력분야(6),B1-6_ 대표이사 이전 업무경력분야(7),B1-6_ 대표이사 이전 업무경력분야(8),B2-1_ 창업자 성별,B2-2_ 창업 당시 창업자 연령,B2-3_ 창업 당시 창업자 최종학력,B2-3-1_ 창업 당시 창업자 전공,B2-4_ 창업 직전 근무지,B2-5_ 창업 이전 업무경력분야(1),B2-5_ 창업 이전 업무경력분야(2),B2-5_ 창업 이전 업무경력분야(3),B2-5_ 창업 이전 업무경력분야(4),B2-5_ 창업 이전 업무경력분야(5),B2-5_ 창업 이전 업무경력분야(6),B2-5_ 창업 이전 업무경력분야(7),B2-5_ 창업 이전 업무경력분야(8),B2-6-1_ 창업방식,B2-6-2_ 단독창업 여부,B2-6-2_ 공동_팀 창업시_ 창업자 포함 멤버 수(명),B2-6-3_ 창업자 역할,B2-6-4_ 공동창업자 역할,B2-7_ 창업 당시 목표시장,B2-8_ 창업 당시 창업자 실무경험 년수(년),B2-9_ 창업자 과거창업 경험 여부,B2-9-1_ 과거창업 결과(횟수)_성공,B2-9-1_ 과거창업 결과(횟수)_실패,B2-9-1_ 과거창업 결과(횟수)_합계,C1-1_ 2019년 정규직_남성,C1-1_ 2019년 정규직_여성,C1-1_ 2019년 정규직_합계,C1-2_ 2019년 비정규직_남성,C1-2_ 2019년 비정규직_여성,C1-2_ 2019년 비정규직_합계,C1-3_ 2019년 총 종사자_남성,C1-3_ 2019년 총 종사자_여성,C1-3_ 2019년 총 종사자_합계,C2-1_ 직종별 인력구성_관리,C2-1_ 직종별 인력구성_생산,C2-1_ 직종별 인력구성_영업,C2-1_ 직종별 인력구성_RnD,C2-1_ 직종별 인력구성_기타,C2-1_ 직종별 인력구성_합계,C2-1_ 직종별 부족인원_관리,C2-1_ 직종별 부족인원_생산,C2-1_ 직종별 부족인원_영업,C2-1_ 직종별 부족인원_연구개발(RnD),C2-1_ 직종별 부족인원_기타,C2-1_ 직종별 부족인원_합계,C3_ 학력별 인력구성_박사,C3_ 학력별 인력구성_석사,C3_ 학력별 인력구성_대졸,C3_ 학력별 인력구성_전문대졸,C3_ 학력별 인력구성_고졸이하,C3_ 학력별 인력구성_합계,C4_ 신규인력 채용의사,C4_ 신규채용 예상인력_2020년 하반기,C4_ 신규채용 예상인력_2021년,C4_ 신규채용 예상인력_합계,C4-1_ 신규채용 희망학력_박사,C4-1_ 신규채용 희망학력_석사,C4-1_ 신규채용 희망학력_대졸,C4-1_ 신규채용 희망학력_전문대졸,C4-1_ 신규채용 희망학력_고졸이하,C4-1_ 신규채용 희망학력_합계,C4-2_ 신규인력 채용계획 없는 이유,C5-1_ 현재 구인하기 어려운 직무(1순위),C5-1_ 현재 구인하기 어려운 직무(2순위),C5-2_ 현재 구인하기 어려운 직급(1순위),C5-2_ 현재 구인하기 어려운 직급(2순위),D1_ 지분구조(퍼센트)_창업자,D1_ 지분구조(퍼센트)_임직원,D1_ 지분구조(퍼센트)_가족,D1_ 지분구조(퍼센트)_벤처캐피털 및 기관투자자,D1_ 지분구조(퍼센트)_엔젤 및 액셀러레이터,D1_ 지분구조(퍼센트)_개인투자자,D2-1_ 2019년 자산(백만원),D2-2_ 2019년 부채(백만원),D2-3_ 2019년 자본(백만원),D3-1_ 2019년 매출액(백만원),D3-2_ 2019년 영업이익(백만원),D3-3_ 2019년 금융비용(백만원),D3-4_ 2019년 당기순이익(백만원),D4_ 매출구조(퍼센트)_(B2B)대기업 또는 대기업그룹사 소속사,D4_ 매출구조(퍼센트)_(B2B)(대기업에 납품하는 1_2차 벤더),D4_ 매출구조(퍼센트)_(B2B)(중소기업 및 벤처기업),D4_ 매출구조(퍼센트)_(B2B)(중견기업),D4_ 매출구조(퍼센트)_(B2C)소비자 매출,D4_ 매출구조(퍼센트)_(B2G)정부 포함 공공부문 매출,D4_ 매출구조(퍼센트)_해외,D5-1_ 연구개발(RnD)자금(출연금)_경험여부,D5-1_ 연구개발(RnD)자금(출연금)_금액(백만원),D5-2_ 융자(정책자금)_경험여부,D5-2_ 융자(정책자금)_금액(백만원),D5-3_ 보증서지원_경험여부,D5-3_ 보증서지원_금액(백만원),D5-4_ 기타지원_경험여부,D5-4_ 기타지원_금액(백만원),D5-5_ 합계_경험여부,D5-5_ 합계_금액(백만원),D6_ 신규자금 조달규모(백만원),D6_ 신규자금 조달방법(퍼센트)_기업공개(IPO),D6_ 신규자금 조달방법(퍼센트)_벤처캐피털_엔젤투자,D6_ 신규자금 조달방법(퍼센트)_회사채 발행,D6_ 신규자금 조달방법(퍼센트)_정부정책지원금,D6_ 신규자금 조달방법(퍼센트)_은행 등 일반금융,D6_ 신규자금 조달방법(퍼센트)_기타,D7_ 투자처별 투자액(백만원)_국내설비,D7_ 투자처별 투자액(백만원)_국내연구개발(RnD),D7_ 투자처별 투자액(백만원)_해외,D7_ 투자처별 투자액(백만원)_기타,D7_ 투자처별 투자액(백만원)_합계,D8_ 스톡옵션 활용 상황,D8-1_ 스톡옵션 실시 목적,D8-2_ 스톡옵션 미활용 이유,D9_ 1-2년내 법인전환 의사,E1_ 주력기술과 4차 산업혁명 관련 여부,E1-1_ 주력제품과 관련성이 큰 기술(1),E1-1_ 주력제품과 관련성이 큰 기술(2),E1-1_ 주력제품과 관련성이 큰 기술(3),E1-1_ 주력제품과 관련성이 큰 기술(4),E1-1_ 주력제품과 관련성이 큰 기술(5),E1-1_ 주력제품과 관련성이 큰 기술(6),E1-1_ 주력제품과 관련성이 큰 기술(7),E1-1_ 주력제품과 관련성이 큰 기술(8),E1-1_ 주력제품과 관련성이 큰 기술(9),E1-1_ 주력제품과 관련성이 큰 기술(10),E1-1_ 주력제품과 관련성이 큰 기술(11),E1-1_ 주력제품과 관련성이 큰 기술(12),E1-1_ 주력제품과 관련성이 큰 기술(13),E1-1_ 주력제품과 관련성이 큰 기술(14),E1-1_ 주력제품과 관련성이 큰 기술(15),E1-1_ 주력제품과 관련성이 큰 기술(16),E1-1_ 주력제품과 관련성이 큰 기술(17),E1-1_ 주력제품과 관련성이 큰 기술(18),E1-1_ 주력제품과 관련성이 큰 기술(19),E1-1_ 주력제품과 관련성이 큰 기술(20),E2-1_ 현재 등록보유 산업재산권(건)_특허권,E2-1_ 현재 등록보유 산업재산권(건)_실용신안권,E2-1_ 현재 등록보유 산업재산권(건)_디자인권,E2-1_ 현재 등록보유 산업재산권(건)_상표권,E2-1_ 현재 등록보유 산업재산권(건)_해외,E2-1_ 현재 등록보유 산업재산권(건)_합계,E2-2_ 현재 출원중 산업재산권(건)_특허권,E2-2_ 현재 출원중 산업재산권(건)_실용신안권,E2-2_ 현재 출원중 산업재산권(건)_디자인권,E2-2_ 현재 출원중 산업재산권(건)_상표권,E2-2_ 현재 출원중 산업재산권(건)_해외,E2-2_ 현재 출원중 산업재산권(건)_합계,E3_ 획득하고 있는 해외특허나 국제규격,E4_ 제품 및 서비스 구조,E5_ 세계 유일기술 보유여부,E6-1_ 세계 최고수준 기업과 비교시 기술력 수준,E6-2_ 국내 최고수준 기업과 비교시 기술력 수준,E7_ 기술연구소나 연구개발 전담부서 보유여부,F1-1_ 경쟁사 대비 현황_개발역량,F1-2_ 경쟁사 대비 현황_제조역량,F1-3_ 경쟁사 대비 현황_마케팅역량,F2-1_ 경쟁전략초점_원가우위 수준,F2-2_ 경쟁전략초점_제품 고부가가치화 수준,F3-1_ 비즈니스 모델_명확한 정리정도,F3-2_ 비즈니스 모델_혁신정도,F4_ 장기적 성장 전망성,G1_ 자체 브랜드_보유여부,G1_ 자체 브랜드_보유개수(개),G2_ 영업 및 마케팅 방식,G3-1_ 주력제품 국내 시장점유율(퍼센트),G3-2_ 주력제품 해외 시장점유율(퍼센트),G4_ 원자재나 부품 수입여부,G4-1_ 원자재나 부품 수입국(1),G4-1_ 원자재나 부품 수입국(2),G4-1_ 원자재나 부품 수입국(3),G4-1_ 원자재나 부품 수입국(4),G4-1_ 원자재나 부품 수입국(5),G4-1_ 원자재나 부품 수입국(6),G4-1_ 원자재나 부품 수입국(7),G5_ 해외 사업 방식,G5-1_ 해외 지사 및 지점 설치여부,G6-1_ 직_간접수출 국가(1),G6-1_ 직_간접수출 국가(2),G6-1_ 직_간접수출 국가(3),G6-1_ 직_간접수출 국가(4),G6-1_ 직_간접수출 국가(5),G6-1_ 직_간접수출 국가(6),G6-1_ 직_간접수출 국가(7),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(1),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(2),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(3),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(4),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(5),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(6),G6-2_ 해외 시장 진출(지사 및 지점 설치) 국가(7),G7_ 해외수출 및 진출과정 애로사항(1순위),G7_ 해외수출 및 진출과정 애로사항(2순위),H1_ 협력기관 중 메인 파트너(1순위),H1_ 협력기관 중 메인 파트너(2순위),H1-1_ 대학_협력활동 경험,H1-1_ 대학_협력활동 유형,H1-1_ 대학_협력활동 도움정도,H1-2_ 연구기관_협력활동 경험,H1-2_ 연구기관_협력활동 유형,H1-2_ 연구기관_협력활동 도움정도,H1-3_ 중소기업 및 벤처기업_협력활동 경험,H1-3_ 중소기업 및 벤처기업_협력활동 유형,H1-3_ 중소기업 및 벤처기업_협력활동 도움정도,H1-4_ 중견기업_협력활동 경험,H1-4_ 중견기업_협력활동 유형,H1-4_ 중견기업_협력활동 도움정도,H1-5_ 대기업_협력활동 경험,H1-5_ 대기업_협력활동 유형,H1-5_ 대기업_협력활동 도움정도,H1-6_ 외국계기업_협력활동 경험,H1-6_ 외국계기업_협력활동 유형,H1-6_ 외국계기업_협력활동 도움정도,H1-7_ 기타기관_협력활동 경험,H1-7_ 기타기관_협력활동 유형,H1-7_ 기타기관_협력활동 도움정도,H2-1_ 대학_협력활동 희망,H2-1_ 대학_협력활동 희망 유형,H2-2_ 연구기관_협력활동 희망,H2-2_ 연구기관_협력활동 희망 유형,H2-3_ 중소기업 및 벤처기업_협력활동 희망,H2-3_ 중소기업 및 벤처기업_협력활동 희망 유형,H2-4_ 중견기업_협력활동 희망,H2-4_ 중견기업_협력활동 희망 유형,H2-5_ 대기업_협력활동 희망,H2-5_ 대기업_협력활동 희망 유형,H2-6_ 외국계기업_협력활동 희망,H2-6_ 외국계기업_협력활동 희망 유형,H2-7_ 기타기관_협력활동 희망,H2-7_ 기타기관_협력활동 희망 유형,I1_ 크라우드 펀딩 경험여부,I2_ 엔젤투자자 혹은 액셀러레이터 투자 경험여부,I3_ 벤처캐피털(투자조합포함) 투자 경험여부,I3-1_ 투자한 벤처캐피털(투자조합포함) 역할,I3-2-1_ 경영관리 지도 또는 경영자문_도움여부,I3-2-1_ 경영관리 지도 또는 경영자문_도움정도,I3-2-2_ 이사회 참여 의사결정과정 감독 관여_도움여부,I3-2-2_ 이사회 참여 의사결정과정 감독 관여_도움정도,I3-2-3_ 제품 마케팅 및 판로개척 지원 또는 해외시장 진출 및 수출지원_도움여부,I3-2-3_ 제품 마케팅 및 판로개척 지원 또는 해외시장 진출 및 수출지원_도움정도,I3-2-4_ 관련 기술정보 소개 또는 제공_도움여부,I3-2-4_ 관련 기술정보 소개 또는 제공_도움정도,I3-2-5_ 지적재산권_특허권 관련 법률지도_도움여부,I3-2-5_ 지적재산권_특허권 관련 법률지도_도움정도,I3-2-6_ 은행_금융 기관소개 알선_도움여부,I3-2-6_ 은행_금융 기관소개 알선_도움정도,I3-2-7_ 필요 전문인력 소개 또는 헤드 헌팅_도움여부,I3-2-7_ 필요 전문인력 소개 또는 헤드 헌팅_도움정도,I4_ 인수합병(MnA) 경험여부,I5_ 피인수합병 경험여부,I6_ 다른 업체를 인수합병 할 의향여부,I7_ 다른 업체의 인수합병에 응할 의향여부,I8_ 인수합병 환경개선을 위한 필요사항(1순위),I8_ 인수합병 환경개선을 위한 필요사항(2순위),J1-1_ 대기업 또는 대기업 그룹소속사_전년도 대비 납품단가 변동여부,J1-1_ 대기업 또는 대기업 그룹소속사_전년도 대비 납품단가 변동폭(퍼센트),J1-2_ 대기업에 납품하는 1_ 2차 벤더_전년도 대비 납품단가 변동여부,J1-2_ 대기업에 납품하는 1_ 2차 벤더_전년도 대비 납품단가 변동폭(퍼센트),J1-3_ 중소기업 및 벤처기업_전년도 대비 납품단가 변동여부,J1-3_ 중소기업 및 벤처기업_전년도 대비 납품단가 변동폭(퍼센트),J1-4_ 중견기업_전년도 대비 납품단가 변동여부,J1-4_ 중견기업_전년도 대비 납품단가 변동폭(퍼센트),J1-5_ 해외기업_전년도 대비 납품단가 변동여부,J1-5_ 해외기업_전년도 대비 납품단가 변동폭(퍼센트),J2-1_ 대기업 또는 대기업그룹 소속사_현재 이익률(퍼센트),J2-1_ 대기업 또는 대기업그룹 소속사_희망 이익률(퍼센트),J2-2_ 대기업에 납품하는 1_ 2차 벤더_현재 이익률(퍼센트),J2-2_ 대기업에 납품하는 1_ 2차 벤더_희망 이익률(퍼센트),J2-3_ 중소기업 및 벤처기업_현재 이익률(퍼센트),J2-3_ 중소기업 및 벤처기업_희망 이익률(퍼센트),J2-4_ 중견기업_현재 이익률(퍼센트),J2-4_ 중견기업_희망 이익률(퍼센트),J2-5_ 해외기업_현재 이익률(퍼센트),J2-5_ 해외기업_희망 이익률(퍼센트),J3-1_ 대기업 또는 대기업 그룹소속사_불공정거래 경험여부,J3-1_ 대기업 또는 대기업 그룹소속사_불공정거래 심각정도,J3-2_ 대기업에 납품하는 1_ 2차 벤더_불공정거래 경험여부,J3-2_ 대기업에 납품하는 1_ 2차 벤더_불공정거래 심각정도,J3-3_ 중소기업 및 벤처기업_불공정거래 경험여부,J3-3_ 중소기업 및 벤처기업_불공정거래 심각정도,J3-4_ 중견기업_불공정거래 경험여부,J3-4_ 중견기업_불공정거래 심각정도,J3-5_ 해외기업_불공정거래 경험여부,J3-5_ 해외기업_불공정거래 심각정도,J4_ 기업간 거래시 애로사항(1순위),J4_ 기업간 거래시 애로사항(2순위),K1-1_ 벤처확인제도 혜택_기술개발 촉진효과,K1-2_ 벤처확인제도 혜택_기업 이미지 제고 등 광고효과,K1-3_ 벤처확인제도 혜택_세제혜택 효과,K1-4_ 벤처확인제도 혜택_우수인력 확보에 유리,K1-5_ 벤처확인제도 혜택_입지 선정 시 유리,K1-6_ 벤처확인제도 혜택_자금조달 및 투자 유인효과,K1-7_ 벤처확인제도 혜택_정부지원제도 참여에 유리,K1-8_ 벤처확인제도 혜택_창업 관련 규제 완화 효과,K2-1_ 현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,K2-2_ 현재 벤처인프라 수준_벤처관련 규제완화,K2-3_ 현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,K2-4_ 현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,K2-5_ 현재 벤처인프라 수준_벤처투자 활성화,K3-1_ 실천하고 있는 사회적 책임(1),K3-1_ 실천하고 있는 사회적 책임(2),K3-1_ 실천하고 있는 사회적 책임(3),K3-1_ 실천하고 있는 사회적 책임(4),K3-1_ 실천하고 있는 사회적 책임(5),K3-1_ 실천하고 있는 사회적 책임(6),K3-1_ 실천하고 있는 사회적 책임(7),K3-2_ 향후 사회적 책임 실천 계획여부,K4-1_ 경영상 애로사항_신기술 개발,K4-2_ 경영상 애로사항_개발된 기술의 사업화,K4-3_ 경영상 애로사항_국내 판로개척,K4-4_ 경영상 애로사항_해외시장 개척,K4-5_ 경영상 애로사항_필요인력의 확보 및 유지관리,K4-6_ 경영상 애로사항_자금조달_운용 등 자금관리,K4-7_ 경영상 애로사항_기술유출 및 디자인_상표 도용,K4-8_ 경영상 애로사항_업계내의 과당경쟁 및 덤핑,K4-9_ 경영상 애로사항_법률_회계_세무 관련 지식부족,K4-10_ 경영상 애로사항_조직관리,K4-11_ 경영상 애로사항_환율변동,K4-12_ 경영상 애로사항_특허분쟁,K4-13_ 경영상 애로사항_각종규제,K4-14_ 경영상 애로사항_산-학-연 간 협력활동,K4-15_ 경영상 애로사항_불공정한 시장질서,K5-1_ 업종 관련 애로사항,K5-2_ 경영 관련 애로사항,K5-3_ 정책 건의사항
1,법인,2.702,1,2,6,4,경기,성남시 수정구,21210,C,21,212,2006,4,2,30,2,4,,,1,,,,,,,,,,,,,,1,3,2,2,7,,,,4,,,,,3,1,,2,,3,12,2,,,,18,8,26,0,0,0,18,8,26,2,8,8,8,0,26,0,0,0,0,0,0,2,4,6,12,2,26,1,0,3,3,0,0,1,2,0,3,,4,5,3,2,45,0,10,0,0,45,"5,822","2,811","3,011","13,186",280,27,432,0,0,80,0,0,0,20,2,,2,,2,,2,,2,,,,,,,,,0,652,0,0,652,4,,1,,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,0,0,0,3,4,3,2,2,2,2,4,4,4,4,3,4,3,4,1,2,3,3,0.01,1,1,,,,,6,,1,2,1,,,,,6,12,,,,,,,,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,3,4,,,,,2,,,,2,,,,,,20,25,,,20,25,,,,,,,,,,,14,,5,4,5,4,5,4,4,3,3,3,2,3,3,,,,,,,7,1,5,4,4,4,3,4,4,3,4,3,3,4,3,2,3,,,
14,개인,1.552,1,1,6,1,경기,파주시,20423,C,20,204,2010,3,3,,,,,,,,,,,,,,,,,,,,1,1,3,3,6,,,3,,,,,,3,,,3,,,2,2,,,,1,6,7,0,0,0,1,6,7,2,0,2,3,0,7,0,0,1,0,0,1,0,1,6,0,0,7,1,1,0,1,0,0,1,0,0,1,,5,4,2,3,,,,,,,"2,948","2,547",401,"13,147",416,16,382,0,0,15,0,85,0,0,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,8,0,0,1,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,3,4,4,3,4,3,5,3,3,,,,,,,,,5,5,5,4,3,5,2,4,2,2,3,2,5,4,3,,,
22,법인,20.45,3,6,4,2,경남,김해시,31114,C,31,311,2011,4,2,30,2,4,,,1,,,,,,,,,,,,,,1,3,4,1,6,,,,4,,,,,3,1,,2,,1,15,2,,,,3,4,7,0,0,0,3,4,7,2,5,0,0,0,7,0,0,0,0,0,0,0,0,1,1,5,7,2,,,,,,,,,,3,6,2,1,3,70,0,30,0,0,0,"6,876","4,946","1,930","5,540",202,168,-283,0,100,0,0,0,0,0,2,,2,,2,,2,,2,,,,,,,,,30,0,0,0,30,4,,1,,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,3,6,4,4,3,4,3,3,3,4,2,,1,10,0,2,,,,,,,,4,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,3,5,,,2,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,14,,4,5,4,3,3,4,5,4,3,4,4,3,4,,,,,,,7,2,3,3,3,3,4,4,3,3,2,2,2,3,3,3,3,,,
25,개인,12.758,5,7,1,2,광주,동구,58222,J,58,582,2014,4,4,,,,,,,,,,,,,,,,,,,,1,2,3,1,6,,,,,5,,,,3,,,1,,,9,2,,,,5,4,9,0,0,0,5,4,9,1,0,0,1,7,9,0,0,0,0,0,0,0,0,6,3,0,9,2,,,,,,,,,,4,4,5,1,2,,,,,,,113,108,5,414,-3,0,-9,17,0,83,0,0,0,0,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,3,3,3,3,3,2,3,3,3,2,,,,,,,,,3,5,5,4,3,5,2,4,2,2,2,2,2,2,2,,,
36,법인,12.614,3,10,2,2,울산,울주군,41225,F,41,412,2015,3,2,30,2,4,,,1,,,,,,,,,,,,,,1,4,3,1,8,1,,,,,,,,3,1,,3,,3,15,1,2,0,2,4,3,7,0,0,0,4,3,7,1,2,3,1,0,7,0,0,0,0,0,0,0,0,1,3,3,7,2,,,,,,,,,,4,4,6,3,2,40,0,50,0,0,10,818,450,368,"1,640",33,12,53,0,0,10,0,0,90,0,2,,2,,2,,2,,2,,350,0,0,0,0,100,0,0,58,0,0,58,4,,1,,2,,,,,,,,,,,,,,,,,,,,,5,0,0,2,0,7,0,0,0,0,6,6,4,3,2,2,2,2,4,3,3,4,3,4,3,4,2,,1,1,0,2,,,,,,,,4,,,,,,,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,4,5,,,,,2,,,,,,,,,,20,20,,,,,,,,,,,,,,,14,,4,5,4,3,4,5,5,3,3,3,2,3,3,,,,,,,7,2,5,4,3,4,3,4,3,4,3,3,4,3,4,3,2,,,
42,법인,3.157,2,4,6,1,충북,음성군,28302,C,28,283,1999,3,2,5,2,4,,,1,,,,,,,,,,,,,,1,3,2,1,6,,,3,,,,,,3,1,,3,,1,17,1,1,0,1,14,3,17,0,0,0,14,3,17,2,10,2,3,0,17,0,0,0,0,0,0,0,1,6,3,7,17,2,,,,,,,,,,4,6,5,1,2,31,0,68,0,0,1,"9,742","6,659","3,083","14,148",291,141,121,48,0,52,0,0,0,0,1,200,2,,2,,2,,1,200,260,0,0,0,76.9,0,23.1,260,108,0,0,368,4,,2,,2,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,2,0,0,0,0,0,0,4,1,2,4,4,4,3,3,3,3,3,3,2,3,1,1,1,1,0,1,,,3,,,,,4,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,5,2,,,,2,,,,,,19,25,,,21,30,,,,,,,,,,,,,,,14,,3,4,4,4,3,4,3,3,3,3,4,4,3,1,,,,,,,,3,4,5,5,5,5,4,3,2,2,2,3,3,2,2,,,
50,개인,0.635,2,10,4,1,대전,동구,1299,A,1,12,2016,3,1,,,,,,,,,,,,,,,,,,,,1,2,3,3,9,,2,,,,,,,3,,,3,,,8,1,0,1,1,4,0,4,0,0,0,4,0,4,1,3,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,4,2,,,,,,,,,,4,5,6,2,3,,,,,,,"1,025",701,324,"5,106",180,18,144,0,0,100,0,0,0,0,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,3,3,3,3,3,4,4,4,,,,,,,,,4,5,5,5,3,5,3,5,3,3,3,3,3,3,4,,,
61,법인,19.085,1,4,2,2,경기,화성시,28302,C,28,283,2012,4,2,20,2,4,,,1,,,,,,,,,,,,,,1,3,4,1,6,,,3,,,,,,3,1,,3,,1,15,1,1,0,1,6,1,7,0,0,0,6,1,7,1,3,1,2,0,7,0,0,0,0,0,0,0,1,2,2,2,7,2,,,,,,,,,,3,6,5,1,2,0,0,45,0,0,55,"2,099","1,417",682,646,99,50,49,21,0,0,0,0,79,0,2,,2,,2,,2,,2,,97,0,0,0,0,0,100,0,97,0,0,97,4,,2,,2,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,2,0,0,0,0,0,0,4,2,2,5,4,2,3,2,2,3,2,2,2,3,1,5,1,0.01,0,1,,,,,,6,,4,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,3,6,2,,,,,,,,,,18,23,,,,,,,,,,,,,,,,,,,14,,3,5,3,4,3,3,3,3,3,3,4,2,3,,,,,,,7,2,4,5,5,5,3,5,4,5,3,3,3,3,3,3,3,,자금부족,자금지원
100,법인,23.576,1,7,2,4,경기,성남시 분당구,58221,J,58,582,2013,3,4,,2,4,,,1,,,,,,,,,,,,,,1,1,3,1,2,,,,,,,,8,3,1,,1,,1,0,2,,,,20,5,25,0,0,0,20,5,25,3,0,0,18,4,25,0,0,0,0,0,0,1,3,17,4,0,25,2,,,,,,,,,,2,5,4,1,2,67,0,0,33,0,0,"1,350",293,"1,057","1,037",-753,0,-231,12,0,40,13,0,35,0,2,,2,,2,,2,,2,,,,,,,,,0,760,0,0,760,4,,2,,1,,,,,,,,,,,,12,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,4,2,3,2,2,2,2,2,2,3,1,1,1,0.1,0,2,,,,,,,,4,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,2,2,2,2,2,3,2,,,,1,1,2,,,,18,25,,,22,30,20,25,,,,,,,,,,,,,14,,2,4,3,3,3,4,3,3,3,3,4,3,3,,,,,,,7,2,3,5,5,5,3,5,4,3,3,2,2,3,3,3,3,,,
