주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.0,2.0,70.0,0.0,281.604,29.346,240.801,1.198,1,3,1,3,7,0
1.0,1.0,0.0,40.0,68.231,10.108,889.286,15.873,0,3,3,3,2,0
0.0,0.2,64.0,0.0,205.918,29.704,236.654,1.64,0,4,3,3,2,0
0.1,5.0,90.0,10.0,201.487,30.205,231.07,3.232,3,3,3,3,5,0
0.01,7.0,62.0,0.0,267.546,39.762,151.55,1.657,0,5,1,4,7,0
0.0,0.6,18.0,82.0,286.043,30.45,228.411,1.572,0,3,1,4,3,0
0.01,0.2,54.0,10.0,143.045,5.834,1614.206,-12.802,0,3,3,3,2,0
0.0,30.0,30.0,0.0,475.88,32.086,211.665,1.331,0,3,1,2,2,0
0.0,30.0,30.0,0.0,446.678,27.428,264.596,1.434,0,3,1,2,2,0
5.0,10.0,0.0,30.0,174.37,58.073,72.197,5.52,5,3,1,4,1,0
0.0,0.03,60.0,0.0,234.231,15.327,552.453,0.264,1,5,1,4,4,0
0.01,0.1,94.0,6.0,75.339,43.683,128.924,3.046,2,3,3,3,3,0
0.0,0.03,60.0,0.0,270.629,16.027,523.949,0.302,1,5,1,4,4,0
0.0,30.0,86.0,0.0,105.459,43.248,131.226,1.826,9,3,1,4,5,0
0.0,1.0,0.0,50.0,260.483,14.28,600.271,0.282,4,5,1,4,2,0
40.0,45.0,29.5,0.0,135.891,30.562,227.2,10.675,1,3,1,3,5,0
0.0,30.0,86.0,0.0,140.687,42.294,136.439,2.501,9,3,1,4,5,0
0.0,0.03,60.0,0.0,158.595,17.091,485.091,1.119,0,5,1,4,2,0
0.0,0.01,40.0,0.0,221.64,15.829,531.759,0.223,2,2,1,4,2,0
0.0,0.01,40.0,0.0,254.905,15.457,546.976,0.572,2,2,1,4,2,0
0.1,0.1,45.0,55.0,86.854,25.25,296.044,4.019,3,3,1,3,3,0
15.0,60.0,30.0,10.0,99.193,32.432,208.334,1.01,2,3,1,4,3,0
0.01,2.0,80.0,0.0,151.537,66.453,50.471,1.308,0,3,1,3,5,0
0.0,0.01,40.0,0.0,137.635,20.326,391.986,3.825,2,2,1,4,2,0
