iter	Logloss
0	0.6797088805
1	0.6671291784
2	0.6562956186
3	0.6450334586
4	0.6340236884
5	0.6249799595
6	0.6153405756
7	0.6067161528
8	0.5978536424
9	0.59010293
10	0.5822603162
11	0.5754663874
12	0.5684196081
13	0.5624059883
14	0.5569982145
15	0.5518362802
16	0.5465816586
17	0.5412689228
18	0.5363812305
19	0.5317354348
20	0.5276181202
21	0.5234854355
22	0.5188931877
23	0.5148705381
24	0.5117536269
25	0.50814063
26	0.5051691575
27	0.5022268454
28	0.4991802452
29	0.4965552148
30	0.4939001173
31	0.4914989582
32	0.4891236387
33	0.4864733481
34	0.4841795318
35	0.4823365058
36	0.4800636339
37	0.4781362235
38	0.4760264562
39	0.4742826356
40	0.4722183411
41	0.4707425911
42	0.4688610586
43	0.4672337412
44	0.4658061144
45	0.4642151891
46	0.4626027262
47	0.4612205462
48	0.4600424856
49	0.4587418417
50	0.4572864331
51	0.4558674415
52	0.4547250468
53	0.4533384088
54	0.4521876396
55	0.4508024551
56	0.4497927981
57	0.4484564042
58	0.4473879265
59	0.4466094016
60	0.4456410757
61	0.4446489488
62	0.4436875126
63	0.4429581578
64	0.4420421735
65	0.440962427
66	0.439948137
67	0.4391579373
68	0.4382873833
69	0.4372375714
70	0.4363926186
71	0.4356094709
72	0.4347659339
73	0.4338852671
74	0.432975088
75	0.4322883762
76	0.4317097028
77	0.4307796628
78	0.4301815632
79	0.4295993163
80	0.4289481036
81	0.4283060598
82	0.4277744242
83	0.4271261834
84	0.4264827944
85	0.4258318978
86	0.4250183494
87	0.4245098152
88	0.4237148126
89	0.4231451661
90	0.4224864884
91	0.4217151929
92	0.4209415324
93	0.4201749863
94	0.4193558358
95	0.4187359615
96	0.4181028224
97	0.4175309482
98	0.4169240089
99	0.416306245
100	0.4156008184
101	0.4150153044
102	0.4145794682
103	0.4135546989
104	0.4127697399
105	0.4122840245
106	0.4118486612
107	0.4111479869
108	0.4105679614
109	0.4101238212
110	0.4095325466
111	0.4088785902
112	0.4083374423
113	0.4075982347
114	0.4069544624
115	0.4064015282
116	0.4058641895
117	0.4054026955
118	0.4047688858
119	0.4043759822
120	0.4038325795
121	0.4034313902
122	0.4030804986
123	0.4023437125
124	0.4019638084
125	0.4015663619
126	0.4011303284
127	0.4007060278
128	0.4002246978
129	0.399660894
130	0.3992057778
131	0.3988202645
132	0.3983735139
133	0.3978344469
134	0.3972916226
135	0.3968232199
136	0.3964150362
137	0.3959166143
138	0.3953870423
139	0.3949776097
140	0.3947458567
141	0.3940643164
142	0.3936197014
143	0.3931069883
144	0.3927711716
145	0.3924328567
146	0.3920707536
147	0.3916269681
148	0.3909703405
149	0.3905903628
150	0.3901274122
151	0.3897778979
152	0.3893683743
153	0.3889552921
154	0.3885199149
155	0.3881422319
156	0.3878795873
157	0.3874972898
158	0.3869991091
159	0.3865889863
160	0.3863012031
161	0.3858766458
162	0.3855063782
163	0.3852235001
164	0.3849513557
165	0.3846004828
166	0.3842664513
167	0.3838230613
168	0.3832200012
169	0.382800092
170	0.3823444418
171	0.3820598924
172	0.3817552234
173	0.3813133746
174	0.3810216422
175	0.3806742174
176	0.3803558679
177	0.3799875616
178	0.3795357519
179	0.3791288613
180	0.378663412
181	0.3784262718
182	0.377741637
183	0.3772233443
184	0.3770246166
185	0.3765588765
186	0.3760111316
187	0.3754744157
188	0.3750909551
189	0.3747804352
190	0.374475733
191	0.3741762333
192	0.3737777355
193	0.3733308534
194	0.3729757296
195	0.3726794852
196	0.3723411019
197	0.3719904572
198	0.3716558902
199	0.3713209926
200	0.3709147071
201	0.3703611996
202	0.3700588788
203	0.3698267074
204	0.3694837577
205	0.3692147513
206	0.3688343773
207	0.3684934421
208	0.3681418411
209	0.3677758533
210	0.367577478
211	0.3672029215
212	0.3668948255
213	0.3665791058
214	0.3663336188
215	0.365936492
216	0.3657468176
217	0.365159117
218	0.364683867
219	0.3643738754
220	0.3641489793
221	0.3637178045
222	0.3633569237
223	0.3628516923
224	0.3625090645
225	0.3622293539
226	0.3620795801
227	0.3617599004
228	0.3615703066
229	0.3610573282
230	0.3606376848
231	0.3604075798
232	0.3601277948
233	0.3597228287
234	0.3593350185
235	0.3591384745
236	0.3588213844
237	0.3586384147
238	0.3583996959
239	0.3579921403
240	0.3576834456
241	0.3573654954
242	0.3570241407
243	0.3567773493
244	0.3565029585
245	0.3562676938
246	0.3559317932
247	0.3556810386
248	0.3554751604
249	0.3551579725
250	0.3548232652
251	0.3544047774
252	0.354181972
253	0.3539481161
254	0.3536337795
255	0.3533420188
256	0.3530131151
257	0.3527634892
258	0.3525221121
259	0.3522527511
260	0.3520300431
261	0.3517016394
262	0.3513174846
263	0.3510360246
264	0.3507106352
265	0.3504731109
266	0.3502730912
267	0.3500368422
268	0.3497426384
269	0.3494407838
270	0.3490137337
271	0.3486456739
272	0.3484295163
273	0.3481671331
274	0.3477886302
275	0.3475776466
276	0.34717935
277	0.3468812258
278	0.3465434949
279	0.3460800587
280	0.3457104825
281	0.3453489929
282	0.344960547
283	0.3445316532
284	0.3442713258
285	0.343919615
286	0.3437577094
287	0.3433924286
288	0.3431258046
289	0.342824678
290	0.3426041724
291	0.3422718162
292	0.3420178815
293	0.3416939331
294	0.3413050717
295	0.3409025411
296	0.3407016516
297	0.3403164855
298	0.3401010181
299	0.3397686563
300	0.3394496553
301	0.3392605846
302	0.33897608
303	0.3385965532
304	0.3384444751
305	0.338173289
306	0.3379636087
307	0.3375034034
308	0.3372067536
309	0.3368903056
310	0.3365833255
311	0.3363417066
312	0.3360885681
313	0.3359081431
314	0.3356967331
315	0.3354838038
316	0.3353086119
317	0.335034387
318	0.3346613915
319	0.3344192122
320	0.3341587695
321	0.3340153457
322	0.3337468143
323	0.3334887785
324	0.3332664808
325	0.3329439784
326	0.3325076386
327	0.3322423005
328	0.3319381362
329	0.3316026082
330	0.3313373239
331	0.3307632704
332	0.3305627923
333	0.3303345226
334	0.3297938834
335	0.3295108361
336	0.329350524
337	0.3290115059
338	0.3287229136
339	0.328511646
340	0.3281968767
341	0.3278384065
342	0.3276718639
343	0.3273471614
344	0.3269637484
345	0.3264978317
346	0.326190436
347	0.3260704967
348	0.3256577375
349	0.3255231579
350	0.3251571317
351	0.3249338746
352	0.3245165271
353	0.3241041353
354	0.3238126707
355	0.3235564283
356	0.3233412719
357	0.3231352269
358	0.322911918
359	0.3227393859
360	0.3223223565
361	0.3218898191
362	0.3215837094
363	0.321335045
364	0.3210086903
365	0.3205449858
366	0.3204102365
367	0.3199851675
368	0.3198380368
369	0.3196914977
370	0.3194249608
371	0.3193005389
372	0.3191267049
373	0.3189025285
374	0.3187120983
375	0.3182935836
376	0.3180203658
377	0.3176020052
378	0.3173458555
379	0.3169650517
380	0.3165028377
381	0.3161751186
382	0.3158641307
383	0.3155993356
384	0.3151868695
385	0.3149102612
386	0.3145739043
387	0.3141733418
388	0.3138513831
389	0.3136671219
390	0.3134220969
391	0.3132243643
392	0.3130172313
393	0.3127469699
394	0.312488377
395	0.312422122
396	0.3120994982
397	0.3117713801
398	0.3114737945
399	0.3111456627
400	0.3110227032
401	0.3106827983
402	0.3103426104
403	0.3100527433
404	0.3098041874
405	0.3095704383
406	0.3092110465
407	0.308896815
408	0.3086401546
409	0.3083095859
410	0.3081649752
411	0.3078422598
412	0.307689651
413	0.3074384438
414	0.3071628637
415	0.3069276574
416	0.306689626
417	0.3063619511
418	0.3061104677
419	0.3059739619
420	0.3056053182
421	0.3052875093
422	0.305072373
423	0.3048830042
424	0.3046046658
425	0.3042372917
426	0.3037869251
427	0.3034942777
428	0.3032250525
429	0.3031101805
430	0.3028457773
431	0.3025785517
432	0.3023515106
433	0.3020592792
434	0.3018031579
435	0.3015929554
436	0.301427403
437	0.3012167866
438	0.3009269529
439	0.3005863477
440	0.3003803389
