회사주소_시(도),한국표준산업분류(KSIC)코드_10차,상장여부,인수합병(MnA) 경험여부,가중치,벤처확인 유형,기업성장단계,제조 및 비제조,대표이사_창업자여부,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업자 과거창업 경험 여부,융자(정책)_경험여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,전공과 업종 일치 여부,연구개발관련전담부서보유여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,해외수출 및 진출과정 애로사항,제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),정규직비율,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),부서별_인력구성(관리),부서별_인력구성(생산),부서별_인력구성(영업),부서별_인력구성(RnD),매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액비(국내설비),투자액비(RnD),투자액비(해외),투자액비(기타),부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,창업 당시 창업자 실무경험 년수(년),벤처확인제도 혜택(평균),벤처인프라 수준(평균),등록보유(합계),출원중(합계),경영상 애로사항(개수),벤처캐피털(투자조합포함) 투자 경험여부
경남,A03212,2,2.0,14.15,1,2,4,1.0,3,5,6,3,1.0,1.0,2,2.0,4.0,2,1,2.0,1.0,2,3.0,3.0,3.0,2.0,0.1,0.0,1.0,0.0,33.33333333333333,66.66666666666666,0.0,0.0,33.333,0.0,33.333,33.333,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,1144.97,8.029,-27.265,58.717,731.361,-199.408,-32.12,-794.0,13733.333,13.0,3.333,3.25,4,0,1,0
충남,A03212,2,2.0,12.614,2,2,1,1.0,5,3,7,3,1.0,1.0,2,2.0,2.0,2,1,2.0,3.0,2,8.0,1.0,4.0,3.0,0.1,0.0,1.0,20.0,40.0,20.0,20.0,0.0,20.0,40.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,0.0,67.518,32.482,0.0,0.0,184.554,35.143,9.854,35.665,101.485,10.0,15.512,223.944,20500.0,0.0,4.167,2.5,0,0,9,0
경남,A03213,2,2.0,6.839,2,3,1,1.0,3,2,8,3,1.0,3.0,2,2.0,4.0,1,4,1.0,1.0,2,8.0,3.0,2.0,2.0,0.1,0.0,1.0,0.0,37.5,37.5,12.5,12.5,25.0,25.0,25.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,155.118,39.198,-16.822,24.769,63.189,-10.63,-68.224,-1460.0,4012.5,10.0,4.333,2.5,12,0,6,0
강원,A03220,2,2.0,10.42,3,1,2,1.0,2,2,3,3,2.0,3.0,1,1.0,5.0,1,3,1.0,2.0,1,3.0,1.0,3.0,2.0,0.1,0.0,1.0,0.0,12.5,50.0,37.5,0.0,25.0,37.5,12.5,12.5,0.0,0.0,80.0,20.0,0.0,0.0,25.0,75.0,0.0,0.0,233.333,30.0,-1500.0,0.667,2.222,-33.333,-1245.946,-3600.0,50.0,10.0,3.167,3.0,1,5,3,0
경기,B06200,2,2.0,6.839,1,3,2,1.0,3,3,7,3,1.0,3.0,2,2.0,4.0,2,1,2.0,1.0,2,8.0,3.0,3.0,3.0,0.1,0.0,1.0,25.0,25.0,50.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,112.346,47.093,2.647,32.946,69.959,1.852,2.941,166.667,8500.0,15.0,4.167,2.5,2,0,8,0
전남,B07290,2,2.0,13.645,1,3,1,1.0,3,3,6,3,1.0,3.0,1,2.0,4.0,2,1,2.0,1.0,2,8.0,3.0,2.0,1.0,1.0,0.0,1.0,27.77777777777778,50.0,22.22222222222222,0.0,0.0,16.667,66.667,11.111,5.556,0.0,0.0,10.0,0.0,90.0,0.0,0.0,100.0,0.0,0.0,105.894,48.569,5.098,89.561,184.4,9.4,7.385,276.289,20161.111,10.0,4.0,2.75,5,1,8,0
전북,B07290,2,2.0,48.561,2,3,3,1.0,2,1,6,3,1.0,1.0,2,2.0,4.0,1,3,2.0,1.0,2,3.0,2.0,2.0,2.0,2.0,0.0,1.0,28.0,0.0,44.0,28.0,0.0,11.111,44.444,0.0,44.444,40.0,0.0,60.0,0.0,0.0,0.0,0.0,83.607,0.0,16.393,218.615,31.386,-11.191,46.157,147.065,-16.458,-12.658,-553.731,32566.667,5.0,3.0,4.0,58,3,9,0
전북,B07290,2,2.0,46.0,4,3,1,1.0,2,1,6,3,1.0,1.0,2,2.0,4.0,1,3,2.0,1.0,2,3.0,2.0,2.0,1.0,2.0,0.0,1.0,28.0,0.0,44.0,28.0,0.0,16.667,50.0,0.0,33.333,40.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,217.041,31.542,4.573,46.5,147.425,6.742,8.86,236.441,39362.5,5.0,3.667,3.25,43,0,7,0
경기,C10110,2,2.0,2.259,2,4,1,1.0,2,5,10,3,1.0,1.0,2,2.0,4.0,1,3,2.0,2.0,2,4.0,3.0,5.0,2.0,38.0,0.0,1.0,94.0,0.0,6.0,0.0,0.0,6.25,91.667,0.833,1.25,0.0,63.0,0.0,37.0,0.0,0.0,95.843,4.157,0.0,0.0,299.753,25.015,1.535,116.138,464.265,7.126,2.255,95.266,15522.609,20.0,3.5,2.75,2,0,8,0
경남,C10121,2,2.0,9.106,2,3,1,1.0,4,3,9,3,1.0,1.0,1,1.0,3.0,2,3,2.0,2.0,2,5.0,1.0,3.0,3.0,0.01,0.0,1.0,60.0,20.0,20.0,0.0,0.0,10.417,72.917,8.333,8.333,0.0,100.0,0.0,0.0,0.0,0.0,89.483,10.517,0.0,0.0,322.419,23.673,2.432,270.689,1143.442,27.814,3.559,408.879,54631.111,10.0,3.667,2.75,2,0,8,0
강원,C10121,2,2.0,10.705,2,2,1,1.0,3,3,6,3,1.0,1.0,2,2.0,4.0,2,1,2.0,4.0,2,1.0,1.0,3.0,3.0,10.0,0.0,0.976,82.0,12.0,6.0,0.0,0.0,12.195,78.049,4.878,4.878,0.0,0.0,100.0,0.0,0.0,0.0,92.87,7.13,0.0,0.0,798.958,11.124,0.385,244.58,2198.668,8.454,1.043,129.412,92612.195,15.0,2.5,3.5,2,0,6,0
강원,C10121,2,2.0,4.935,2,2,1,1.0,3,3,6,3,1.0,1.0,2,2.0,4.0,2,1,2.0,2.0,2,2.0,1.0,5.0,4.0,0.5,0.0,1.0,76.0,12.0,12.0,0.0,0.0,7.937,79.365,0.0,6.349,0.0,0.0,100.0,0.0,0.0,0.0,62.903,37.097,0.0,0.0,612.335,14.038,0.464,304.817,2171.317,10.083,1.215,326.667,70412.698,15.0,3.333,3.0,0,0,5,0
경남,C10121,2,2.0,4.935,1,3,1,1.0,3,3,6,3,1.0,1.0,1,1.0,3.0,2,3,2.0,3.0,2,1.0,1.0,5.0,4.0,0.01,0.0,1.0,70.0,10.0,20.0,0.0,0.0,7.407,79.012,8.642,4.938,0.0,100.0,0.0,0.0,0.0,0.0,86.014,13.986,0.0,0.0,376.935,20.967,1.25,223.241,1064.718,13.306,1.617,168.11,32598.765,18.0,3.5,3.25,2,0,7,0
충남,C10121,2,2.0,8.833,2,3,1,2.0,4,5,6,3,2.0,1.0,2,2.0,3.0,2,3,2.0,1.0,2,1.0,1.0,4.0,4.0,0.1,0.0,1.0,65.0,15.0,20.0,0.0,0.0,14.286,79.592,6.122,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.3445270464964,68.94062003929274,40.549,7.189395677799607,270.561,26.986,-3.814,192.987,715.135,-27.277,-3.023,-313.253,35100.0,20.0,3.833,3.25,0,0,5,0
충남,C10121,2,2.0,9.106,2,3,1,2.0,4,5,6,3,2.0,1.0,2,2.0,4.0,2,3,2.0,4.0,2,1.0,1.0,3.0,3.0,20.0,0.0,1.0,92.0,0.0,8.0,0.0,0.0,24.49,69.388,6.122,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-843.043,-13.458,-10.176,266.384,-1979.348,201.413,-9.533,-1165.101,40466.667,20.0,4.0,3.0,0,0,5,0
경남,C10121,2,2.0,10.705,2,3,1,1.0,3,3,9,3,2.0,1.0,1,2.0,3.0,2,3,2.0,1.0,2,5.0,1.0,3.0,3.0,0.01,0.0,1.0,60.0,20.0,20.0,0.0,0.0,6.383,82.979,6.383,4.255,0.0,100.0,0.0,0.0,0.0,0.0,23.3445270464964,68.94062003929274,40.549,7.189395677799607,363.232,21.587,2.274,234.797,1087.657,24.738,2.775,251.965,44246.809,10.0,3.333,2.75,0,0,8,0
