iter	Logloss
0	0.6805994738
1	0.6697679669
2	0.6600288417
3	0.6512664991
4	0.6421261781
5	0.6327889163
6	0.6244455259
7	0.6164874216
8	0.6098088915
9	0.6034423989
10	0.5973158432
11	0.5911190308
12	0.585143608
13	0.5796250888
14	0.574131285
15	0.5691185655
16	0.5641529482
17	0.5601197112
18	0.556166055
19	0.5522312397
20	0.5485810228
21	0.5449565803
22	0.5414539384
23	0.5387097328
24	0.5356197037
25	0.5328586222
26	0.5301843565
27	0.5279388379
28	0.5260339793
29	0.523981339
30	0.5217789485
31	0.5192471373
32	0.5171863003
33	0.5155827016
34	0.5137406726
35	0.5118095671
36	0.5101093027
37	0.5083513535
38	0.5068983579
39	0.5052352142
40	0.503730354
41	0.502304946
42	0.5009737098
43	0.4994968009
44	0.4981492743
45	0.4969287789
46	0.495404924
47	0.4941083818
48	0.4926693937
49	0.4913787055
50	0.4903417696
51	0.4889886846
52	0.4878550955
53	0.486536108
54	0.4855052281
55	0.4842534126
56	0.4831543841
57	0.4822655608
58	0.4813395748
59	0.480323038
60	0.4793382633
61	0.4784472617
62	0.4774615594
63	0.4763986119
64	0.4753330349
65	0.4743392331
66	0.4734598288
67	0.4725280505
68	0.4716614538
69	0.4709291182
70	0.4699192367
71	0.4691445644
72	0.4683120876
73	0.4677252271
74	0.4669946387
75	0.466345763
76	0.4657573535
77	0.4649511818
78	0.4642477925
79	0.4636620273
80	0.4628622996
81	0.4621380994
82	0.4613928129
83	0.4608030182
84	0.4600773823
85	0.4598987767
86	0.4588288006
87	0.4581558973
88	0.4572783781
89	0.4567578203
90	0.4558688319
91	0.4552817403
92	0.4546705532
93	0.4541491393
94	0.453318209
95	0.4526727937
96	0.4516624683
97	0.4510609896
98	0.4505542671
99	0.4500141384
100	0.4494159445
101	0.4487772694
102	0.4482628138
103	0.4474007435
104	0.4468172705
105	0.4461054223
106	0.4456927404
107	0.4451831886
108	0.4443797893
109	0.4436804671
110	0.4431307444
111	0.442588705
112	0.4420117052
113	0.4415615847
114	0.4409386812
115	0.440209826
116	0.4396795557
117	0.4390479638
118	0.4385956848
119	0.4380811401
120	0.4371693722
121	0.4367339348
122	0.4361636891
123	0.4356009368
124	0.4350721206
125	0.4344538224
126	0.4339229949
127	0.4333679395
128	0.432923567
