iter	Passed	Remaining
418	2561	3551
419	2567	3545
420	2572	3538
421	2578	3532
422	2584	3525
423	2590	3519
424	2596	3513
425	2602	3506
426	2607	3499
427	2613	3493
428	2619	3486
429	2625	3480
430	2631	3473
431	2637	3467
432	2642	3460
433	2648	3454
434	2655	3448
435	2661	3442
436	2667	3436
437	2673	3430
438	2679	3423
439	2685	3417
440	2691	3411
441	2696	3404
442	2703	3398
443	2709	3392
444	2715	3386
445	2721	3379
446	2727	3373
447	2733	3367
448	2739	3361
449	2745	3355
450	2751	3348
451	2756	3342
452	2763	3336
453	2769	3330
454	2776	3325
455	2781	3318
456	2787	3312
457	2793	3306
458	2799	3299
459	2805	3293
460	2811	3286
461	2816	3280
462	2823	3274
463	2828	3267
464	2834	3261
465	2840	3255
466	2846	3248
467	2852	3242
468	2857	3235
469	2863	3229
470	2870	3223
471	2876	3217
472	2882	3211
473	2888	3205
474	2893	3198
475	2899	3192
476	2905	3185
477	2911	3179
478	2917	3173
479	2923	3166
480	2928	3160
481	2934	3154
482	2940	3147
483	2946	3141
484	2952	3135
485	2958	3129
486	2964	3122
487	2970	3116
488	2976	3109
489	2981	3103
490	2988	3098
491	2994	3091
492	3000	3085
493	3006	3079
494	3011	3072
495	3017	3066
496	3023	3059
497	3029	3053
498	3035	3047
499	3040	3040
500	3046	3034
501	3052	3028
502	3058	3021
503	3064	3015
504	3069	3008
505	3075	3002
506	3081	2996
507	3087	2990
508	3093	2984
509	3099	2978
510	3105	2971
511	3111	2965
512	3117	2959
513	3123	2953
514	3129	2946
515	3134	2940
516	3140	2934
517	3146	2927
518	3152	2921
519	3158	2915
520	3164	2909
521	3170	2902
522	3176	2897
523	3182	2891
524	3189	2885
525	3196	2880
526	3202	2874
527	3209	2869
528	3216	2863
529	3222	2857
530	3228	2851
531	3234	2845
532	3240	2839
533	3246	2832
534	3251	2826
535	3257	2819
536	3263	2813
537	3269	2807
538	3275	2801
539	3281	2794
540	3286	2788
541	3292	2782
542	3298	2776
543	3304	2770
544	3310	2764
545	3316	2757
546	3322	2751
547	3328	2745
548	3334	2739
549	3340	2733
550	3346	2726
551	3351	2720
552	3357	2714
553	3363	2707
554	3369	2701
555	3375	2695
556	3380	2688
557	3386	2682
558	3392	2676
559	3398	2670
560	3405	2664
561	3411	2658
562	3416	2652
563	3422	2645
564	3428	2639
565	3434	2633
566	3440	2627
567	3446	2621
568	3452	2614
569	3458	2608
570	3463	2602
571	3469	2596
572	3475	2590
573	3481	2583
574	3488	2578
575	3494	2572
576	3500	2566
577	3507	2560
578	3513	2554
579	3519	2548
580	3525	2542
581	3531	2536
582	3537	2530
583	3543	2524
584	3549	2518
585	3555	2512
586	3561	2506
587	3567	2500
588	3573	2493
589	3579	2487
590	3585	2481
591	3591	2475
592	3597	2469
593	3603	2463
594	3609	2457
595	3615	2450
596	3622	2445
597	3627	2438
598	3633	2432
599	3639	2426
600	3645	2419
601	3651	2413
602	3656	2407
603	3662	2401
604	3668	2395
605	3674	2389
606	3680	2383
607	3686	2377
608	3692	2370
609	3699	2364
610	3704	2358
611	3710	2352
612	3717	2346
613	3723	2340
614	3729	2334
615	3735	2328
616	3741	2322
617	3747	2316
618	3753	2310
619	3758	2303
620	3764	2297
621	3770	2291
622	3776	2285
623	3782	2279
624	3787	2272
625	3793	2266
626	3799	2260
627	3805	2254
628	3811	2248
629	3818	2242
630	3823	2236
631	3830	2230
632	3836	2224
633	3841	2217
634	3847	2211
635	3853	2205
636	3859	2199
637	3865	2193
638	3871	2186
639	3876	2180
640	3883	2174
641	3888	2168
642	3895	2162
643	3900	2156
644	3906	2149
645	3912	2144
646	3918	2137
647	3924	2131
648	3930	2125
649	3936	2119
650	3942	2113
651	3948	2107
652	3953	2101
653	3960	2095
654	3966	2089
655	3972	2082
656	3978	2076
657	3983	2070
658	3989	2064
659	3995	2058
660	4001	2052
661	4007	2045
